"logFC","logCPM","PValue","FDR","Gene","Dataset","Species"
5.22131731103887,6.15444755072429,1.70289951873402e-62,2.91791832535075e-58,"Hspa1a","GSE104036","Mouse"
5.77502052662302,7.44147417394107,2.78744069498767e-50,2.38813981543068e-46,"Hspa1b","GSE104036","Mouse"
5.63507561533157,1.98569681569262,2.03847253712135e-46,1.16430756411914e-42,"Gpr84","GSE104036","Mouse"
3.72586965092192,4.4258507448705,6.44490433539122e-37,2.76083589467321e-33,"Hmox1","GSE104036","Mouse"
2.70682297735774,4.86622066096669,7.96161963946739e-33,2.72844705044548e-29,"Osmr","GSE104036","Mouse"
4.12664268861636,3.15363672918838,2.0711013577621e-32,5.91472029420894e-29,"Atf3","GSE104036","Mouse"
3.40283766475329,3.27969629319329,2.15621655008324e-30,5.27811008366804e-27,"Hspb1","GSE104036","Mouse"
4.34059166775815,2.36974974111557,1.01091511837729e-28,2.16525381917436e-25,"Tlr2","GSE104036","Mouse"
1.79440858906013,4.980291164777,3.56790452962227e-27,6.79289379056418e-24,"Sbno2","GSE104036","Mouse"
2.08191713493129,6.88421555591094,3.34612730961136e-26,5.73358914501907e-23,"Nptx2","GSE104036","Mouse"
5.05819222782941,-0.063942439686828,7.28451120680168e-25,1.13472817753224e-21,"Tnf","GSE104036","Mouse"
5.11459918269195,4.98268763977893,6.61269752676934e-24,9.44238101009938e-21,"A2m","GSE104036","Mouse"
2.28543925036271,3.6224346876856,1.9443748029596e-21,2.56283555759329e-18,"Tnfrsf1a","GSE104036","Mouse"
-1.05492387614737,6.66849987397857,3.97639232687292e-21,4.8668201800691e-18,"Camkk2","GSE104036","Mouse"
3.76200247858816,1.80800190310897,5.19463873522277e-21,5.93400898186948e-18,"C5ar1","GSE104036","Mouse"
5.31385452579463,0.163672984358177,6.6110678134333e-21,7.08004043644872e-18,"Cd244","GSE104036","Mouse"
6.19124571591878,3.11464268160987,1.02588887968444e-20,1.03403564431723e-17,"Msr1","GSE104036","Mouse"
4.59263972594259,1.35816001088653,2.24001270538215e-20,2.1323676503735e-17,"Gpr35","GSE104036","Mouse"
