sample,group,time,tissue,species,platform,data_type
S1,Sham,0hr,Sham,Mouse,GPL17021,RNAseq_counts
S2,Sham,0hr,Sham,Mouse,GPL17021,RNAseq_counts
S3,Sham,0hr,Sham,Mouse,GPL17021,RNAseq_counts
C1_3hr,Contralateral,3hr,Contralateral,Mouse,GPL17021,RNAseq_counts
C2_3hr,Contralateral,3hr,Contralateral,Mouse,GPL17021,RNAseq_counts
C3_3hr,Contralateral,3hr,Contralateral,Mouse,GPL17021,RNAseq_counts
C1_6hr,Contralateral,6hr,Contralateral,Mouse,GPL17021,RNAseq_counts
C2_6hr,Contralateral,6hr,Contralateral,Mouse,GPL17021,RNAseq_counts
C3_6hr,Contralateral,6hr,Contralateral,Mouse,GPL17021,RNAseq_counts
C1_12hr,Contralateral,12hr,Contralateral,Mouse,GPL17021,RNAseq_counts
C2_12hr,Contralateral,12hr,Contralateral,Mouse,GPL17021,RNAseq_counts
C3_12hr,Contralateral,12hr,Contralateral,Mouse,GPL17021,RNAseq_counts
C1_24hr,Contralateral,24hr,Contralateral,Mouse,GPL17021,RNAseq_counts
C2_24hr,Contralateral,24hr,Contralateral,Mouse,GPL17021,RNAseq_counts
C3_24hr,Contralateral,24hr,Contralateral,Mouse,GPL17021,RNAseq_counts
I1_3hr,Ipsilateral,3hr,Ipsilateral,Mouse,GPL17021,RNAseq_counts
I2_3hr,Ipsilateral,3hr,Ipsilateral,Mouse,GPL17021,RNAseq_counts
I3_3hr,Ipsilateral,3hr,Ipsilateral,Mouse,GPL17021,RNAseq_counts
I1_6hr,Ipsilateral,6hr,Ipsilateral,Mouse,GPL17021,RNAseq_counts
I2_6hr,Ipsilateral,6hr,Ipsilateral,Mouse,GPL17021,RNAseq_counts
I3_6hr,Ipsilateral,6hr,Ipsilateral,Mouse,GPL17021,RNAseq_counts
I1_12hr,Ipsilateral,12hr,Ipsilateral,Mouse,GPL17021,RNAseq_counts
I2_12hr,Ipsilateral,12hr,Ipsilateral,Mouse,GPL17021,RNAseq_counts
I3_12hr,Ipsilateral,12hr,Ipsilateral,Mouse,GPL17021,RNAseq_counts
I1_24hr,Ipsilateral,24hr,Ipsilateral,Mouse,GPL17021,RNAseq_counts
I2_24hr,Ipsilateral,24hr,Ipsilateral,Mouse,GPL17021,RNAseq_counts
I3_24hr,Ipsilateral,24hr,Ipsilateral,Mouse,GPL17021,RNAseq_counts
