sample,group,species,platform,data_type,tissue
SAMPLE 1,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
SAMPLE 2,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
SAMPLE 3,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
SAMPLE 4,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
SAMPLE 5,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
SAMPLE 6,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
SAMPLE 7,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
SAMPLE 8,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
SAMPLE 9,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
SAMPLE 10,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
SAMPLE 11,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
SAMPLE 12,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
SAMPLE 13,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
SAMPLE 14,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
SAMPLE 15,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
SAMPLE 16,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
SAMPLE 17,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
SAMPLE 18,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
SAMPLE 19,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
SAMPLE 20,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
SAMPLE 21,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
SAMPLE 22,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
SAMPLE 23,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
SAMPLE 24,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
SAMPLE 25,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
SAMPLE 26,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
SAMPLE 27,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
SAMPLE 28,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
SAMPLE 29,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
SAMPLE 30,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
SAMPLE 31,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
SAMPLE 32,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
SAMPLE 33,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
SAMPLE 34,Stroke,Human,GPL6883,Illumina_microarray_non_normalized,Peripheral_Blood_PBMC
