sample,group,species,platform,data_type,time,tissue
brain_MCAO operated_1 (mRNA),MCAO,Rat,GPL1355,Affymetrix_microarray,24h,Brain
brain_MCAO operated_2 (mRNA),MCAO,Rat,GPL1355,Affymetrix_microarray,24h,Brain
brain_MCAO operated_3 (mRNA),MCAO,Rat,GPL1355,Affymetrix_microarray,24h,Brain
brain_MCAO operated_4 (mRNA),MCAO,Rat,GPL1355,Affymetrix_microarray,24h,Brain
brain_MCAO operated_5 (mRNA),MCAO,Rat,GPL1355,Affymetrix_microarray,24h,Brain
brain_MCAO operated_6 (mRNA),MCAO,Rat,GPL1355,Affymetrix_microarray,24h,Brain
brain_MCAO operated_7 (mRNA),MCAO,Rat,GPL1355,Affymetrix_microarray,24h,Brain
brain_Sham operated_1 (mRNA),Sham,Rat,GPL1355,Affymetrix_microarray,24h,Brain
brain_Sham operated_2 (mRNA),Sham,Rat,GPL1355,Affymetrix_microarray,24h,Brain
brain_Sham operated_3 (mRNA),Sham,Rat,GPL1355,Affymetrix_microarray,24h,Brain
brain_Sham operated_4 (mRNA),Sham,Rat,GPL1355,Affymetrix_microarray,24h,Brain
brain_Sham operated_5 (mRNA),Sham,Rat,GPL1355,Affymetrix_microarray,24h,Brain
