GeneSymbol,MedianRank,N_Datasets,Up_Count,Down_Count,Direction,AllRanks
HSPA1B,25.6262825981655,2,2,0,Up,"49.55,1.70"
OSMR,15.887174615329661,2,1,1,Down,"32.10,-0.32"
NPTX2,12.661289001221931,2,1,1,Down,"25.48,-0.15"
A2M,11.492823627943222,2,1,1,Down,"23.18,-0.19"
MSR1,11.0948081749303,2,2,0,Up,"19.99,2.20"
LGALS3,10.729285247582961,4,4,0,Up,"16.55,1.10,11.25,10.21"
HSPB1,9.460295745475522,4,3,1,Up,"29.67,-1.91,8.02,10.90"
GPR35,9.338286515279085,2,1,1,Down,"19.65,-0.97"
PLEK,9.26562965518007,4,3,1,Up,"12.87,-0.68,10.22,8.31"
GPR84,9.168087074634682,4,4,0,Up,"45.69,2.47,9.60,8.74"
FCGR3A,9.112516292688621,2,2,0,Up,"11.58,6.64"
IFI30,9.007947160964253,4,3,1,Up,"12.66,-0.31,12.26,5.75"
A2M /// LOC100911545,8.990795909254867,2,2,0,Up,"8.24,9.74"
TIMP1,8.892173030061759,4,3,1,Up,"10.62,-0.32,9.42,8.36"
GPNMB,8.838866614491405,4,4,0,Up,"7.67,0.57,12.46,10.00"
CCL2,8.783786037826264,4,4,0,Up,"16.04,1.05,9.29,8.28"
SLC10A6,8.744410030014555,2,1,1,Down,"18.08,-0.59"
LOC100909593 /// RT1-DMA,8.704174256478554,2,2,0,Up,"9.88,7.53"
CD14,8.586524211065313,4,4,0,Up,"9.80,2.46,7.49,9.68"
CTSZ,8.512375104888168,4,4,0,Up,"4.67,8.74,12.61,8.29"
TLR2,8.42943662574719,4,4,0,Up,"28.00,6.22,10.64,5.54"
HMOX1,8.260567126444341,4,4,0,Up,"36.19,1.39,7.33,9.20"
GFAP,8.234430247007147,4,3,1,Up,"14.72,-0.33,6.17,10.30"
BAZ1A,8.210702820636705,4,4,0,Up,"14.61,8.21,8.22,6.45"
FCGR2A /// LOC100911825 /// LOC100912061 /// LOC100912098 /// LOC498276,8.113757330667946,2,2,0,Up,"10.27,5.96"
TNFRSF1A,8.080771588224852,4,4,0,Up,"20.71,0.89,7.99,8.17"
APOBEC1,7.965027805924811,4,4,0,Up,"8.74,0.68,10.46,7.19"
LOC100359539 /// RRM2,7.960596556171856,2,2,0,Up,"11.64,4.28"
VIM,7.948022723044531,4,4,0,Up,"13.69,1.23,8.96,6.94"
EDA2R,7.933845761308632,2,1,1,Down,"16.20,-0.34"
CD44,7.929721717181815,4,4,0,Up,"13.41,1.24,8.60,7.26"
C1S,7.8990989268118685,3,3,0,Up,"0.26,8.80,7.90"
