GeneSymbol,MedianRank,N_Datasets,Up_Count,Down_Count,Direction,AllRanks,abs_rank,WGCNA_ModuleLabel,WGCNA_Module,FerroAging
EMP1,6.884165711170224,4,4,0,Up,"7.60,0.35,6.97,6.80",6.884165711170224,0,grey,Yes
SAT1,5.741912330103856,4,4,0,Up,"10.56,3.39,6.65,4.83",5.741912330103856,3,brown,Yes
TLR4,5.682142695754652,4,4,0,Up,"5.49,5.88,8.48,3.10",5.682142695754652,3,brown,Yes
LCN2,5.208602643109801,4,4,0,Up,"7.94,1.50,2.48,9.56",5.208602643109801,15,midnightblue,Yes
EPHA4,-4.422144335325264,4,0,4,Down,"-2.73,-4.51,-6.12,-4.33",4.422144335325264,2,blue,Yes
CXCL10,4.312570705741137,4,4,0,Up,"15.31,0.06,4.26,4.36",4.312570705741137,2,blue,Yes
KLF6,4.044143439597746,4,4,0,Up,"4.16,2.83,3.93,5.00",4.044143439597746,3,brown,Yes
SP1,4.035876226300375,4,4,0,Up,"4.38,2.20,5.41,3.70",4.035876226300375,3,brown,Yes
CD74,3.664927199238943,4,3,1,Up,"3.88,-1.75,3.76,3.57",3.664927199238943,5,green,Yes
PTGS2,3.632030632346293,4,3,1,Up,"16.75,3.91,-4.06,3.35",3.632030632346293,10,purple,Yes
IRF1,3.512941568068052,4,3,1,Up,"2.69,-0.79,6.40,4.34",3.512941568068052,6,red,Yes
FBXO31,-3.441701577106476,4,0,4,Down,"-2.27,-4.62,-5.86,-1.51",3.441701577106476,5,green,Yes
LGMN,3.248056705386637,4,3,1,Up,"0.91,-0.29,12.49,5.58",3.248056705386637,0,grey,Yes
IGFBP7,3.10382911019283,4,3,1,Up,"4.47,-0.79,7.20,1.74",3.10382911019283,5,green,Yes
IL1B,3.0631539787724917,4,4,0,Up,"10.43,1.48,1.44,4.65",3.0631539787724917,3,brown,Yes
MAPK1,2.8280470620566973,4,3,1,Up,"-2.64,4.66,3.90,1.75",2.8280470620566973,3,brown,Yes
KDM6B,2.750993124984747,4,3,1,Up,"1.88,4.99,-1.03,3.62",2.750993124984747,3,brown,Yes
PDE4B,2.7295359354399835,4,3,1,Up,"1.02,5.39,-2.91,4.44",2.7295359354399835,10,purple,Yes
RUNX3,2.487006395974697,3,2,1,Up,"-5.84,2.49,3.05",2.487006395974697,14,cyan,Yes
CTSB,2.354754188209084,4,4,0,Up,"0.28,0.04,11.39,4.43",2.354754188209084,0,grey,Yes
LACTB,2.2194834491230933,4,3,1,Up,"-0.04,2.75,1.69,3.42",2.2194834491230933,0,grey,Yes
LPCAT3,2.155482806937953,4,4,0,Up,"0.52,2.86,6.99,1.45",2.155482806937953,3,brown,Yes
EGR1,-2.150183608096623,4,1,3,Down,"-3.83,2.19,-4.17,-0.47",2.150183608096623,3,brown,Yes
BCL6,2.0646220909361235,4,3,1,Up,"-1.53,5.42,0.58,3.55",2.0646220909361235,3,brown,Yes
GMFB,1.9390486064954304,4,3,1,Up,"-0.43,1.35,4.14,2.53",1.9390486064954304,10,purple,Yes
HBP1,1.9113986340283136,4,3,1,Up,"0.26,3.57,3.60,-1.16",1.9113986340283136,3,brown,Yes
SOD1,-1.674418995040004,4,1,3,Down,"-1.19,-7.02,-2.16,0.48",1.674418995040004,2,blue,Yes
DYRK1A,1.6550079614835722,4,4,0,Up,"1.74,1.57,1.25,1.92",1.6550079614835722,3,brown,Yes
