GeneSymbol,MedianRank,N_Datasets,Up_Count,Down_Count,Direction,AllRanks
HMOX1,8.260567126444341,4,4,0,Up,"36.19,1.39,7.33,9.20"
EMP1,6.8841657111702235,4,4,0,Up,"7.60,0.35,6.97,6.80"
SLAMF8,6.478867707645535,2,1,1,Down,"13.14,-0.18"
PTBP1,6.379991473644247,4,3,1,Up,"10.76,-0.94,5.95,6.81"
ATF3,6.303938027194095,4,4,0,Up,"31.68,0.58,4.89,7.72"
SAT1,5.7419123301038555,4,4,0,Up,"10.56,3.39,6.65,4.83"
TLR4,5.682142695754652,4,4,0,Up,"5.49,5.88,8.48,3.10"
LCN2,5.208602643109801,4,4,0,Up,"7.94,1.50,2.48,9.56"
NUAK2,4.749148764684445,2,2,0,Up,"8.59,0.90"
IRF9,4.663506615330759,4,4,0,Up,"8.44,0.51,3.34,5.98"
NLRP3,4.522905915478609,2,2,0,Up,"5.41,3.64"
CXCL10,4.312570705741137,4,4,0,Up,"15.31,0.06,4.26,4.36"
KLF6,4.044143439597746,4,4,0,Up,"4.16,2.83,3.93,5.00"
SP1,4.035876226300375,4,4,0,Up,"4.38,2.20,5.41,3.70"
LOX,3.772293036784052,4,3,1,Up,"3.23,-0.76,4.32,4.68"
CD74,3.6649271992389427,4,3,1,Up,"3.88,-1.75,3.76,3.57"
PTGS2,3.6320306323462934,4,3,1,Up,"16.75,3.91,-4.06,3.35"
IRF1,3.512941568068052,4,3,1,Up,"2.69,-0.79,6.40,4.34"
E2F3,3.480641092922135,2,2,0,Up,"0.77,6.19"
LGMN,3.248056705386637,4,3,1,Up,"0.91,-0.29,12.49,5.58"
MPO,3.111390859884973,2,2,0,Up,"3.95,2.27"
IGFBP7,3.10382911019283,4,3,1,Up,"4.47,-0.79,7.20,1.74"
S100A8,3.0815494887317065,4,4,0,Up,"2.63,0.55,3.53,4.04"
IL1B,3.0631539787724913,4,4,0,Up,"10.43,1.48,1.44,4.65"
HIF1A,2.9611793311848955,4,4,0,Up,"1.38,4.36,3.24,2.68"
MAPK1,2.8280470620566973,4,3,1,Up,"-2.64,4.66,3.90,1.75"
KDM6B,2.750993124984747,4,3,1,Up,"1.88,4.99,-1.03,3.62"
IRF7,2.732950227723209,4,4,0,Up,"3.91,2.24,1.42,3.23"
PDE4B,2.7295359354399835,4,3,1,Up,"1.02,5.39,-2.91,4.44"
WWTR1,2.7071452685904767,4,4,0,Up,"10.01,0.12,1.80,3.61"
IL6,2.665164302319731,4,3,1,Up,"8.24,-0.47,1.77,3.56"
SMURF2,2.6504489480192506,4,4,0,Up,"3.02,0.31,3.97,2.28"
EPHA2,2.617109718462295,4,4,0,Up,"4.72,0.60,2.66,2.58"
CD82,2.6017772531850127,4,4,0,Up,"0.20,1.47,3.73,4.50"
RUNX3,2.4870063959746975,3,2,1,Up,"-5.84,2.49,3.05"
SLC1A5,2.3552609087178875,4,4,0,Up,"1.15,1.13,5.02,3.56"
CTSB,2.354754188209084,4,4,0,Up,"0.28,0.04,11.39,4.43"
LACTB,2.2194834491230933,4,3,1,Up,"-0.04,2.75,1.69,3.42"
LPCAT3,2.155482806937953,4,4,0,Up,"0.52,2.86,6.99,1.45"
BCL6,2.0646220909361235,4,3,1,Up,"-1.53,5.42,0.58,3.55"
TNFAIP3,2.052982103872691,4,4,0,Up,"4.76,1.72,2.05,2.05"
