"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0046890","regulation of lipid biosynthetic process","7/28","205/18860",0.0341463414634146,23,12.2121493759118,1.57854628574638e-08,2.62985811205347e-05,1.35588817807268e-05,"CD74/PTGS2/IGFBP7/IL1B/MAPK1/LPCAT3/EGR1",7
"GO:0019216","regulation of lipid metabolic process","8/28","358/18860",0.0223463687150838,15.0518754988029,10.3503870739241,3.47821434975579e-08,2.89735255334658e-05,1.49380153126354e-05,"CD74/PTGS2/IGFBP7/IL1B/MAPK1/LACTB/LPCAT3/EGR1",8
"GO:0030098","lymphocyte differentiation","8/28","441/18860",0.018140589569161,12.2189828312277,9.1924203895809,1.72898132243185e-07,9.60160961057156e-05,4.9503465231733e-05,"KLF6/CD74/IRF1/IL1B/RUNX3/EGR1/BCL6/SOD1",8
"GO:0001659","temperature homeostasis","6/28","186/18860",0.032258064516129,21.7281105990783,10.9543757893933,2.66955258711051e-07,0.000111186865253153,5.73251292390046e-05,"TLR4/LCN2/PTGS2/IL1B/KDM6B/EGR1",6
"GO:0030217","T cell differentiation","7/28","330/18860",0.0212121212121212,14.2878787878788,9.38998808700753,4.06776663434595e-07,0.000133195877827125,6.86724182137701e-05,"CD74/IRF1/IL1B/RUNX3/EGR1/BCL6/SOD1",7
"GO:2001280","positive regulation of unsaturated fatty acid biosynthetic process","3/28","11/18860",0.272727272727273,183.701298701299,23.3713577347054,4.79697038993247e-07,0.000133195877827125,6.86724182137701e-05,"CD74/PTGS2/IL1B",3
"GO:1902106","negative regulation of leukocyte differentiation","5/28","120/18860",0.0416666666666667,28.0654761904762,11.4686322080037,8.38299734933298e-07,0.000138951262551186,7.16397486837478e-05,"TLR4/CD74/IRF1/RUNX3/BCL6",5
"GO:1904646","cellular response to amyloid-beta","4/28","50/18860",0.08,53.8857142857143,14.4384010863876,8.53782900757358e-07,0.000138951262551186,7.16397486837478e-05,"TLR4/LCN2/EPHA4/LGMN",4
"GO:0071621","granulocyte chemotaxis","5/28","121/18860",0.0413223140495868,27.8335301062574,11.4179309720525,8.73542833772006e-07,0.000138951262551186,7.16397486837478e-05,"CXCL10/CD74/IL1B/MAPK1/PDE4B",5
"GO:0071222","cellular response to lipopolysaccharide","6/28","229/18860",0.0262008733624454,17.6481597005614,9.77363271792264,9.04250598786238e-07,0.000138951262551186,7.16397486837478e-05,"TLR4/LCN2/CXCL10/IL1B/MAPK1/PDE4B",6
"GO:0030595","leukocyte chemotaxis","6/28","237/18860",0.0253164556962025,17.0524412296564,9.58915995611443,1.10470228228546e-06,0.000138951262551186,7.16397486837478e-05,"CXCL10/CD74/LGMN/IL1B/MAPK1/PDE4B",6
"GO:0097529","myeloid leukocyte migration","6/28","237/18860",0.0253164556962025,17.0524412296564,9.58915995611443,1.10470228228546e-06,0.000138951262551186,7.16397486837478e-05,"CXCL10/CD74/LGMN/IL1B/MAPK1/PDE4B",6
"GO:1903707","negative regulation of hemopoiesis","5/28","127/18860",0.0393700787401575,26.5185601799775,11.1261390652382,1.11034684750011e-06,0.000138951262551186,7.16397486837478e-05,"TLR4/CD74/IRF1/RUNX3/BCL6",5
"GO:0045581","negative regulation of T cell differentiation","4/28","54/18860",0.0740740740740741,49.8941798941799,13.8738167301472,1.16765766849736e-06,0.000138951262551186,7.16397486837478e-05,"CD74/IRF1/RUNX3/BCL6",4
"GO:0031392","regulation of prostaglandin biosynthetic process","3/28","15/18860",0.2,134.714285714286,19.9763201926574,1.31754878604257e-06,0.000146302076292126,7.54296419121593e-05,"CD74/PTGS2/IL1B",3
"GO:0071219","cellular response to molecule of bacterial origin","6/28","247/18860",0.0242914979757085,16.3620589936379,9.37086841725528,1.40506195718728e-06,0.000146302076292126,7.54296419121593e-05,"TLR4/LCN2/CXCL10/IL1B/MAPK1/PDE4B",6
