GeneSymbol,MedianRank,N_Datasets,Direction,WGCNA_Module,Degree,Betweenness,Hub_Rank,Composite
TLR4,5.682142695754652,4,Up,brown,11,0.0564238230904897,2.333333333333333,7.0
CD74,3.664927199238943,4,Up,green,8,0.1348935015601682,2.833333333333333,16.5
IL1B,3.063153978772492,4,Up,brown,13,0.1241826075159408,1.3333333333333333,17.0
PTGS2,3.632030632346293,4,Up,purple,10,0.0369488536155202,5.333333333333333,18.0
CXCL10,4.312570705741137,4,Up,blue,7,0.0407814407814407,6.5,19.5
IRF1,3.512941568068052,4,Up,red,8,0.0494844661511328,4.833333333333333,19.5
LCN2,5.208602643109801,4,Up,midnightblue,5,0.0144688644688644,9.666666666666666,22.5
SP1,4.035876226300375,4,Up,brown,4,0.0088793922127255,11.666666666666666,32.0
MAPK1,2.8280470620566973,4,Up,brown,5,0.0018993352326685,11.0,36.5
KLF6,4.044143439597746,4,Up,brown,2,0.0009496676163342,15.166666666666666,37.0
EGR1,-2.150183608096623,4,Down,brown,7,0.0073599240265906,8.833333333333334,37.5
BCL6,2.0646220909361235,4,Up,brown,6,0.0533984533984534,6.333333333333333,38.0
CTSB,2.354754188209084,4,Up,grey,4,0.0116402116402116,10.333333333333334,42.0
SAT1,5.741912330103856,4,Up,brown,1,0.0,21.166666666666668,44.0
KDM6B,2.750993124984747,4,Up,brown,2,0.0512820512820512,12.166666666666666,46.0
LGMN,3.248056705386637,4,Up,grey,2,0.0,18.166666666666668,46.0
IGFBP7,3.10382911019283,4,Up,green,2,0.0,18.5,48.0
PDE4B,2.7295359354399835,4,Up,purple,2,0.0,17.166666666666668,50.0
EMP1,6.884165711170224,4,Up,grey,0,0.0,24.166666666666668,52.0
SOD1,-1.674418995040004,4,Down,blue,4,0.0,15.5,54.0
EPHA4,-4.422144335325264,4,Down,blue,0,0.0,24.166666666666668,56.0
RUNX3,2.487006395974697,3,Up,cyan,1,0.0,20.33333333333333,58.5
FBXO31,-3.441701577106476,4,Down,green,0,0.0,24.166666666666668,63.0
LPCAT3,2.155482806937953,4,Up,brown,1,0.0,21.166666666666668,64.0
DYRK1A,1.6550079614835722,4,Up,brown,1,0.0,20.666666666666668,68.5
LACTB,2.2194834491230933,4,Up,grey,0,0.0,24.166666666666668,72.0
GMFB,1.9390486064954304,4,Up,purple,0,0.0,24.166666666666668,76.0
HBP1,1.9113986340283136,4,Up,brown,0,0.0,24.166666666666668,77.0
