Gene,Degree,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,Hub_Rank,MedianRank,N_Datasets,Direction,WGCNA_Module
TLR4,3,0.1111111111111111,0.014245014245014245,0.11851851851851852,1.5,5.682142695754652,4,Up,brown
SP1,3,0.1111111111111111,0.014245014245014245,0.11851851851851852,1.5,4.035876226300375,4,Up,brown
CXCL10,2,0.07407407407407407,0.008547008547008548,0.09876543209876543,3.5,4.312570705741137,4,Up,blue
MAPK1,2,0.07407407407407407,0.008547008547008548,0.09876543209876543,3.5,2.8280470620566973,4,Up,brown
CD74,1,0.037037037037037035,0.0,0.07407407407407407,10.166666666666666,3.664927199238943,4,Up,green
IL1B,1,0.037037037037037035,0.0,0.07407407407407407,10.166666666666666,3.063153978772492,4,Up,brown
EGR1,1,0.037037037037037035,0.0,0.07407407407407407,10.166666666666666,-2.150183608096623,4,Down,brown
KLF6,1,0.037037037037037035,0.0,0.07407407407407407,10.166666666666666,4.044143439597746,4,Up,brown
PTGS2,1,0.037037037037037035,0.0,0.06584362139917695,11.166666666666666,3.632030632346293,4,Up,purple
IGFBP7,1,0.037037037037037035,0.0,0.06584362139917695,11.166666666666666,3.10382911019283,4,Up,green
GMFB,0,0.0,0.0,0.0,18.5,1.9390486064954304,4,Up,purple
LPCAT3,0,0.0,0.0,0.0,18.5,2.155482806937953,4,Up,brown
LACTB,0,0.0,0.0,0.0,18.5,2.2194834491230933,4,Up,grey
CTSB,0,0.0,0.0,0.0,18.5,2.354754188209084,4,Up,grey
HBP1,0,0.0,0.0,0.0,18.5,1.9113986340283136,4,Up,brown
BCL6,0,0.0,0.0,0.0,18.5,2.0646220909361235,4,Up,brown
RUNX3,0,0.0,0.0,0.0,18.5,2.487006395974697,3,Up,cyan
EMP1,0,0.0,0.0,0.0,18.5,6.884165711170224,4,Up,grey
KDM6B,0,0.0,0.0,0.0,18.5,2.750993124984747,4,Up,brown
SOD1,0,0.0,0.0,0.0,18.5,-1.674418995040004,4,Down,blue
LGMN,0,0.0,0.0,0.0,18.5,3.248056705386637,4,Up,grey
FBXO31,0,0.0,0.0,0.0,18.5,-3.441701577106476,4,Down,green
IRF1,0,0.0,0.0,0.0,18.5,3.512941568068052,4,Up,red
EPHA4,0,0.0,0.0,0.0,18.5,-4.422144335325264,4,Down,blue
LCN2,0,0.0,0.0,0.0,18.5,5.208602643109801,4,Up,midnightblue
SAT1,0,0.0,0.0,0.0,18.5,5.741912330103856,4,Up,brown
PDE4B,0,0.0,0.0,0.0,18.5,2.7295359354399835,4,Up,purple
DYRK1A,0,0.0,0.0,0.0,18.5,1.6550079614835722,4,Up,brown
