category,term,number_of_genes,ratio_in_set,ncbiTaxonId,inputGenes,preferredNames,description
COMPARTMENTS,GOCC:0000139,1,0.036,9606,['CD74'],['CD74'],Golgi membrane
COMPARTMENTS,GOCC:0000151,1,0.036,9606,['FBXO31'],['FBXO31'],Ubiquitin ligase complex
COMPARTMENTS,GOCC:0000323,5,0.179,9606,"['CD74', 'MAPK1', 'IL1B', 'CTSB', 'LGMN']","['CD74', 'MAPK1', 'IL1B', 'CTSB', 'LGMN']",Lytic vacuole
COMPARTMENTS,GOCC:0000785,3,0.107,9606,"['EGR1', 'IRF1', 'SP1']","['EGR1', 'IRF1', 'SP1']",Chromatin
COMPARTMENTS,GOCC:0000791,1,0.036,9606,['SP1'],['SP1'],Euchromatin
COMPARTMENTS,GOCC:0001650,1,0.036,9606,['KLF6'],['KLF6'],Fibrillar center
COMPARTMENTS,GOCC:0001891,1,0.036,9606,['TLR4'],['TLR4'],Phagocytic cup
COMPARTMENTS,GOCC:0005576,9,0.321,9606,"['CD74', 'MAPK1', 'IL1B', 'SOD1', 'IGFBP7', 'CXCL10', 'CTSB', 'LCN2', 'LGMN']","['CD74', 'MAPK1', 'IL1B', 'SOD1', 'IGFBP7', 'CXCL10', 'CTSB', 'LCN2', 'LGMN']",Extracellular region
COMPARTMENTS,GOCC:0005615,8,0.286,9606,"['CD74', 'IL1B', 'SOD1', 'IGFBP7', 'CXCL10', 'CTSB', 'LCN2', 'LGMN']","['CD74', 'IL1B', 'SOD1', 'IGFBP7', 'CXCL10', 'CTSB', 'LCN2', 'LGMN']",Extracellular space
COMPARTMENTS,GOCC:0005618,2,0.071,9606,"['IL1B', 'TLR4']","['IL1B', 'TLR4']",Cell wall
COMPARTMENTS,GOCC:0005622,22,0.786,9606,"['CD74', 'MAPK1', 'HBP1', 'EGR1', 'IRF1', 'KDM6B', 'LPCAT3', 'LACTB', 'IL1B', 'SOD1', 'EPHA4', 'FBXO31', 'SP1', 'DYRK1A', 'CTSB', 'PTGS2', 'LCN2', 'TLR4', 'LGMN', 'RUNX3', 'BCL6', 'KLF6']","['CD74', 'MAPK1', 'HBP1', 'EGR1', 'IRF1', 'KDM6B', 'LPCAT3', 'LACTB', 'IL1B', 'SOD1', 'EPHA4', 'FBXO31', 'SP1', 'DYRK1A', 'CTSB', 'PTGS2', 'LCN2', 'TLR4', 'LGMN', 'RUNX3', 'BCL6', 'KLF6']",Intracellular
COMPARTMENTS,GOCC:0005634,13,0.464,9606,"['CD74', 'MAPK1', 'HBP1', 'EGR1', 'IRF1', 'KDM6B', 'SOD1', 'SP1', 'DYRK1A', 'PTGS2', 'RUNX3', 'BCL6', 'KLF6']","['CD74', 'MAPK1', 'HBP1', 'EGR1', 'IRF1', 'KDM6B', 'SOD1', 'SP1', 'DYRK1A', 'PTGS2', 'RUNX3', 'BCL6', 'KLF6']",Nucleus
COMPARTMENTS,GOCC:0005635,1,0.036,9606,['PTGS2'],['PTGS2'],Nuclear envelope
COMPARTMENTS,GOCC:0005637,1,0.036,9606,['PTGS2'],['PTGS2'],Nuclear inner membrane
COMPARTMENTS,GOCC:0005640,1,0.036,9606,['PTGS2'],['PTGS2'],Nuclear outer membrane
COMPARTMENTS,GOCC:0005654,8,0.286,9606,"['MAPK1', 'EGR1', 'IRF1', 'KDM6B', 'SP1', 'DYRK1A', 'RUNX3', 'BCL6']","['MAPK1', 'EGR1', 'IRF1', 'KDM6B', 'SP1', 'DYRK1A', 'RUNX3', 'BCL6']",Nucleoplasm
