"Gene","Module","ModuleLabel"
"ILMN_2165753","grey",0
"ILMN_1783142","turquoise",1
"ILMN_1697499","grey",0
"ILMN_2402936","turquoise",1
"ILMN_1715169","grey",0
"ILMN_1759954","turquoise",1
"ILMN_1776519","yellow",4
"ILMN_2112580","turquoise",1
"ILMN_2191331","turquoise",1
"ILMN_2407235","turquoise",1
"ILMN_2134538","turquoise",1
"ILMN_2181241","turquoise",1
"ILMN_2408415","turquoise",1
"ILMN_2102721","midnightblue",15
"ILMN_2294762","turquoise",1
"ILMN_2173835","turquoise",1
"ILMN_2124757","turquoise",1
"ILMN_2165289","midnightblue",15
"ILMN_2042651","turquoise",1
"ILMN_1753347","midnightblue",15
"ILMN_2133316","turquoise",1
"ILMN_2389590","turquoise",1
"ILMN_1680192","turquoise",1
"ILMN_2105253","turquoise",1
"ILMN_2134453","turquoise",1
"ILMN_2091846","turquoise",1
"ILMN_2222688","turquoise",1
"ILMN_2398474","turquoise",1
"ILMN_1733559","yellow",4
"ILMN_1716733","grey",0
"ILMN_1772809","yellow",4
"ILMN_2183216","turquoise",1
"ILMN_1735712","yellow",4
"ILMN_1738150","turquoise",1
"ILMN_1652431","yellow",4
"ILMN_1803788","turquoise",1
"ILMN_1703622","turquoise",1
"ILMN_2046315","turquoise",1
"ILMN_2193213","midnightblue",15
"ILMN_1690114","turquoise",1
"ILMN_1743046","lightcyan",16
"ILMN_2159694","grey",0
"ILMN_2047885","turquoise",1
"ILMN_2041101","turquoise",1
"ILMN_2346137","turquoise",1
"ILMN_1783852","turquoise",1
"ILMN_1723912","greenyellow",11
"ILMN_2058782","yellow",4
"ILMN_2243516","turquoise",1
"ILMN_2116877","midnightblue",15
"ILMN_1755115","turquoise",1
"ILMN_1696584","brown",3
"ILMN_1656670","turquoise",1
"ILMN_1708323","yellow",4
"ILMN_2054554","turquoise",1
"ILMN_1713266","yellow",4
"ILMN_1695187","yellow",4
"ILMN_1707695","greenyellow",11
"ILMN_1657790","turquoise",1
"ILMN_2292387","turquoise",1
"ILMN_1726460","turquoise",1
"ILMN_2246083","turquoise",1
"ILMN_1749722","lightcyan",16
"ILMN_2061419","turquoise",1
"ILMN_1812281","brown",3
"ILMN_2211800","turquoise",1
"ILMN_2151739","turquoise",1
"ILMN_1815578","turquoise",1
"ILMN_2122374","turquoise",1
"ILMN_1680652","yellow",4
"ILMN_1807945","turquoise",1
"ILMN_1792455","yellow",4
"ILMN_1706635","midnightblue",15
"ILMN_2168866","turquoise",1
"ILMN_1729019","turquoise",1
"ILMN_1788095","turquoise",1
"ILMN_2113362","turquoise",1
"ILMN_1749984","lightcyan",16
"ILMN_2389844","turquoise",1
"ILMN_1805750","greenyellow",11
"ILMN_2161286","turquoise",1
"ILMN_1713458","yellow",4
"ILMN_1731048","turquoise",1
"ILMN_2207505","turquoise",1
"ILMN_2196588","turquoise",1
"ILMN_1657871","greenyellow",11
"ILMN_2136133","turquoise",1
"ILMN_2045419","turquoise",1
"ILMN_2123415","turquoise",1
"ILMN_1748915","turquoise",1
"ILMN_2101928","turquoise",1
"ILMN_1688580","midnightblue",15
"ILMN_1769229","turquoise",1
"ILMN_1801216","brown",3
"ILMN_1806056","midnightblue",15
"ILMN_2219712","turquoise",1
"ILMN_1814397","yellow",4
"ILMN_2093389","turquoise",1
"ILMN_1701933","yellow",4
"ILMN_2404850","turquoise",1
