"Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k."
1,0.0498088522297679,7.80925282913748,0.629250756366471,4006.14511177581,4000.27829845538,4146.73517633163
2,0.0819380972618652,-3.82949080750047,0.914647299090532,2250.56524889304,2247.04493294116,2543.08186995784
3,0.0218936638369684,-0.835269842727122,0.766641330400134,1380.19634611606,1379.30192395946,1753.1123042323
4,0.0321368360598998,-0.461015332124828,0.942963312675568,905.51517379279,898.462586222108,1339.2814946999
5,0.218109289720323,-0.925572571232029,0.976150223648158,626.199350087945,611.8410632396,1114.1176684065
6,0.406874529990186,-1.10620981850827,0.969181865838097,451.49515746411,432.053020255087,960.686824417456
7,0.568971804100552,-1.21508422961191,0.95195680334795,336.66531842684,311.628496257621,847.561862111097
8,0.685989578882353,-1.31175031637595,0.936827109367155,258.047944214447,229.296915892852,759.312828460059
9,0.760013042472099,-1.37314388834619,0.931729790994507,202.36577025383,172.033492865274,687.652315910305
10,0.823837924930471,-1.42102702784737,0.928200909562155,161.786033682201,131.007189202323,627.761864484903
11,0.862317029731963,-1.46622044418117,0.933121295446209,131.48602410927,100.760915733694,576.639964085234
12,0.896897420912288,-1.4890773507755,0.938242116938842,108.385047285744,78.5163471153572,532.30358742546
13,0.910355949013554,-1.51165293463413,0.933928006663742,90.4514007188465,61.3748557677606,493.376260157313
14,0.932454571173884,-1.52096105536981,0.94539290985348,76.3073553819712,48.5153676047536,458.862590756747
15,0.941339011513432,-1.52605379531777,0.947717395064042,64.9955195445134,38.6861658053748,428.018060359482
16,0.951299549842816,-1.52158897104824,0.952275402849192,55.8360586839643,31.0710356889303,400.270101588031
17,0.955657444134375,-1.52253113751371,0.952910890915254,48.3368635868033,25.1135046291599,375.168150363548
18,0.958952086506015,-1.51446363578907,0.955230137513883,42.1355424119876,20.4923245172835,352.350798106135
19,0.953582356746114,-1.51056119839553,0.947899356571458,36.9610778689988,16.7760298925821,331.523447307118
20,0.956619754387518,-1.49853537711471,0.950561091745004,32.6079437657224,13.8122453488204,312.442655091417
21,0.955983181449116,-1.48320863119797,0.950078239175768,28.9182962339775,11.4341661035476,294.904875424555
22,0.954476689880068,-1.46925538689297,0.947848349823361,25.7695067238808,9.49849942890781,278.738179207213
23,0.954780903116761,-1.45628405638824,0.947337516620059,23.0652956935293,7.92413409989052,263.796043033799
24,0.95538623320466,-1.44361987830441,0.948858525880906,20.7293353663665,6.63814637465732,249.952608296038
25,0.954484684950241,-1.43448970048223,0.948432291788333,18.700572411889,5.56306774094702,237.099006848329
26,0.952124246490218,-1.42329944943918,0.945203900147856,16.9297661629492,4.70340952483353,225.140474466759
27,0.954588728190832,-1.40963045195241,0.947835109761488,15.3768974422783,3.98926886559709,213.994055659623
28,0.951871460673487,-1.3977640950486,0.944543990177418,14.0092086957484,3.37908071369276,203.586758824123
29,0.955786006463544,-1.38316434966274,0.949774560792714,12.7997071787016,2.88374333205121,193.854058840594
30,0.951958599991719,-1.37389380857075,0.945864858282025,11.7260114198325,2.46627343086547,184.738670864639
