"axis_name","gene_symbol","gene_function","metabolite","display_name","met_category","log2FC_aging","p_adj_aging","direction_aging","expected_aging","match_aging","expected_mcao","evidence_note"
"SAT1-polyamine","SAT1","spermidine/spermine N1-acetyltransferase","N-α-Acetyl-ornithine","Ornithine","polyamine_metabolism",-0.8928,6.29535280900188e-33,"DOWN","DOWN",TRUE,"UP","SAT1激活→精胺/亚精胺乙酰化→耗竭；MCAO后SAT1预期上调"
"SAT1-polyamine","SAT1","spermidine/spermine N1-acetyltransferase","N5-(1-Imino-3-butenyl)-ornithine","Ornithine","polyamine_metabolism",0.5664,3.12328031304599e-05,"UP","DOWN",FALSE,"UP","SAT1激活→精胺/亚精胺乙酰化→耗竭；MCAO后SAT1预期上调"
"SAT1-polyamine","SAT1","spermidine/spermine N1-acetyltransferase","N8-Acetylspermidine","Spermidine","polyamine_metabolism",-0.7499,5.0631845226021e-21,"DOWN","DOWN",TRUE,"UP","SAT1激活→精胺/亚精胺乙酰化→耗竭；MCAO后SAT1预期上调"
"SAT1-polyamine","SAT1","spermidine/spermine N1-acetyltransferase","Ornithine","Ornithine","polyamine_metabolism",-0.8986,7.68942640786087e-15,"DOWN","DOWN",TRUE,"UP","SAT1激活→精胺/亚精胺乙酰化→耗竭；MCAO后SAT1预期上调"
"SAT1-polyamine","SAT1","spermidine/spermine N1-acetyltransferase","Putrescine","Putrescine","polyamine_metabolism",-0.636,8.58040137123462e-20,"DOWN","DOWN",TRUE,"UP","SAT1激活→精胺/亚精胺乙酰化→耗竭；MCAO后SAT1预期上调"
"SAT1-polyamine","SAT1","spermidine/spermine N1-acetyltransferase","Spermidine","Spermidine","polyamine_metabolism",-0.0084,0.877707224456312,"DOWN","DOWN",TRUE,"UP","SAT1激活→精胺/亚精胺乙酰化→耗竭；MCAO后SAT1预期上调"
"SAT1-polyamine","SAT1","spermidine/spermine N1-acetyltransferase","Spermine","Spermine","polyamine_metabolism",0.2156,0.331616650090407,"UP","DOWN",FALSE,"UP","SAT1激活→精胺/亚精胺乙酰化→耗竭；MCAO后SAT1预期上调"
"ACSL4-lipid_signaling","ACSL4","acyl-CoA synthetase long-chain 4 (PUFA-biased)","2-hydroxystearic acid","SA (18:0)","lipid_signaling",-0.1817,0.658131037432853,"DOWN","UP",FALSE,"UP","ACSL4激活→PUFA-磷脂重塑→脂质过氧化底物蓄积"
"ACSL4-lipid_signaling","ACSL4","acyl-CoA synthetase long-chain 4 (PUFA-biased)","Hydroxypalmitic acid","PA (16:0)","lipid_signaling",0.0707,0.126966327159593,"UP","UP",TRUE,"UP","ACSL4激活→PUFA-磷脂重塑→脂质过氧化底物蓄积"
"ACSL4-lipid_signaling","ACSL4","acyl-CoA synthetase long-chain 4 (PUFA-biased)","FA 16:0 (Palmitic acid)","PA (16:0)","lipid_signaling",-0.0037,0.993208724208738,"DOWN","UP",FALSE,"UP","ACSL4激活→PUFA-磷脂重塑→脂质过氧化底物蓄积"
