"human_symbol","kegg_gene_id","kegg_description"
"ABCC1","mmu:17250","Abcc1, Abcc1a, Abcc1b, MRP, Mdrap, Mrp1; multidrug resistance-associated protein 1 isoform 1"
"ACVR1B","mmu:11479","Acvr1b, 6820432J04, ALK-4, ActR-IB, ActRIB, Acvrlk4, Alk4, SKR2; activin receptor type-1B precursor"
"ACSL4","mmu:50790","Acsl4, 9430020A05Rik, ACS4, Facl4, Lacs4; long-chain-fatty-acid--CoA ligase 4 isoform 1"
"ALOX15","mmu:11687","Alox15, 12-LO, 12/15-LO, 15-LOX, Alox12l, L-12LO; polyunsaturated fatty acid lipoxygenase ALOX15"
"ATF3","mmu:11910","Atf3, LRG-21; cyclic AMP-dependent transcription factor ATF-3"
"ATG3","mmu:67841","Atg3, 2610016C12Rik, APG3, Apg3l, Atg3l, PC3-96; ubiquitin-like-conjugating enzyme ATG3 isoform 1"
"BAP1","mmu:14924","Magi1, AIP3, BAP1, Baiap1, Gukmi1, MAGI1c, Magi-1, TNRC19, WWP3, mKIAA4129; membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1 isoform c"
"BCL6","mmu:12053","Bcl6, Bcl5; B-cell lymphoma 6 protein homolog isoform 1"
"BRD7","mmu:26992","Brd7, BP75, CELTIX1, Ptpn13ip; bromodomain-containing protein 7 isoform 1"
"CAVIN1","mmu:19285","Cavin1, 2310075E07Rik, Cav-p60, Cavin, Ptrf; caveolae-associated protein 1 isoform 1"
"CD74","mmu:16149","Cd74, CLIP, DHLAG, HLADG, Ia-GAMMA, Ii; H-2 class II histocompatibility antigen gamma chain isoform 1"
"CD82","mmu:12521","Cd82, C33, IA4, Kai1, Tspan27; CD82 antigen"
"CDO1","mmu:12583","Cdo1, 1300002L19Rik, Cdo, D18Ucla3; cysteine dioxygenase type 1"
"COX7A1","mmu:12865","Cox7a1, COX7A, COX7AH, COX7AM; cytochrome c oxidase subunit 7A1, mitochondrial isoform 2 precursor"
