"pathway_code","n_genes","gene_list"
"00061",1,"ACSL4"
"00071",1,"ACSL4"
"00190",1,"COX7A1"
"00230",1,"PDE4B"
"00270",1,"CDO1"
"00310",1,"SETD7"
"00430",1,"CDO1"
"00564",1,"LPCAT3"
"00590",3,"ALOX15;LOX;PTGS2"
"00591",1,"ALOX15"
"00860",1,"HMOX1"
"00983",1,"MPO"
"01100",9,"ACSL4;ALOX15;CDO1;COX7A1;HMOX1;LOX;PDE4B;PTGS2;SETD7"
"01212",1,"ACSL4"
"01521",1,"MAPK1"
"01522",4,"E2F1;E2F3;MAPK1;MAPK14"
"01523",2,"ABCC1;IL1B"
"01524",1,"MAPK1"
"02010",1,"ABCC1"
"03015",1,"PPP2R2B"
"03050",1,"IFNG"
"03082",2,"BRD7;SMARCB1"
"03250",1,"SMARCB1"
"03272",1,"DPP4"
"03273",1,"TFRC"
"03320",1,"ACSL4"
"03410",1,"HMGB1"
"04010",5,"EPHA2;IL1B;MAP3K14;MAPK1;MAPK14"
"04012",1,"MAPK1"
"04014",2,"EPHA2;MAPK1"
"04015",5,"BAP1;EPHA2;MAPK1;MAPK14;PRKD1"
"04020",1,"MCU"
"04022",1,"MAPK1"
"04024",3,"EDN1;MAPK1;PDE4B"
"04060",5,"ACVR1B;CXCL10;IFNG;IL1B;LIFR"
"04061",1,"CXCL10"
"04062",2,"CXCL10;MAPK1"
"04064",4,"IL1B;MAP3K14;PTGS2;TLR4"
"04066",7,"EDN1;HIF1A;HMOX1;IFNG;MAPK1;TFRC;TLR4"
"04068",4,"BCL6;MAPK1;MAPK14;SETD7"
"04071",4,"ABCC1;MAPK1;MAPK14;PPP2R2B"
"04072",1,"MAPK1"
"04080",1,"EDN1"
"04110",2,"E2F1;E2F3"
"04114",2,"MAPK1;MAPK14"
"04115",1,"CD82"
"04120",3,"KEAP1;SMURF2;SOCS1"
"04136",1,"ATG3"
"04137",3,"E2F1;HIF1A;SMURF2"
"04140",5,"ATG3;CTSB;HIF1A;HMGB1;MAPK1"
"04141",1,"HERPUD1"
"04142",2,"CTSB;LGMN"
"04144",2,"SMURF2;TFRC"
"04145",5,"ATG3;CTSB;LCN2;MPO;TLR4"
"04146",2,"ACSL4;SOD1"
"04148",7,"ALOX15;HIF1A;IL6;LOX;MAPK1;MAPK14;PTGS2"
"04150",2,"MAPK1;WNT5A"
"04151",5,"BAP1;EPHA2;MAPK1;PPP2R2B;TLR4"
"04152",1,"PPP2R2B"
"04156",1,"ATF3"
"04210",3,"CTSB;MAP3K14;MAPK1"
"04213",1,"SOD1"
"04216",5,"ACSL4;ALOX15;HMOX1;LPCAT3;TFRC"
"04217",8,"ALOX15;HMGB1;IFNG;IL1B;IRF9;NLRP3;SPATA2;TLR4"
"04218",5,"E2F1;E2F3;MAPK1;MAPK14;MCU"
"04260",1,"COX7A1"
