"kegg_gene_id","pathway_id","pathway_code"
"mmu:17250","mmu01523","01523"
"mmu:17250","mmu02010","02010"
"mmu:17250","mmu04071","04071"
"mmu:17250","mmu04977","04977"
"mmu:17250","mmu04981","04981"
"mmu:17250","mmu05206","05206"
"mmu:11479","mmu04060","04060"
"mmu:11479","mmu04350","04350"
"mmu:11479","mmu04550","04550"
"mmu:50790","mmu00061","00061"
"mmu:50790","mmu00071","00071"
"mmu:50790","mmu01100","01100"
"mmu:50790","mmu01212","01212"
"mmu:50790","mmu03320","03320"
"mmu:50790","mmu04146","04146"
"mmu:50790","mmu04216","04216"
"mmu:50790","mmu04714","04714"
"mmu:50790","mmu04920","04920"
"mmu:11687","mmu00590","00590"
"mmu:11687","mmu00591","00591"
"mmu:11687","mmu01100","01100"
"mmu:11687","mmu04148","04148"
"mmu:11687","mmu04216","04216"
"mmu:11687","mmu04217","04217"
"mmu:11687","mmu04726","04726"
"mmu:11910","mmu04156","04156"
"mmu:67841","mmu04136","04136"
"mmu:67841","mmu04140","04140"
"mmu:67841","mmu04145","04145"
"mmu:67841","mmu05167","05167"
"mmu:14924","mmu04015","04015"
"mmu:14924","mmu04151","04151"
"mmu:14924","mmu04517","04517"
"mmu:14924","mmu04530","04530"
"mmu:14924","mmu05165","05165"
"mmu:12053","mmu04068","04068"
"mmu:12053","mmu05202","05202"
"mmu:12053","mmu05207","05207"
"mmu:26992","mmu03082","03082"
"mmu:26992","mmu05225","05225"
"mmu:16149","mmu04612","04612"
"mmu:16149","mmu05152","05152"
"mmu:16149","mmu05168","05168"
"mmu:12521","mmu04115","04115"
"mmu:12583","mmu00270","00270"
"mmu:12583","mmu00430","00430"
"mmu:12583","mmu01100","01100"
"mmu:12865","mmu00190","00190"
"mmu:12865","mmu01100","01100"
"mmu:12865","mmu04260","04260"
"mmu:12865","mmu04714","04714"
"mmu:12865","mmu04932","04932"
"mmu:12865","mmu05010","05010"
"mmu:12865","mmu05012","05012"
