"metabolite_name","kegg_compound_id","kegg_description"
"15-HETE","C21482","1-Octadecanoyl-2-(15S-hydroxy-5Z,8Z,11Z,13E-eicosatetraenoyl)-sn-glycero-3-phosphoethanolamine; 18:0/15-HETE-PE"
"Succinate","C00042","Succinate; Succinic acid; Butanedionic acid; Ethylenesuccinic acid"
"AA","C18339","L-Ascorbic acid-2-glucoside; AA-2G"
"PE","C21482","1-Octadecanoyl-2-(15S-hydroxy-5Z,8Z,11Z,13E-eicosatetraenoyl)-sn-glycero-3-phosphoethanolamine; 18:0/15-HETE-PE"
"Ceramide","C00195","N-Acylsphingosine; Ceramide; N-Acylsphing-4-enine; (4E)-Sphing-4-enine ceramide"
"Lactate","C00186","(S)-Lactate; L-Lactate; L-Lactic acid"
"4-hydroxynonenal","C21642","4-Hydroxynonenal; 4-Hydroxy-2-nonenal; 4-HNE"
"malondialdehyde","C19440","Malonaldehyde; Malondialdehyde"
"arachidonic acid","C00219","Arachidonate; Arachidonic acid; (5Z,8Z,11Z,14Z)-Icosatetraenoic acid; cis-5,8,11,14-Eicosatetraenoic acid; 5Z,8Z,11Z,14Z-Eicosatetraenoic acid; (5Z,8Z,11Z,14Z)-Icosa-5,8,11,14-tetraenoic acid"
"spermidine","C00315","Spermidine; N-(3-Aminopropyl)-1,4-butane-diamine"
"spermine","C00750","Spermine; N,N'-Bis(3-aminopropyl)-1,4-butanediamine"
"putrescine","C00134","Putrescine; 1,4-Butanediamine; 1,4-Diaminobutane; Tetramethylenediamine; Butane-1,4-diamine"
"ornithine","C00077","L-Ornithine; (S)-2,5-Diaminovaleric acid; (S)-2,5-Diaminopentanoic acid; (S)-2,5-Diaminopentanoate"
"glutathione","C00051","Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glutamyl-L-cysteinyl-glycine; GSH; Reduced glutathione"
"cysteine","C00097","L-Cysteine; L-2-Amino-3-mercaptopropionic acid"
"glutamate","C00025","L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate"
"taurine","C00245","Taurine; 2-Aminoethanesulfonic acid; Aminoethylsulfonic acid"
"citrate","C00158","Citrate; Citric acid; 2-Hydroxy-1,2,3-propanetricarboxylic acid; 2-Hydroxytricarballylic acid"
"succinate","C00042","Succinate; Succinic acid; Butanedionic acid; Ethylenesuccinic acid"
"fumarate","C00122","Fumarate; Fumaric acid; trans-Butenedioic acid"
"malate","C00149","(S)-Malate; L-Malate; L-Apple acid; L-Malic acid; L-2-Hydroxybutanedioic acid; Malate; Malic acid"
"NAD","C00003","NAD+; NAD; Nicotinamide adenine dinucleotide; DPN; Diphosphopyridine nucleotide; Nadide; beta-NAD+"
"nicotinamide","C00003","NAD+; NAD; Nicotinamide adenine dinucleotide; DPN; Diphosphopyridine nucleotide; Nadide; beta-NAD+"
"lactate","C00186","(S)-Lactate; L-Lactate; L-Lactic acid"
"pyruvate","C00022","Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid"
"ceramide","C00195","N-Acylsphingosine; Ceramide; N-Acylsphing-4-enine; (4E)-Sphing-4-enine ceramide"
"sphingosine","C00319","Sphingosine; Sphingenine; Sphingoid; Sphing-4-enine"
"choline","C00114","Choline; Bilineurine"
"ethanolamine","C00189","Ethanolamine; Aminoethanol; 2-Hydroxyethylamine"
"palmitic acid","C00249","Hexadecanoic acid; Hexadecanoate; Hexadecylic acid; Palmitic acid; Palmitate; Cetylic acid"
"stearic acid","C01530","Octadecanoic acid; Stearate; Stearic acid"
"oleic acid","C00712","(9Z)-Octadecenoic acid; (Z)-Octadec-9-enoic acid; Oleate; Oleic acid"
"phosphatidylethanolamine","C00350","Phosphatidylethanolamine; (3-Phosphatidyl)ethanolamine; (3-Phosphatidyl)-ethanolamine; Cephalin; O-(1-beta-Acyl-2-acyl-sn-glycero-3-phospho)ethanolamine; 1-Acyl-2-acyl-sn-glycero-3-phosphoethanolamine; L-1-Phosphatidylethanolamine"
