"pathway_code","n_metabolites","metabolite_list"
"00010",1,"NA"
"00020",1,"NA"
"00030",1,"NA"
"00040",1,"NA"
"00051",1,"NA"
"00053",1,"NA"
"00061",1,"NA"
"00062",1,"NA"
"00071",1,"NA"
"00073",1,"NA"
"00120",1,"NA"
"00190",1,"NA"
"00220",1,"NA"
"00250",1,"NA"
"00260",1,"NA"
"00261",1,"NA"
"00270",1,"NA"
"00290",1,"NA"
"00310",1,"NA"
"00311",1,"NA"
"00330",1,"NA"
"00332",1,"NA"
"00340",1,"NA"
"00350",1,"NA"
"00360",1,"NA"
"00361",1,"NA"
"00362",1,"NA"
"00410",1,"NA"
"00430",1,"NA"
"00440",1,"NA"
"00460",1,"NA"
"00470",1,"NA"
"00480",1,"NA"
"00524",1,"NA"
"00552",1,"NA"
"00563",1,"NA"
"00564",1,"NA"
"00566",1,"NA"
"00590",1,"NA"
"00591",1,"NA"
"00600",1,"NA"
"00620",1,"NA"
"00621",1,"NA"
"00622",1,"NA"
"00630",1,"NA"
"00640",1,"NA"
"00643",1,"NA"
"00650",1,"NA"
"00660",1,"NA"
"00670",1,"NA"
"00680",1,"NA"
"00710",1,"NA"
"00720",1,"NA"
"00730",1,"NA"
"00760",1,"NA"
"00770",1,"NA"
"00785",1,"NA"
"00860",1,"NA"
"00900",1,"NA"
"00910",1,"NA"
"00920",1,"NA"
"00940",1,"NA"
"00960",1,"NA"
"00970",1,"NA"
"00975",1,"NA"
"00983",1,"NA"
"00984",1,"NA"
"00997",1,"NA"
"00998",1,"NA"
"01040",1,"NA"
"01060",1,"NA"
"01061",1,"NA"
"01062",1,"NA"
"01063",1,"NA"
"01064",1,"NA"
"01065",1,"NA"
"01066",1,"NA"
"01070",1,"NA"
"01100",1,"NA"
"01110",1,"NA"
"01120",1,"NA"
"01200",1,"NA"
"01210",1,"NA"
"01212",1,"NA"
"01220",1,"NA"
"01230",1,"NA"
"01240",1,"NA"
"01320",1,"NA"
"01502",1,"NA"
"02010",1,"NA"
"02020",1,"NA"
"02060",1,"NA"
"04024",1,"NA"
"04066",1,"NA"
"04068",1,"NA"
"04071",1,"NA"
"04072",1,"NA"
"04080",1,"NA"
"04082",1,"NA"
"04122",1,"NA"
"04136",1,"NA"
"04138",1,"NA"
"04140",1,"NA"
"04148",1,"NA"
"04152",1,"NA"
"04210",1,"NA"
"04211",1,"NA"
"04212",1,"NA"
"04216",1,"NA"
"04217",1,"NA"
"04270",1,"NA"
"04540",1,"NA"
"04611",1,"NA"
"04664",1,"NA"
"04666",1,"NA"
"04713",1,"NA"
"04720",1,"NA"
"04721",1,"NA"
"04722",1,"NA"
"04723",1,"NA"
"04724",1,"NA"
"04725",1,"NA"
"04726",1,"NA"
"04727",1,"NA"
"04730",1,"NA"
"04742",1,"NA"
"04745",1,"NA"
"04750",1,"NA"
"04911",1,"NA"
"04912",1,"NA"
"04913",1,"NA"
"04918",1,"NA"
"04920",1,"NA"
"04921",1,"NA"
"04922",1,"NA"
"04923",1,"NA"
"04925",1,"NA"
"04930",1,"NA"
"04931",1,"NA"
"04933",1,"NA"
"04936",1,"NA"
"04964",1,"NA"
"04974",1,"NA"
"04976",1,"NA"
"04977",1,"NA"
"04981",1,"NA"
"05014",1,"NA"
"05016",1,"NA"
"05017",1,"NA"
"05022",1,"NA"
"05030",1,"NA"
"05031",1,"NA"
"05033",1,"NA"
"05034",1,"NA"
"05130",1,"NA"
"05140",1,"NA"
"05146",1,"NA"
"05167",1,"NA"
"05200",1,"NA"
"05208",1,"NA"
"05211",1,"NA"
"05215",1,"NA"
"05225",1,"NA"
"05230",1,"NA"
"05231",1,"NA"
"05415",1,"NA"
"07034",1,"NA"
