"kegg_compound_id","pathway_id","pathway_code"
"cpd:C21482","map04216","04216"
"cpd:C00042","map00020","00020"
"cpd:C00042","map00190","00190"
"cpd:C00042","map00250","00250"
"cpd:C00042","map00310","00310"
"cpd:C00042","map00350","00350"
"cpd:C00042","map00360","00360"
"cpd:C00042","map00361","00361"
"cpd:C00042","map00620","00620"
"cpd:C00042","map00630","00630"
"cpd:C00042","map00640","00640"
"cpd:C00042","map00650","00650"
"cpd:C00042","map00720","00720"
"cpd:C00042","map00760","00760"
"cpd:C00042","map00920","00920"
"cpd:C00042","map01060","01060"
"cpd:C00042","map01061","01061"
"cpd:C00042","map01062","01062"
"cpd:C00042","map01063","01063"
"cpd:C00042","map01064","01064"
"cpd:C00042","map01065","01065"
"cpd:C00042","map01066","01066"
"cpd:C00042","map01070","01070"
"cpd:C00042","map01100","01100"
"cpd:C00042","map01110","01110"
"cpd:C00042","map01120","01120"
"cpd:C00042","map01200","01200"
"cpd:C00042","map01220","01220"
"cpd:C00042","map02020","02020"
"cpd:C00042","map04024","04024"
"cpd:C00042","map04727","04727"
"cpd:C00042","map04922","04922"
"cpd:C00042","map05230","05230"
"cpd:C21482","map04216","04216"
"cpd:C00195","map00600","00600"
"cpd:C00195","map01100","01100"
"cpd:C00195","map04071","04071"
"cpd:C00195","map04217","04217"
"cpd:C00195","map04722","04722"
"cpd:C00195","map04920","04920"
"cpd:C00195","map04931","04931"
"cpd:C00195","map04933","04933"
"cpd:C00195","map05140","05140"
"cpd:C00195","map05415","05415"
"cpd:C00186","map00010","00010"
"cpd:C00186","map00051","00051"
"cpd:C00186","map00620","00620"
"cpd:C00186","map00640","00640"
"cpd:C00186","map00643","00643"
"cpd:C00186","map01100","01100"
"cpd:C00186","map01110","01110"
"cpd:C00186","map01120","01120"
"cpd:C00186","map04024","04024"
"cpd:C00186","map04066","04066"
"cpd:C00186","map04148","04148"
"cpd:C00186","map04922","04922"
"cpd:C00186","map05230","05230"
"cpd:C21642","map05200","05200"
"cpd:C21642","map05225","05225"
"cpd:C00219","map00590","00590"
"cpd:C00219","map00591","00591"
"cpd:C00219","map01040","01040"
"cpd:C00219","map01100","01100"
"cpd:C00219","map04216","04216"
"cpd:C00219","map04217","04217"
"cpd:C00219","map04270","04270"
"cpd:C00219","map04611","04611"
"cpd:C00219","map04664","04664"
"cpd:C00219","map04666","04666"
"cpd:C00219","map04723","04723"
"cpd:C00219","map04726","04726"
"cpd:C00219","map04730","04730"
"cpd:C00219","map04745","04745"
"cpd:C00219","map04750","04750"
"cpd:C00219","map04912","04912"
"cpd:C00219","map04913","04913"
"cpd:C00219","map04921","04921"
"cpd:C00219","map04923","04923"
"cpd:C00219","map04925","04925"
"cpd:C00219","map05140","05140"
"cpd:C00219","map05146","05146"
"cpd:C00219","map07034","07034"
"cpd:C00315","map00330","00330"
"cpd:C00315","map00410","00410"
"cpd:C00315","map00480","00480"
"cpd:C00315","map00940","00940"
"cpd:C00315","map00975","00975"
"cpd:C00315","map01100","01100"
"cpd:C00315","map01110","01110"
"cpd:C00315","map02010","02010"
"cpd:C00315","map04976","04976"
"cpd:C00750","map00330","00330"
"cpd:C00750","map00410","00410"
"cpd:C00750","map00480","00480"
"cpd:C00750","map00770","00770"
"cpd:C00750","map01100","01100"
"cpd:C00750","map01240","01240"
"cpd:C00750","map04976","04976"
