"sample_id","ferroptosis_score","analysis_id","Brain.region","Age","Gender"
"AD_F1_BG",-0.038316384596645,"AN002675","Basal ganglia","3 weeks","Female"
"AD_F1_BG",-0.038316384596645,"AN002676","Basal ganglia","3 weeks","Female"
"AD_F1_BG",-0.038316384596645,"AN002677","Basal ganglia","3 weeks","Female"
"AD_F1_BG",-0.038316384596645,"AN002678","Basal ganglia","3 weeks","Female"
"AD_F1_BG",-0.038316384596645,"AN002679","Basal ganglia","3 weeks","Female"
"AD_F1_CB",-0.042115456052205,"AN002675","Cerebellum","3 weeks","Female"
"AD_F1_CB",-0.042115456052205,"AN002676","Cerebellum","3 weeks","Female"
"AD_F1_CB",-0.042115456052205,"AN002677","Cerebellum","3 weeks","Female"
"AD_F1_CB",-0.042115456052205,"AN002678","Cerebellum","3 weeks","Female"
"AD_F1_CB",-0.042115456052205,"AN002679","Cerebellum","3 weeks","Female"
"AD_F1_CT",-0.166093290117944,"AN002675","Cerebral cortex","3 weeks","Female"
"AD_F1_CT",-0.166093290117944,"AN002676","Cerebral cortex","3 weeks","Female"
"AD_F1_CT",-0.166093290117944,"AN002677","Cerebral cortex","3 weeks","Female"
"AD_F1_CT",-0.166093290117944,"AN002678","Cerebral cortex","3 weeks","Female"
"AD_F1_CT",-0.166093290117944,"AN002679","Cerebral cortex","3 weeks","Female"
"AD_F1_HC",-0.0631184506858857,"AN002675","Hippocampus","3 weeks","Female"
"AD_F1_HC",-0.0631184506858857,"AN002676","Hippocampus","3 weeks","Female"
"AD_F1_HC",-0.0631184506858857,"AN002677","Hippocampus","3 weeks","Female"
"AD_F1_HC",-0.0631184506858857,"AN002678","Hippocampus","3 weeks","Female"
"AD_F1_HC",-0.0631184506858857,"AN002679","Hippocampus","3 weeks","Female"
"AD_F1_HT",-0.26978805981026,"AN002675","Hypothalamus","3 weeks","Female"
"AD_F1_HT",-0.26978805981026,"AN002676","Hypothalamus","3 weeks","Female"
"AD_F1_HT",-0.26978805981026,"AN002677","Hypothalamus","3 weeks","Female"
"AD_F1_HT",-0.26978805981026,"AN002678","Hypothalamus","3 weeks","Female"
"AD_F1_HT",-0.26978805981026,"AN002679","Hypothalamus","3 weeks","Female"
"AD_F1_MB",0.147023866562319,"AN002675","Midbrain","3 weeks","Female"
"AD_F1_MB",0.147023866562319,"AN002676","Midbrain","3 weeks","Female"
"AD_F1_MB",0.147023866562319,"AN002677","Midbrain","3 weeks","Female"
"AD_F1_MB",0.147023866562319,"AN002678","Midbrain","3 weeks","Female"
"AD_F1_MB",0.147023866562319,"AN002679","Midbrain","3 weeks","Female"
"AD_F1_MD",0.228169782920103,"AN002675","Medulla","3 weeks","Female"
"AD_F1_MD",0.228169782920103,"AN002676","Medulla","3 weeks","Female"
"AD_F1_MD",0.228169782920103,"AN002677","Medulla","3 weeks","Female"
"AD_F1_MD",0.228169782920103,"AN002678","Medulla","3 weeks","Female"
"AD_F1_MD",0.228169782920103,"AN002679","Medulla","3 weeks","Female"
"AD_F1_OB",0.722052979682157,"AN002675","Olfactory bulb","3 weeks","Female"
"AD_F1_OB",0.722052979682157,"AN002676","Olfactory bulb","3 weeks","Female"
"AD_F1_OB",0.722052979682157,"AN002677","Olfactory bulb","3 weeks","Female"
"AD_F1_OB",0.722052979682157,"AN002678","Olfactory bulb","3 weeks","Female"
"AD_F1_OB",0.722052979682157,"AN002679","Olfactory bulb","3 weeks","Female"
"AD_F1_PON",-0.0729258193999506,"AN002675","Pons","3 weeks","Female"
"AD_F1_PON",-0.0729258193999506,"AN002676","Pons","3 weeks","Female"
"AD_F1_PON",-0.0729258193999506,"AN002677","Pons","3 weeks","Female"
"AD_F1_PON",-0.0729258193999506,"AN002678","Pons","3 weeks","Female"
"AD_F1_PON",-0.0729258193999506,"AN002679","Pons","3 weeks","Female"
"AD_F1_TL",0.0234019585677705,"AN002675","Thalamus","3 weeks","Female"
"AD_F1_TL",0.0234019585677705,"AN002676","Thalamus","3 weeks","Female"
"AD_F1_TL",0.0234019585677705,"AN002677","Thalamus","3 weeks","Female"
"AD_F1_TL",0.0234019585677705,"AN002678","Thalamus","3 weeks","Female"
"AD_F1_TL",0.0234019585677705,"AN002679","Thalamus","3 weeks","Female"
"AD_F2_BG",-0.0665121031068046,"AN002675","Basal ganglia","3 weeks","Female"
"AD_F2_BG",-0.0665121031068046,"AN002676","Basal ganglia","3 weeks","Female"
"AD_F2_BG",-0.0665121031068046,"AN002677","Basal ganglia","3 weeks","Female"
"AD_F2_BG",-0.0665121031068046,"AN002678","Basal ganglia","3 weeks","Female"
"AD_F2_BG",-0.0665121031068046,"AN002679","Basal ganglia","3 weeks","Female"
"AD_F2_CB",0.270538678562107,"AN002675","Cerebellum","3 weeks","Female"
"AD_F2_CB",0.270538678562107,"AN002676","Cerebellum","3 weeks","Female"
"AD_F2_CB",0.270538678562107,"AN002677","Cerebellum","3 weeks","Female"
"AD_F2_CB",0.270538678562107,"AN002678","Cerebellum","3 weeks","Female"
"AD_F2_CB",0.270538678562107,"AN002679","Cerebellum","3 weeks","Female"
"AD_F2_CT",-0.0390864139853153,"AN002675","Cerebral cortex","3 weeks","Female"
"AD_F2_CT",-0.0390864139853153,"AN002676","Cerebral cortex","3 weeks","Female"
"AD_F2_CT",-0.0390864139853153,"AN002677","Cerebral cortex","3 weeks","Female"
"AD_F2_CT",-0.0390864139853153,"AN002678","Cerebral cortex","3 weeks","Female"
"AD_F2_CT",-0.0390864139853153,"AN002679","Cerebral cortex","3 weeks","Female"
"AD_F2_HC",0.0328239165144676,"AN002675","Hippocampus","3 weeks","Female"
"AD_F2_HC",0.0328239165144676,"AN002676","Hippocampus","3 weeks","Female"
"AD_F2_HC",0.0328239165144676,"AN002677","Hippocampus","3 weeks","Female"
"AD_F2_HC",0.0328239165144676,"AN002678","Hippocampus","3 weeks","Female"
"AD_F2_HC",0.0328239165144676,"AN002679","Hippocampus","3 weeks","Female"
"AD_F2_HT",-0.125398292203651,"AN002675","Hypothalamus","3 weeks","Female"
"AD_F2_HT",-0.125398292203651,"AN002676","Hypothalamus","3 weeks","Female"
"AD_F2_HT",-0.125398292203651,"AN002677","Hypothalamus","3 weeks","Female"
