"metabolite_name","search_term","category","display_name","match_type"
"4-Hydroxynonenal alkyne","4-hydroxynonenal","lipid_peroxidation","4-HNE","fuzzy"
"Cysteine-glutathione disulfide","glutathione disulfide","lipid_peroxidation","GSSG","fuzzy"
"Glutathione","glutathione","antioxidant_defense","GSH (reduced)","exact"
"Glutathione (oxidized)","glutathione","antioxidant_defense","GSH (reduced)","fuzzy"
"Glutathione (reduced)","glutathione","antioxidant_defense","GSH (reduced)","fuzzy"
"Dehydro-(+)-ascorbic acid dimer","ascorbic acid","antioxidant_defense","Vitamin C","fuzzy"
"Dehydroascorbic acid","ascorbic acid","antioxidant_defense","Vitamin C","fuzzy"
"Ascorbic acid (Vitamin C)","ascorbic acid","antioxidant_defense","Vitamin C","fuzzy"
"Cysteine","cysteine","antioxidant_defense","Cysteine","exact"
"Homocysteine","cysteine","antioxidant_defense","Cysteine","fuzzy"
"S-Adenosyl-homocysteine","cysteine","antioxidant_defense","Cysteine","fuzzy"
"N-Acetylcysteine","cysteine","antioxidant_defense","Cysteine","fuzzy"
"S-Sulfocysteine","cysteine","antioxidant_defense","Cysteine","fuzzy"
"Taurine","taurine","antioxidant_defense","Taurine","exact"
"Hypotaurine","taurine","antioxidant_defense","Taurine","fuzzy"
"Methionine","methionine","antioxidant_defense","Methionine","exact"
"N-Acetylmethionine","methionine","antioxidant_defense","Methionine","fuzzy"
"N-Formylmethionine","methionine","antioxidant_defense","Methionine","fuzzy"
"S-Adenosyl-methionine","methionine","antioxidant_defense","Methionine","fuzzy"
"Methioninesulfoxide","methionine","antioxidant_defense","Methionine","fuzzy"
"Ergothioneine","ergothioneine","antioxidant_defense","Ergothioneine","exact"
"Carnosine","carnosine","antioxidant_defense","Carnosine","exact"
"Carnosine isomer B","carnosine","antioxidant_defense","Carnosine","fuzzy"
"Carnosine isomer A","carnosine","antioxidant_defense","Carnosine","fuzzy"
"N-Acetyl-carnosine","carnosine","antioxidant_defense","Carnosine","fuzzy"
"Spermidine","spermidine","polyamine_metabolism","Spermidine","exact"
"N8-Acetylspermidine","spermidine","polyamine_metabolism","Spermidine","fuzzy"
"Spermine","spermine","polyamine_metabolism","Spermine","exact"
"Putrescine","putrescine","polyamine_metabolism","Putrescine","exact"
"Ornithine","ornithine","polyamine_metabolism","Ornithine","exact"
"N-α-Acetyl-ornithine","ornithine","polyamine_metabolism","Ornithine","fuzzy"
"N5-(1-Imino-3-butenyl)-ornithine","ornithine","polyamine_metabolism","Ornithine","fuzzy"
"Arginine","arginine","polyamine_metabolism","Arginine","exact"
"Arginine isomer","arginine","polyamine_metabolism","Arginine","fuzzy"
"Homoarginine","arginine","polyamine_metabolism","Arginine","fuzzy"
"N,N-Dimethylarginine","arginine","polyamine_metabolism","Arginine","fuzzy"
"Targinine","arginine","polyamine_metabolism","Arginine","fuzzy"
"Triethyl citrate","citrate","iron_metabolism","Citrate","fuzzy"
"Guanidinosuccinate","succinate","iron_metabolism","Succinate","fuzzy"
"Phosphoenolpyruvate","pyruvate","iron_metabolism","Pyruvate","fuzzy"
"Nicotinamide","nicotinamide","aging_related","NAM","exact"
"β-Nicotinamide adenine dinucleotide","nicotinamide","aging_related","NAM","fuzzy"
"1-Methylnicotinamide","nicotinamide","aging_related","NAM","fuzzy"
"Nicotinamide riboside cation","nicotinamide","aging_related","NAM","fuzzy"
"beta-Nicotinamide adenine dinucleotide","nicotinamide","aging_related","NAM","fuzzy"
"Carnitine","carnitine","aging_related","Carnitine","exact"
"(2R)-3-Hydroxyisovaleroylcarnitine","carnitine","aging_related","Carnitine","fuzzy"
"Butyrylcarnitine or Isobutyrylcarnitine","carnitine","aging_related","Carnitine","fuzzy"
"3-Dehydrocarnitine","carnitine","aging_related","Carnitine","fuzzy"
"3-Hydroxybutyrylcarnitine","carnitine","aging_related","Carnitine","fuzzy"
"Hexanoyl-carnitine","carnitine","aging_related","Carnitine","fuzzy"
"Isovaleryl-carnitine","carnitine","aging_related","Carnitine","fuzzy"
"Malonyl-carnitine","carnitine","aging_related","Carnitine","fuzzy"
"Octanoylcarnitine","carnitine","aging_related","Carnitine","fuzzy"
"Propionylcarnitine","carnitine","aging_related","Carnitine","fuzzy"
"Uracil","uracil","aging_related","Uracil","exact"
"Uridine","uridine","aging_related","Uridine","exact"
"Uridine-5-diphosphoacetylgalactosamine","uridine","aging_related","Uridine","fuzzy"
"2-Deoxyuridine","uridine","aging_related","Uridine","fuzzy"
"Pseudouridine","uridine","aging_related","Uridine","fuzzy"
"Uridine 5'-monophosphate","uridine","aging_related","Uridine","fuzzy"
"Uridine diphosphate glucose","uridine","aging_related","Uridine","fuzzy"
"Uridine-5-diphosphoacetylglucosamine","uridine","aging_related","Uridine","fuzzy"
"Hypoxanthine","hypoxanthine","aging_related","Hypoxanthine","exact"
"Xanthine","xanthine","aging_related","Xanthine","exact"
"1,7-Dimethyluric acid","uric acid","aging_related","Uric acid","fuzzy"
"S-(2,3,4-Trihydroxybutyl)mercapturic acid","uric acid","aging_related","Uric acid","fuzzy"
"FA 12:0; (lauric acid)","uric acid","aging_related","Uric acid","fuzzy"
"Inosine","inosine","aging_related","Inosine","exact"
"Inosine 5'-monophosphate isomer","inosine","aging_related","Inosine","fuzzy"
"Inosine-5'-monophosphate","inosine","aging_related","Inosine","fuzzy"
"Adenosine","adenosine","aging_related","Adenosine","exact"
"5'-Methylthioadenosine","adenosine","aging_related","Adenosine","fuzzy"
"5'-Methylthioadenosine isomer","adenosine","aging_related","Adenosine","fuzzy"
"Adenosine isomer","adenosine","aging_related","Adenosine","fuzzy"
"Adenosine monophosphate","adenosine","aging_related","Adenosine","fuzzy"
"2’-deoxyadenosine","adenosine","aging_related","Adenosine","fuzzy"
"N6-Isopentenyladenosine","adenosine","aging_related","Adenosine","fuzzy"
"Adenosine 5'-diphosphoribose","adenosine","aging_related","Adenosine","fuzzy"
"Adenosine-3-monophosphate","adenosine","aging_related","Adenosine","fuzzy"
"Adenosine-5-monophosphate","adenosine","aging_related","Adenosine","fuzzy"
"5'-Deoxy-5'-methylthioadenosine","adenosine","aging_related","Adenosine","fuzzy"
"Erythro-Sphingosine-1-phosphate","sphingosine","lipid_signaling","Sphingosine","fuzzy"
"N,N-Dimethylsphingosine","sphingosine","lipid_signaling","Sphingosine","fuzzy"
"Sphingosine 18:1;","sphingosine","lipid_signaling","Sphingosine","fuzzy"
"Sphingosine 20:1;","sphingosine","lipid_signaling","Sphingosine","fuzzy"
"Erythro-Sphinganine","sphinganine","lipid_signaling","Sphinganine","fuzzy"
