"metabolite","display_name","category","group1","group2","fold_change","log2FC","p_value","p_adj"
"(2R)-3-Hydroxyisovaleroylcarnitine","Carnitine","aging_related","3 weeks","16 weeks",0.775194412871253,-0.367369922163244,7.34858112035657e-11,3.52731893777115e-10
"(2R)-3-Hydroxyisovaleroylcarnitine","Carnitine","aging_related","3 weeks","59 weeks",0.68097314147471,-0.554330197421502,2.06044340757018e-20,2.62706534465198e-19
"(2R)-3-Hydroxyisovaleroylcarnitine","Carnitine","aging_related","16 weeks","59 weeks",0.878454656235775,-0.186960275258258,0.00021817103951938,0.000563378380531056
"Acetyl-choline","Choline","lipid_signaling","3 weeks","16 weeks",1.55807708157436,0.639766608530679,6.99077036448169e-07,2.31888968187685e-06
"Acetyl-choline","Choline","lipid_signaling","3 weeks","59 weeks",1.44022191019861,0.526291120054701,0.000184387806862686,0.000479173408917045
"Acetyl-choline","Choline","lipid_signaling","16 weeks","59 weeks",0.924358574572789,-0.113475488475978,0.375682679533224,0.465892198326916
"Butyrylcarnitine or Isobutyrylcarnitine","Carnitine","aging_related","3 weeks","16 weeks",1.51003108792176,0.594578251490005,5.47111797178315e-08,2.01100552476354e-07
"Butyrylcarnitine or Isobutyrylcarnitine","Carnitine","aging_related","3 weeks","59 weeks",1.20902176719419,0.273840219062156,0.0161136827503527,0.029614335865513
"Butyrylcarnitine or Isobutyrylcarnitine","Carnitine","aging_related","16 weeks","59 weeks",0.80066018300203,-0.320738032427849,0.00362662836407117,0.00770658527365124
"β-Nicotinamide adenine dinucleotide","NAM","aging_related","3 weeks","16 weeks",1.78705045150931,0.837580364717873,2.15071629455848e-07,7.43637498457507e-07
"β-Nicotinamide adenine dinucleotide","NAM","aging_related","3 weeks","59 weeks",1.7655505825732,0.820118154534014,0.000149637518676796,0.00039135966423162
"β-Nicotinamide adenine dinucleotide","NAM","aging_related","16 weeks","59 weeks",0.987969075569213,-0.0174622101838587,0.925335843712717,0.946208080788944
"1-Methylnicotinamide","NAM","aging_related","3 weeks","16 weeks",0.664755395865622,-0.589104512301253,2.6173045605194e-05,7.41569625480497e-05
"1-Methylnicotinamide","NAM","aging_related","3 weeks","59 weeks",0.841024559761224,-0.249780163933258,0.0650763874433078,0.100955004094561
