"pathway_name","source","target","prob","n_interactions"
"Glutamate","Glutamatergic 10","GABAergic 1",553.459240031029,368
"Glutamate","Glutamatergic 2","GABAergic 1",553.219575731899,368
"Glutamate","Glutamatergic 10","Glutamatergic 10",551.829954929851,368
"Glutamate","Glutamatergic 2","Glutamatergic 10",551.615605754928,368
"Glutamate","Glutamatergic 1","GABAergic 1",548.190616833496,369
"Glutamate","Glutamatergic 1","Glutamatergic 10",546.500258800469,369
"Glutamate","Glutamatergic 10","Glutamatergic 3",544.742804341856,368
"Glutamate","Glutamatergic 2","Glutamatergic 3",544.494799012847,368
"Glutamate","Glutamatergic 9","GABAergic 1",539.850577762348,377
"Glutamate","Glutamatergic 1","Glutamatergic 3",539.427360948328,361
"Glutamate","Glutamatergic 9","Glutamatergic 10",538.165569892243,369
"Glutamate","Glutamatergic 9","Glutamatergic 3",531.364841568029,385
"Glutamate","Glutamatergic 6","GABAergic 1",527.803933057929,368
"Glutamate","Glutamatergic 6","Glutamatergic 10",526.272291146625,368
"Glutamate","Glutamatergic 10","Glutamatergic 8",521.21977109847,368
"Glutamate","Glutamatergic 4","GABAergic 1",521.176983087659,368
"Glutamate","Glutamatergic 2","Glutamatergic 8",521.087284032876,376
"Glutamate","Glutamatergic 4","Glutamatergic 10",519.651155225899,368
"Glutamate","Glutamatergic 6","Glutamatergic 3",519.48065393801,368
"Glutamate","Glutamatergic 1","Glutamatergic 8",516.270816516137,369
"Glutamate","Glutamatergic 3","GABAergic 1",514.284708347836,368
"Glutamate","Glutamatergic 4","Glutamatergic 3",512.964813794138,368
"Glutamate","Glutamatergic 3","Glutamatergic 10",512.794344894448,368
"Glutamate","Glutamatergic 10","Glutamatergic 2",510.86993395461,376
"Glutamate","Glutamatergic 2","Glutamatergic 2",510.743574296663,384
"Glutamate","Glutamatergic 9","Glutamatergic 8",508.449578218431,377
"Glutamate","Glutamatergic 3","Glutamatergic 3",506.1736148952,368
"Glutamate","Glutamatergic 1","Glutamatergic 2",505.914422103825,369
"Glutamate","Glutamatergic 7","GABAergic 1",502.283330988059,368
"Glutamate","Glutamatergic 7","Glutamatergic 10",500.805971264063,368
"Glutamate","Glutamatergic 9","Glutamatergic 2",498.338449121116,385
"Glutamate","Glutamatergic 6","Glutamatergic 8",497.146907032034,376
"Glutamate","Glutamatergic 10","GABAergic 3",496.860501727477,368
"Glutamate","Glutamatergic 2","GABAergic 3",496.667504523093,368
"Glutamate","Glutamatergic 7","Glutamatergic 3",494.372238722072,368
"Glutamate","Glutamatergic 1","GABAergic 3",492.095316934061,369
"Glutamate","Glutamatergic 4","Glutamatergic 8",490.895661334848,376
"Glutamate","Glutamatergic 5","GABAergic 1",488.16525572241,368
"Glutamate","Glutamatergic 6","Glutamatergic 2",487.278075945043,384
"Glutamate","Glutamatergic 5","Glutamatergic 10",486.718795240055,368
"Glutamate","Glutamatergic 10","GABAergic 2",485.721365642277,368
"Glutamate","Glutamatergic 2","GABAergic 2",485.53269525018,368
"Glutamate","Glutamatergic 9","GABAergic 3",484.592582561832,369
"Glutamate","Glutamatergic 3","Glutamatergic 8",484.414340572799,376
"Glutamate","Glutamatergic 10","Glutamatergic 7",484.404124699701,368
"Glutamate","Glutamatergic 8","GABAergic 1",484.324682565139,368
"Glutamate","Glutamatergic 2","Glutamatergic 7",484.198542636066,368
"Glutamate","Glutamatergic 8","Glutamatergic 10",482.885581469881,368
"Glutamate","Glutamatergic 4","Glutamatergic 2",481.070629079476,376
"Glutamate","Glutamatergic 1","GABAergic 2",480.972426438329,361
"Glutamate","Glutamatergic 10","Glutamatergic 4",480.889264783321,352
"Glutamate","Glutamatergic 2","Glutamatergic 4",480.660274799745,352
"Glutamate","Glutamatergic 5","Glutamatergic 3",480.41460621493,360
"Glutamate","Glutamatergic 1","Glutamatergic 7",479.720851183489,369
"Glutamate","Glutamatergic 8","Glutamatergic 3",476.642376407763,360
"Glutamate","Glutamatergic 1","Glutamatergic 4",476.260203698812,353
"Glutamate","Glutamatergic 3","Glutamatergic 2",474.798779907734,384
"Glutamate","Glutamatergic 6","GABAergic 3",473.848714243178,368
"Glutamate","Glutamatergic 9","GABAergic 2",473.711666025468,369
