"sample","gsva_score","dataset"
"S1",-0.177464715435245,"GSE104036"
"S2",-0.363631445422936,"GSE104036"
"S3",-0.244382399047146,"GSE104036"
"C1_3hr",-0.0726998973231869,"GSE104036"
"C2_3hr",-0.15937476503356,"GSE104036"
"C3_3hr",-0.240843320230021,"GSE104036"
"C1_6hr",-0.0674493732243725,"GSE104036"
"C2_6hr",-0.318105625989472,"GSE104036"
"C3_6hr",-0.146069879201827,"GSE104036"
"C1_12hr",-0.309051325505712,"GSE104036"
"C2_12hr",-0.308974557616097,"GSE104036"
"C3_12hr",-0.238244271488783,"GSE104036"
"C1_24hr",-0.0620446913408672,"GSE104036"
"C2_24hr",-0.31710600208117,"GSE104036"
"C3_24hr",0.0792513195264266,"GSE104036"
"I1_3hr",-0.0992941938303048,"GSE104036"
"I2_3hr",0.0634320074783828,"GSE104036"
"I3_3hr",0.0832641745006558,"GSE104036"
"I1_6hr",0.31013173499587,"GSE104036"
"I2_6hr",0.343180563088995,"GSE104036"
"I3_6hr",0.230581342758156,"GSE104036"
"I1_12hr",0.119369474414097,"GSE104036"
"I2_12hr",-0.015017196854507,"GSE104036"
"I3_12hr",0.213992702966372,"GSE104036"
"I1_24hr",0.320791219481043,"GSE104036"
"I2_24hr",0.237116924371567,"GSE104036"
"I3_24hr",0.198465151892508,"GSE104036"
"3100083_Stroke",0.257926864037647,"GSE16561"
"3100191_Stroke",-0.00851896769114681,"GSE16561"
"3100068_Stroke",0.169457267158103,"GSE16561"
"3100060_Stroke",0.0377445921205221,"GSE16561"
"3100138_Stroke",0.296917904677349,"GSE16561"
"3100135_Stroke",0.220166197299528,"GSE16561"
"3100195_Stroke",0.285372783103724,"GSE16561"
"3100058_Stroke",0.326342037782583,"GSE16561"
"3100025_Stroke",-0.195852741217792,"GSE16561"
"3100112_Stroke",0.107287775873999,"GSE16561"
"3100039_Stroke",0.28369927707107,"GSE16561"
"3100124_Stroke",0.287455989565075,"GSE16561"
"3100113_Stroke",-0.0876751649946597,"GSE16561"
"3100031_Stroke",0.274271186065681,"GSE16561"
"3100157_Stroke",0.0246487414731567,"GSE16561"
"3100023_Stroke",-0.0445905268417825,"GSE16561"
"3100114_Stroke",0.0769868665892421,"GSE16561"
"3100066_Stroke",0.0529494271085774,"GSE16561"
"3100076_Stroke",0.0969589409497726,"GSE16561"
"3100118_Stroke",0.0533753338247914,"GSE16561"
"3100048_Stroke",-0.0366814743019245,"GSE16561"
"3100137_Stroke",-0.0312458735455776,"GSE16561"
"3100042_Stroke",-0.0666017617041402,"GSE16561"
"3100034_Stroke",0.124849687864549,"GSE16561"
"3100193_Stroke",0.00485854239093475,"GSE16561"
"3100077_Stroke",0.359787612004157,"GSE16561"
"3100197_Stroke",0.117883829983471,"GSE16561"
"3100041_Stroke",-0.164055798854425,"GSE16561"
"3100036_Stroke",-0.234937645755978,"GSE16561"
"3100050_Stroke",-0.132335182191464,"GSE16561"
"3100121_Stroke",-0.0539435664444153,"GSE16561"
"3100061_Stroke",-0.144799462474068,"GSE16561"
"3100035_Stroke",-0.013848064606595,"GSE16561"
"3100117_Stroke",0.0309925293089486,"GSE16561"
"3100126_Stroke",0.314619083367526,"GSE16561"
"3100047_Stroke",-0.203125872960545,"GSE16561"
"3100044_Stroke",-0.00580203104869176,"GSE16561"
"3100084_Stroke",0.0367078026161562,"GSE16561"
"3100021_Stroke",-0.180937398378146,"GSE16561"
"212413_Control",0.0253810877767051,"GSE16561"
"212414_Control",0.0831382034545611,"GSE16561"
"212416_Control",0.0823154559079868,"GSE16561"
"212404_Control",-0.070543904674066,"GSE16561"
"213403_Control",-0.0579989749917797,"GSE16561"
"212417_Control",-0.0299338232412437,"GSE16561"
"213405_Control",-0.0302248905291941,"GSE16561"
"213906_Control",-0.286988144031311,"GSE16561"
"212415_Control",-0.0367946471496155,"GSE16561"
"213302_Control",-0.155241466348855,"GSE16561"
"213406_Control",-0.145338508031752,"GSE16561"
"212418_Control",0.011232472042884,"GSE16561"
"212401_Control",-0.0945861822315259,"GSE16561"
"212411_Control",0.209198736478699,"GSE16561"
"212402_Control",-0.28491271918183,"GSE16561"
"212412_Control",-0.0107254310156811,"GSE16561"
"212407_Control",0.0213163774831705,"GSE16561"
"213401_Control",-0.0696510505478062,"GSE16561"
"212405_Control",-0.131876548590275,"GSE16561"
"212409_Control",-0.0178521799269625,"GSE16561"
"213901_Control",-0.289148482527802,"GSE16561"
"213905_Control",-0.376178309944175,"GSE16561"
"201203_Control",-0.435085871027288,"GSE16561"
"213902_Control",-0.437333550442461,"GSE16561"
