gene,log2FC,pvalue,mean_plus,mean_minus,in_core
Igfbp2,-1.4498937569766592,1.5587982821071572e-28,1.2199022351673752,3.3326256946547366,False
Kcnj13,-0.6391643762892107,1.15976714535481e-27,2.5361166154808887,3.949816036851152,False
1500015O10Rik,-1.625802577061727,1.6974778364548526e-25,1.1023137617360288,3.4018923928289055,False
Map1lc3a,-0.6662995646406474,8.387733215331172e-23,0.826438601410508,1.3115557299260934,True
Ctsz,1.2174319096042612,5.412245346037195e-22,0.9951424276150281,0.42795856261741605,False
Car14,0.06776792087909868,6.864541139638386e-21,2.3082053187515323,2.202288751108534,False
B2m,-0.047611333258214796,1.135638264992364e-20,0.5701473437425072,0.589277073602448,False
Hspa5,1.3772402112506303,1.2011869238521895e-20,1.0642643852770424,0.4096933496000385,False
Atp1b1,-0.25583274408095247,1.2364743163811162e-20,2.0261199080265535,2.4192373211411344,False
Wfdc2,-0.24783959231437017,3.937247229852406e-20,3.7068725025662985,4.401642842460537,False
Stk39,0.02038858892855479,5.782911261417611e-20,3.927909896260251,3.872789926164751,False
Col9a3,0.03490253433557215,3.0658463394927964e-19,3.605641267264019,3.519458154515471,False
Ndufa1,-1.0672343338877726,4.200384506088128e-19,0.8599100267575546,1.801866287709578,False
S100a1,-0.7334059057034934,4.611417778030945e-19,0.9095562591135141,1.5121913288499609,False
Lbp,0.07447586404804671,7.028562487980323e-19,3.8558432102466096,3.661844490032475,False
Rpl10,0.6045648849352226,1.3049277411656577e-18,0.7023519897995962,0.461915624233973,False
Tmsb4x,0.06236634179780361,1.4599293738160942e-18,0.5711426500559654,0.5469787478331518,False
Jun,-0.0464284476556174,1.466278648662285e-18,0.629088982808812,0.6496634511821733,False
Ndufc1,-1.1107165716376979,1.5397426019023023e-18,0.70786679077751,1.5286587369648508,False
Usp50,-0.44074015642379977,2.9252444062987033e-18,1.3818604565858525,1.8755998813104695,False
Cul4b,0.0,4.707007709115843e-18,0.0,3.6045092077596403,False
Sat1,0.2266482115633223,1.1867067216960384e-17,0.933925618473792,0.798149743725794,True
Fcer1g,0.813923105744684,1.2021333848513094e-17,1.006915807917765,0.572766870666034,False
Cfap126,-0.7543587731309274,1.7050445556701197e-17,2.1840749193830207,3.6842759396290288,False
Car2,-0.5957988098513313,2.147319995616338e-17,0.9296261632181827,1.4049525311361672,False
Ier5,0.2072743839099358,2.833183684098156e-17,0.8905911676110493,0.7714052261818491,False
Plin2,0.7208197808818997,3.146256377899146e-17,1.4892158974285266,0.9035855729523516,False
Ptgds,-1.2904502139072211,3.269619644424789e-17,0.5648674754894418,1.3816905634882608,False
Apoo,-0.3632331019239909,4.0930590440769965e-17,2.021148422163326,2.599813927633452,False
Prelp,-0.016045755426650044,6.636359808173882e-17,2.4099597303749327,2.436913082206273,False
Prr32,0.0,9.391547668044251e-17,0.0,4.795481754739429,False
Hist2h2aa1,-0.54085541301191,1.0113999515720126e-16,1.1540737585247463,1.6789867495530129,False
Tmem237,-0.046232067430970754,1.963300288619986e-16,2.3341082700800935,2.410117612523646,False
Mafb,0.9204843002022471,1.4394712681837752e-15,1.287362494739209,0.6801543306087315,False
F5,0.022382200232579183,1.5025314353795592e-15,3.916796365369624,3.8564995008084373,False
Tpm3,0.10849461009253777,1.7824013559901065e-15,0.8690591406114695,0.8061005171198403,False
Ndufb11,-0.708849908318636,1.9198084734357628e-15,0.7060981435327128,1.1541178405608439,False
Atf3,0.8170028737231231,2.148315116243522e-15,1.7802724382499853,1.0105180997295808,True
Tagln2,-0.16253909675971479,3.830860227806429e-15,1.0008764423356304,1.1202362215137953,False
Btg2,-0.03746207551853763,4.381264447576039e-15,0.6661259661424109,0.6836496118759133,False
Atp5e,-0.8163640737664647,4.806904678478401e-15,0.6275613783475572,1.1051119669374865,False
Fcgr3,0.4377986996249023,8.061637855669902e-15,1.1116771404369938,0.8207069943521639,False
Fcrls,0.38216922008791016,1.0043577821550905e-14,1.102845604472543,0.8461947332305729,False
Rrbp1,0.7666329765650941,1.3020891689246986e-14,1.2101522683792827,0.7113125932080352,False
Pifo,0.0,1.4778631080449176e-14,0.0,4.713774308746206,False
Dbi,-1.348364780870921,1.5972984692143595e-14,0.5171411889086739,1.316762269211852,False
Arpc2,0.8619820365089363,5.817512376884788e-14,0.7304746870448987,0.40190436437182814,False
Ctss,0.5453106565386049,7.094377121835816e-14,1.0410203942918372,0.7133528047633598,False
Cox7b,-0.8838937658045939,7.128694626854137e-14,0.9079666534134418,1.675515443348881,False
Gnas,-0.27137162220220984,8.106536303406596e-14,0.5977389552366229,0.7214438879082253,False
Rps6,0.6209667873468159,8.195637303030198e-14,0.7032434238283898,0.45727351746127676,False
Fcgr1,0.23829570127650132,9.318992346371833e-14,1.6192057294285003,1.3726754862424113,False
Gm29538,0.0,1.207508151717783e-13,0.0,4.899739816268885,False
Msn,0.13459864995024431,1.321683717448383e-13,0.944310944458938,0.8601947589509288,False
Rps3a1,0.46280341207762965,1.8551896514618873e-13,0.6458897335271935,0.4686414222140911,False
Slc4a10,0.14368408897629437,2.2341369131310546e-13,5.449986726333366,4.933353362065112,False
Frmpd1os,0.0,2.4109352091479336e-13,0.0,6.234315757114144,False
Cetn4,0.5982442325282334,4.064053232064738e-13,5.109797640955682,3.375314481787916,False
Pfn2,0.0025532469317621313,4.730775216417889e-13,2.2042605061815617,2.2003629089880166,False
