herb_cn_name,herb_en_name,herb_pinyin,molecule_ID,MOL_ID,molecule_name,ob,dl,mw,alogp,bbb,caco2,halflife,hdon,hacc,FASA,in_tox_filtered,in_exclusion,in_top_v6,exclusion_reason
柴胡,Radix Bupleuri,Chaihu,1109,MOL001109,β-thujene,46.4419022461,0.043485,136.26,2.678,2.1888,1.81637,11.528884,0,0,0.28889731,False,False,False,
柴胡,Radix Bupleuri,Chaihu,1121,MOL001121,19894-97-4,49.9792805291,0.059011,152.26,1.782,1.49978,1.24527,11.548892,1,1,0.20898236,False,False,False,
柴胡,Radix Bupleuri,Chaihu,117,MOL000117,Cymol,27.2038267287,0.022463,134.24,3.51,2.09815,1.85992,,0,0,0.34152725,False,False,False,
柴胡,Radix Bupleuri,Chaihu,1179,MOL001179,(&#8722;)-Alloaromadendrene,54.0393354953,0.10417,204.39,4.223,2.0673,1.80834,12.061168,0,0,0.23085517,False,False,False,
柴胡,Radix Bupleuri,Chaihu,118,MOL000118,(L)-alpha-Terpineol,48.7977727286,0.030772,154.28,2.415,1.72345,1.39392,11.349096,1,1,0.26883334,False,False,False,
柴胡,Radix Bupleuri,Chaihu,120,MOL000120,dec-2-enal,18.5476973188,0.02049,154.28,3.655,1.59322,1.39679,,0,1,0.26633793,False,False,False,
柴胡,Radix Bupleuri,Chaihu,122,MOL000122,"1,8-cineole",39.7292164619,0.049041,154.28,2.148,2.06035,1.57306,11.2921,0,1,0.24210331,False,False,False,
柴胡,Radix Bupleuri,Chaihu,123,MOL000123,geraniol,23.9348108651,0.020271,154.28,2.934,1.14081,1.19222,,1,1,0.27352819,False,False,False,
柴胡,Radix Bupleuri,Chaihu,126,MOL000126,(-)-nopinene,44.83529174,0.052595,136.26,2.927,2.11917,1.80433,11.3189,0,0,0.26974788,False,False,False,
柴胡,Radix Bupleuri,Chaihu,127,MOL000127,Neral,19.4836356709,0.020741,152.26,3.19,1.50901,1.36372,,0,1,0.33651868,False,False,False,
柴胡,Radix Bupleuri,Chaihu,1273,MOL001273,80-57-9,50.6314074434,0.061837,150.24,1.942,1.59484,1.27451,11.5586,0,1,0.34078652,False,False,False,
柴胡,Radix Bupleuri,Chaihu,128,MOL000128,NERYLACETATE,25.9400016875,0.041771,196.32,3.313,1.28339,1.28068,,0,2,0.2704843,False,False,False,
柴胡,Radix Bupleuri,Chaihu,1283,MOL001283,C09704,29.5610598008,0.059922,222.41,4.562,1.33575,1.37191,,1,1,0.30926049,False,False,False,
柴胡,Radix Bupleuri,Chaihu,1303,MOL001303,"(1R,2R,4S)-2,4-diisopropenyl-1-methyl-1-vinylcyclohexane",5.578789823,0.060442,204.39,4.788,2.11357,1.84785,,0,0,0.33842838,False,False,False,
柴胡,Radix Bupleuri,Chaihu,131,MOL000131,EIC,41.9044360216,0.14347,280.5,6.391,0.90315,1.16206,7.497042,1,2,0.25038776,False,False,False,
柴胡,Radix Bupleuri,Chaihu,1386,MOL001386,Methyl laurate,21.7475330741,0.052977,214.39,4.794,1.24373,1.31944,,0,2,0.15210395,False,False,False,
柴胡,Radix Bupleuri,Chaihu,1392,MOL001392,Methyl myristate,19.6820350106,0.079634,242.45,5.706,1.18947,1.35515,,0,2,0.14309362,False,False,False,
柴胡,Radix Bupleuri,Chaihu,1393,MOL001393,myristic acid,21.1811726395,0.066784,228.42,5.455,0.99179,1.07113,,1,2,0.18521617,False,False,False,
柴胡,Radix Bupleuri,Chaihu,1394,MOL001394,Oktadekan,9.806386361,0.090617,254.56,8.583,1.8291,1.8317,,0,0,0.13750342,False,False,False,
柴胡,Radix Bupleuri,Chaihu,1396,MOL001396,PENTADECYLIC ACID,20.1845931503,0.081479,242.45,5.911,0.88486,1.07931,,1,2,0.18164326,False,False,False,
柴胡,Radix Bupleuri,Chaihu,1417,MOL001417,OCTENAL,19.4137753589,0.011462,126.22,2.742,1.58912,1.34276,,0,1,0.28041267,False,False,False,
柴胡,Radix Bupleuri,Chaihu,1600,MOL001600,copaene,29.473383835,0.12401,204.39,4.169,2.03863,1.80953,,0,0,0.22374958,False,False,False,
柴胡,Radix Bupleuri,Chaihu,1487,MOL001487,FITONE,6.66992575995,0.098287,268.54,6.197,1.44198,1.50387,,0,1,0.21821792,False,False,False,
柴胡,Radix Bupleuri,Chaihu,1619,MOL001619,UPL,8.52049841508,0.10901,268.59,9.039,1.69808,1.83329,,0,0,0.15663439,False,False,False,
柴胡,Radix Bupleuri,Chaihu,1645,MOL001645,Linoleyl acetate,42.1007662274,0.19845,308.56,6.847,1.08413,1.35826,7.478521,0,2,0.2085465,False,False,False,
柴胡,Radix Bupleuri,Chaihu,169,MOL000169,alpha-Guaiene,25.9346266289,0.072089,204.39,4.993,2.08753,1.81053,,0,0,0.26078266,False,False,False,
柴胡,Radix Bupleuri,Chaihu,1731,MOL001731,Dextrin Corn,50.3813731421,0.044663,180.18,-2.513,-4.47285,-1.93275,11.1152,5,6,0.26864231,False,False,False,
柴胡,Radix Bupleuri,Chaihu,1789,MOL001789,isoliquiritigenin,85.3217982296,0.14805,256.27,2.9,-0.40612,0.43959,17.664015,3,4,0.46312603,False,False,False,
柴胡,Radix Bupleuri,Chaihu,18,MOL000018,(+/-)-Isoborneol,86.9841251754,0.05275,154.28,1.975,1.59796,1.27192,11.3626,1,1,0.0,False,False,False,
柴胡,Radix Bupleuri,Chaihu,1817,MOL001817,Methyl stearate,16.8031227499,0.16341,298.57,7.531,1.28907,1.41373,,0,2,0.16182327,False,False,False,
柴胡,Radix Bupleuri,Chaihu,1819,MOL001819,METHYL PENTADECANOATE,18.81525029,0.096511,256.48,6.162,1.28468,1.36566,,0,2,0.16586533,False,False,False,
柴胡,Radix Bupleuri,Chaihu,19,MOL000019,D-Camphene,34.9792102593,0.039017,136.26,2.927,2.18648,1.80598,11.2919,0,0,0.0,False,False,False,
柴胡,Radix Bupleuri,Chaihu,193,MOL000193,(Z)-caryophyllene,30.2907481439,0.089886,204.39,4.753,2.15315,1.82425,7.997357,0,0,0.28498748,False,False,False,
柴胡,Radix Bupleuri,Chaihu,196,MOL000196,L-Bornyl acetate,65.5209219822,0.075447,196.32,2.354,1.58637,1.28902,6.938021,0,2,0.22970334,False,False,False,
柴胡,Radix Bupleuri,Chaihu,197,MOL000197,Myrcene,24.9637600776,0.015286,136.26,3.688,1.97983,1.83989,,0,0,0.37053537,False,False,False,
柴胡,Radix Bupleuri,Chaihu,1972,MOL001972,Pulegone,51.5964711696,0.029676,152.26,2.752,1.73634,1.39371,11.1892,0,1,0.25776523,False,False,False,
柴胡,Radix Bupleuri,Chaihu,198,MOL000198,(R)-linalool,39.804300843,0.022686,154.28,2.735,1.36071,1.32771,6.47726,1,1,0.31705615,False,False,False,
柴胡,Radix Bupleuri,Chaihu,1999,MOL001999,scoparone,74.7549576865,0.086914,206.21,1.867,0.46493,0.84693,0.73161,0,4,0.22702265,False,False,False,
柴胡,Radix Bupleuri,Chaihu,2002,MOL002002,cis-Carveol,45.6110426342,0.029604,152.26,2.401,1.61591,1.38906,11.733168,1,1,0.274887,False,False,False,
柴胡,Radix Bupleuri,Chaihu,201,MOL000201,p-Ocimene,15.0605211386,0.015199,136.26,3.634,1.99228,1.85109,,0,0,0.38736424,False,False,False,
柴胡,Radix Bupleuri,Chaihu,2029,MOL002029,()-Cuparene,38.2630865387,0.07494,202.37,4.715,2.14626,1.87975,-2.239882,0,0,0.30460754,False,False,False,
柴胡,Radix Bupleuri,Chaihu,2042,MOL002042,thymol,41.4743893128,0.030034,150.24,3.243,1.683,1.59631,11.3317,1,1,0.33319995,False,False,False,
柴胡,Radix Bupleuri,Chaihu,2046,MOL002046,hexanoic acid,73.0751978707,0.0090082,116.18,1.806,0.9334,0.796,10.8053,1,2,0.27050096,False,False,False,
柴胡,Radix Bupleuri,Chaihu,207,MOL000207,Methyleugenol,73.3601144144,0.042845,178.25,2.805,1.4121,1.46527,2.918292,0,2,0.26590565,False,False,False,
柴胡,Radix Bupleuri,Chaihu,2085,MOL002085,alpha-Cubebene,16.7320826053,0.10854,204.39,4.169,2.09789,1.8335,,0,0,0.25265768,False,False,False,
柴胡,Radix Bupleuri,Chaihu,2095,MOL002095,DEP,52.1855181579,0.074284,222.26,2.238,0.56864,0.71526,5.36626,0,4,0.37566942,False,False,False,
柴胡,Radix Bupleuri,Chaihu,2107,MOL002107,Valerophenone,42.5774845475,0.032853,162.25,3.149,1.53268,1.46362,19.740208,0,1,0.35044771,False,False,False,
柴胡,Radix Bupleuri,Chaihu,2111,MOL002111,BdPh,42.4414291817,0.067395,188.24,3.003,1.26771,1.32349,5.643613,0,2,0.39118913,False,False,False,
柴胡,Radix Bupleuri,Chaihu,2116,MOL002116,"(1R,4S,5R)-4-isopropenyl-1,8-dimethylspiro[4.5]dec-8-ene",40.0073697499,0.072962,204.39,4.753,2.10921,1.85313,-0.491568,0,0,0.29019374,False,False,False,
柴胡,Radix Bupleuri,Chaihu,2138,MOL002138,p-Cymen-8-ol,32.2648759725,0.031428,150.24,2.294,1.35155,1.32651,11.0372,1,1,0.35067874,False,False,False,
柴胡,Radix Bupleuri,Chaihu,2187,MOL002187,Amylbenzene,34.3407677206,0.025192,148.27,4.141,2.0288,1.87693,6.276908,0,0,0.31241694,False,False,False,
柴胡,Radix Bupleuri,Chaihu,2201,MOL002201,cis-ligustilide,51.3003112408,0.066555,190.26,2.941,1.23678,1.30184,5.527981,0,2,0.33865878,False,False,False,
柴胡,Radix Bupleuri,Chaihu,23,MOL000023,Hemo-sol,39.8409788472,0.02231,136.26,3.503,2.11692,1.82929,11.679068,0,0,0.0,False,False,False,
柴胡,Radix Bupleuri,Chaihu,2307,MOL002307,20-Hexadecanoylingenol,28.2039541506,0.68297,586.94,7.38,-0.03882,0.30385,,3,6,0.24261923,False,False,False,
柴胡,Radix Bupleuri,Chaihu,233,MOL000233,delta-Terpineol,55.10994784,0.030896,154.28,2.469,1.44318,1.28225,10.9721,1,1,0.28024474,False,False,False,
