mol_i,mol_j,name_i,name_j,tanimoto
MOL000033,MOL000322,"(3S,8S,9S,10R,13R,14S,17R)-10,13-dimethyl-17-[(2R,5S)-5-propan-2-yloctan-2-yl]-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol",Kadsurenone,1.0
MOL000033,MOL001756,"(3S,8S,9S,10R,13R,14S,17R)-10,13-dimethyl-17-[(2R,5S)-5-propan-2-yloctan-2-yl]-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol",quindoline,1.0
MOL000049,MOL000072,3β-acetoxyatractylone,8β-ethoxy atractylenolide Ⅲ,1.0
MOL000049,MOL000503,3β-acetoxyatractylone,Medicagol,1.0
MOL000049,MOL001715,3β-acetoxyatractylone,Podophyllotoxone,1.0
MOL000049,MOL006801,3β-acetoxyatractylone,phyllaemblicacid methyl ester,1.0
MOL000049,MOL008040,3β-acetoxyatractylone,Eupalitin,1.0
MOL000049,MOL008210,3β-acetoxyatractylone,Deoxyelephantopin,1.0
MOL000049,MOL012062,3β-acetoxyatractylone,cimigenol,1.0
MOL000072,MOL000503,8β-ethoxy atractylenolide Ⅲ,Medicagol,1.0
MOL000072,MOL001715,8β-ethoxy atractylenolide Ⅲ,Podophyllotoxone,1.0
MOL000072,MOL006801,8β-ethoxy atractylenolide Ⅲ,phyllaemblicacid methyl ester,1.0
MOL000072,MOL008040,8β-ethoxy atractylenolide Ⅲ,Eupalitin,1.0
MOL000072,MOL008210,8β-ethoxy atractylenolide Ⅲ,Deoxyelephantopin,1.0
MOL000072,MOL012062,8β-ethoxy atractylenolide Ⅲ,cimigenol,1.0
MOL000073,MOL002398,ent-Epicatechin,Karanjin,1.0
MOL000073,MOL011332,ent-Epicatechin,"10h-indolo,[3,2-b],quinoline",1.0
MOL000074,MOL000822,"(4E,6E)-1,7-bis(4-hydroxyphenyl)hepta-4,6-dien-3-one",polyporusterone G,1.0
MOL000074,MOL001726,"(4E,6E)-1,7-bis(4-hydroxyphenyl)hepta-4,6-dien-3-one",pinoresinol-4-O-beta-D-apiosyl-beta-D-glucopyranoside,1.0
MOL000085,MOL000273,beta-daucosterol_qt,"(2R)-2-[(3S,5R,10S,13R,14R,16R,17R)-3,16-dihydroxy-4,4,10,13,14-pentamethyl-2,3,5,6,12,15,16,17-octahydro-1H-cyclopenta[a]phenanthren-17-yl]-6-methylhept-5-enoic acid",1.0
MOL000085,MOL002652,beta-daucosterol_qt,delta7-Dehydrosophoramine,1.0
MOL000173,MOL000179,wogonin,"2-Hydroxyisoxypropyl-3-hydroxy-7-isopentene-2,3-dihydrobenzofuran-5-carboxylic",1.0
MOL000173,MOL000184,wogonin,NSC63551,1.0
MOL000173,MOL000584,wogonin,7-acetoxy-8-hydroxy-9-isobutyryloxythymol,1.0
MOL000173,MOL001553,wogonin,atroscine,1.0
