MOL_ID,molecule_name,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,Phi,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
MOL000001,anthocyanidin,11.65315192743764,11.65315192743764,0.004976851851852038,-0.24333144368858695,0.5297982507265288,51.611111111111114,250.33799999999997,228.16199999999995,250.156894564,100,0,0.3336213461587774,-0.4583571026907066,0.4583571026907066,0.3336213461587774,1.4444444444444444,2.1666666666666665,2.888888888888889,16.55028420077823,9.692525507307309,2.5493595515653547,-2.3637748335770343,2.5625675831775068,-2.353671361362226,5.903580937262883,-0.13925883289146374,2.686046361646657,1.9590579959232524,402.5428946113829,13.076985790260121,11.185995428308553,11.185995428308553,8.431376103121778,7.010540013753135,7.010540013753135,6.698061803591147,6.698061803591147,5.727087568652148,5.727087568652148,4.60854706401998,4.60854706401998,-0.8300000000000001,14515.394538338536,12.216480587576932,3.8300776331971935,1.4928806885007613,108.21064521835677,9.843390348640755,6.103966387748303,0.0,0.0,0.0,5.969305287951849,0.0,4.794537184071822,0.0,0.0,20.426410082979746,42.934089053423605,11.49101057623066,6.103966387748303,14.637927532712576,5.969305287951849,0.0,0.0,23.16870860788096,51.738693666581895,0.0,12.152040213667764,0.0,0.0,0.0,0.0,0.0,0.0,23.28376545828916,9.53140013787187,23.16870860788096,39.53076089108529,12.152040213667764,0.0,0.0,0.0,46.53,0.0,9.901064578912528,0.0,29.510134579006632,17.408916622392056,25.683286491704038,0.0,0.0,0.0,20.426410082979746,4.736862953800049,5.453314436885866,0.0,11.65315192743764,10.3431108276644,0.5450231481481485,0.9304525699168551,0.0,3.505348167044595,8.319598922902495,0.0,0.8,18,1,3,2,1,3,0,0,0,0,6,0,3,1,3,1,0,2,1,3,0,0,2.599448280825895,3,2.2913000000000006,67.74580000000005,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOL000011,"(2R,3R)-3-(4-hydroxy-3-methoxy-phenyl)-5-methoxy-2-methylol-2,3-dihydropyrano[5,6-h][1,4]benzodioxin-9-one",11.751334056656026,11.751334056656026,0.031213066902100017,-1.5944024011502373,0.1585793763237704,22.857142857142858,578.5260000000003,552.3180000000003,578.142426272,218,0,0.1573046210627859,-0.5076790246058266,0.5076790246058266,0.1573046210627859,0.5476190476190477,1.1428571428571428,1.7619047619047619,16.512932084141735,9.77099453182585,2.458260081457057,-2.3991556467665993,2.5686726087175367,-2.3645601262888403,5.6549645948854526,0.001151594507820028,2.9252740094942187,1.553153072524538,1717.7616794849503,30.032286758031084,21.578643085768615,21.578643085768615,19.93846850117352,12.809525743179487,12.809525743179487,10.325820070438667,10.325820070438667,7.673491201840713,7.673491201840713,5.708994915749312,5.708994915749312,-5.2,2068152100.3802166,26.99363109818914,9.716024238947254,4.242891537463287,236.95010409798414,60.538999856007145,46.70500377520003,29.10201372088392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.13273413692322,35.392371257240434,41.31027730340183,12.021872433909696,60.538999856007145,0.0,0.0,0.0,0.0,36.75459322008061,0.0,82.4145610746395,0.0,57.49511833283905,9.473725907600098,0.0,57.49511833283905,0.0,63.27320672390365,6.4208216229260096,0.0,45.943096280142974,54.59730361615449,0.0,0.0,0.0,220.75999999999996,70.58035443014194,51.06527394840705,0.0,51.4866145812627,0.0,12.13273413692322,42.46456947923127,0.0,0.0,0.0,9.473725907600098,12.107201049086836,0.0,0.0,105.36292042411073,0.43471820435790587,-5.083716035744108,10.777485368968051,-5.431942344112746,0.0,0.0,0.2,42,10,12,0,2,2,0,4,0,4,5,0,12,10,12,2,3,0,0,0,0,0,6.244542239219193,6,2.9950000000000028,143.38499999999993,0,2,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOL000020,"12-senecioyl-2E,8E,10E-atractylentriol",9.114098225124149,9.114098225124149,0.34890853431963453,0.34890853431963453,0.09481648756380345,22.5,593.0780000000003,512.4380000000004,592.6158317999999,252,0,0.04330648410675867,-0.39636589491532614,0.39636589491532614,0.04330648410675867,0.42857142857142855,0.7857142857142857,1.2142857142857142,16.25173624317173,9.846901784669408,2.278018747756968,-2.2108139279756935,2.399800926565403,-2.0953319622952375,4.793140878115822,0.25388727025749724,3.4108620576635458,2.0189702281831394,590.1875928423058,31.16671517118376,30.061142362183674,30.061142362183674,20.137468008383344,19.355709978043926,19.355709978043926,16.303904198877085,16.303904198877085,11.629814845020869,11.629814845020869,7.991783443430621,7.991783443430621,-0.08,896378375.7412086,39.94385496183206,25.150110661395136,20.798711400117988,265.5546298401601,10.213054789681411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0409496105026,78.94444090715658,13.213763929025836,0.0,10.213054789681411,0.0,0.0,0.0,53.26115441545253,189.72423610220665,13.213763929025836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.426818718707246,0.0,53.26115441545253,189.72423610220665,0.0,0.0,0.0,0.0,40.46,0.0,0.0,0.0,0.0,25.049576021348624,54.26698556898177,128.41643245852023,0.0,0.0,48.46616039783436,10.213054789681411,0.0,0.0,0.0,18.176033781632125,0.0,7.83488954924084,0.0,30.199008320565234,17.790068348561796,0.0,1.0,42,2,2,1,0,1,0,0,0,0,9,0,2,2,2,0,28,1,0,1,0,0,23.91886601268556,1,12.251899999999981,186.87359999999944,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOL000021,"14-acetyl-12-senecioyl-2E,8E,10E-atractylentriol",12.043337270093222,12.043337270093222,0.016263699924414787,-0.48952333711262264,0.5106223467843569,10.857142857142858,286.23900000000003,276.159,286.04773804,106,0,0.19657917391887414,-0.5076781658604214,0.5076781658604214,0.19657917391887414,0.8095238095238095,1.5714285714285714,2.2857142857142856,16.341529074884875,10.100121224154137,2.1261938140543033,-2.058357717350511,2.33061920249368,-2.0018865578362273,5.855955459621057,0.40355281096876805,2.400453972613347,2.2943459565950697,909.9162849554009,15.14589989101247,10.569452578065315,10.569452578065315,9.952397498181154,5.976884305977174,5.976884305977174,4.5164265762855536,4.5164265762855536,3.0545529549351516,3.0545529549351516,2.072890025324916,2.072890025324916,-3.15,56060.202076412104,12.862251838410245,4.447829199162572,2.1215920915712805,117.31343579013306,24.843260516416166,28.22851544154929,16.92781405846835,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,0.0,18.19910120538483,23.762552697081826,0.0,24.843260516416166,10.969244356107037,0.0,0.0,0.0,0.0,0.0,46.62152998674202,0.0,34.321746243707054,5.428790391900541,0.0,22.99804733313562,0.0,20.426109579362823,0.0,0.0,0.0,45.60989053189483,0.0,22.292943266678478,0.0,111.13000000000001,5.428790391900541,25.220646763434644,0.0,39.7275391081171,5.563451491696996,12.13273413692322,24.26546827384644,0.0,0.0,0.0,4.417150937053347,5.472451814058957,0.0,12.043337270093222,37.85225637941637,-0.10554421768707423,-1.1327002498530265,7.3701990039715515,0.0,0.0,0.0,0.0,21,4,6,0,0,0,0,2,1,3,0,0,6,4,6,1,1,0,0,0,0,0,2.7242428235173124,3,2.2824000000000004,74.5792,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOL000028,α-Amyrin,10.924549111719475,10.924549111719475,0.0030484693877550484,-4.8712551965230535,0.1440804792520168,28.586206896551722,448.47500000000014,428.3150000000002,448.06102221999987,160,0,0.46606339742887365,-0.3935676736276731,0.46606339742887365,0.3935676736276731,1.206896551724138,1.9310344827586208,2.6206896551724137,32.25185942574052,10.004637964116418,2.4387613162421533,-2.3908752771011943,2.3093755772822275,-2.572763263916957,8.139362641289125,-0.2049932082044023,3.084870001784275,1.8548892360339193,975.6806788856459,21.18143379694521,14.820487570052284,16.453480731907735,13.69169046491506,8.444199474459886,10.689000657384895,6.338694000174216,8.514794282169188,4.350513958724059,5.726651320701485,2.923724240635268,4.241055789816962,-1.7099999999999995,2797168.85567787,21.985986882449915,8.972491863365045,5.262667507655296,169.4500701984899,30.146951054110076,34.89558090915377,0.0,0.0,0.0,10.399000581649606,4.552749873690364,4.283811062586292,8.417796984328938,0.0,35.11669888152648,11.629818560158606,23.520590126620142,6.606881964512918,42.41733045376846,38.10752744971326,0.0,4.9839785209472085,5.15571272675054,36.2726855454883,6.606881964512918,36.02576333715651,0.0,0.0,0.0,0.0,0.0,11.761884949391115,79.88309783199601,25.840496220961956,0.0,5.563451491696996,35.618024572210054,0.0,10.902924932081056,0.0,181.89999999999998,46.85774646872481,28.84390656369176,0.0,11.464538609517492,0.0,28.22826137316917,0.0,6.196843571613076,24.26546827384644,14.42350231028404,9.289612827490412,40.181900920147676,0.7272597789115642,3.047873294743109,43.53719413697469,0.3521014681316359,0.0,7.327075388226477,-4.106167887430967,-0.6126485698477939,-4.8712551965230535,0.4375,29,6,11,0,1,1,0,1,1,2,5,0,10,6,13,2,6,0,1,1,0,2,6.802382358994223,3,-0.6235999999999999,103.42950000000005,0,4,4,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MOL000033,"(3S,8S,9S,10R,13R,14S,17R)-10,13-dimethyl-17-[(2R,5S)-5-propan-2-yloctan-2-yl]-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol",12.611364795918366,12.611364795918366,0.011800831443688153,-0.6964786470143614,0.7062243586378832,10.652173913043478,312.27700000000004,300.18100000000004,312.06338810399996,116,0,0.30779482740787123,-0.5076781655725392,0.5076781655725392,0.30779482740787123,1.1304347826086956,1.826086956521739,2.4782608695652173,16.54310256125923,10.094272777253384,2.211691492975824,-2.100398761075755,2.3495144623651534,-2.1318186319314134,5.88727561561769,-0.13150235779037797,2.493125416480791,2.4196553038147504,956.2198027295506,16.560113453385565,12.068872237182752,12.068872237182752,10.969234250586764,6.737342607793759,6.737342607793759,4.88713548067511,4.88713548067511,3.1994263754055527,3.1994263754055527,2.2842561158069548,2.2842561158069548,-3.28,156458.5786366685,14.648695705259302,5.490434179613943,2.6168257270042017,129.7299198440849,19.367068680534807,22.46826802267485,5.760247418874442,11.178302225184446,0.0,5.969305287951849,9.589074368143644,0.0,0.0,0.0,30.33183534230805,0.0,24.619922828310838,0.0,24.161605864606628,16.938549644058888,0.0,0.0,0.0,6.923737199690624,0.0,52.687897055203635,0.0,28.57223441042315,10.16565334570059,0.0,17.248535499851716,0.0,16.182360077633263,4.794537184071822,0.0,6.923737199690624,51.676257600356436,0.0,22.292943266678478,0.0,96.97,17.147607513136297,19.802129157825057,0.0,28.22851544154929,5.563451491696996,12.990104268152233,6.06636706846161,30.33183534230805,0.0,0.0,9.154013890853395,10.63026100718065,0.0,23.93012681615856,19.295328457000085,-0.1892214663643228,-1.6604159842949513,10.832126427731584,0.0,1.1617947425883934,0.0,0.058823529411764705,23,2,6,0,0,0,0,2,1,3,0,0,6,2,6,1,2,0,0,0,0,0,3.496856503779115,3,2.7965000000000013,82.55860000000003,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOL000049,3β-acetoxyatractylone,12.494638233022522,12.494638233022522,0.02738827475434613,-0.02738827475434613,0.8376173567533091,22.03846153846154,356.4260000000003,332.2340000000001,356.18484062799996,138,0,0.23200214317064344,-0.38140555521299185,0.38140555521299185,0.23200214317064344,1.3846153846153846,2.230769230769231,2.9615384615384617,16.476941591782104,9.718432488840183,2.509676910690132,-2.3587871395692077,2.489420327379574,-2.3685831619674267,5.763248414150724,-0.1304744787783333,3.286994869032012,1.6225045600306274,755.1545428108494,17.984916895309066,15.057204848831935,15.057204848831935,12.716275261389436,9.312389087085883,9.312389087085883,7.249514354966968,7.249514354966968,5.612634671846877,5.612634671846877,4.144410127998452,4.144410127998452,-2.2800000000000002,1713286.9095752938,17.149775180178562,7.149197117683217,3.114204627064738,152.29567090370153,14.159867621623874,0.0,0.0,17.62230814937734,0.0,0.0,9.77851570501903,0.0,4.9839785209472085,0.0,12.080400456816069,31.395199005701247,56.09622746809691,5.917906046161393,14.054495074845219,5.907179729351506,0.0,20.024530029870338,5.41499046939678,38.524929737556064,26.303276740850986,30.41714520217528,0.0,11.387855989696924,0.0,0.0,0.0,0.0,52.23498650007282,9.53140013787187,5.41499046939678,44.41565365958196,29.049516217122722,0.0,11.387855989696924,0.0,81.35000000000001,0.0,4.794537184071822,0.0,17.24007624490968,24.68070644886442,44.58443669541344,0.0,12.393687143226153,23.95638106746432,15.124620299019863,9.259957890773396,11.230697613156579,0.0,23.2453210478809,4.15443074452003,0.8063524006557017,1.448322434039425,3.7674889043019,6.724731709488203,4.8726551459572605,0.0,0.5789473684210527,26,0,7,0,2,2,1,0,2,2,1,0,6,0,7,4,4,0,2,2,1,0,4.715658587963374,4,2.654300000000001,94.24400000000006,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MOL000072,8β-ethoxy atractylenolide Ⅲ,12.494638233022522,12.494638233022522,0.02738827475434613,-0.02738827475434613,0.8376173567533091,22.03846153846154,356.4260000000003,332.2340000000001,356.18484062799996,138,0,0.23200214317064344,-0.38140555521299185,0.38140555521299185,0.23200214317064344,1.3846153846153846,2.230769230769231,2.9615384615384617,16.476941591782104,9.718432488840183,2.509676910690132,-2.3587871395692077,2.489420327379574,-2.3685831619674267,5.763248414150724,-0.1304744787783333,3.286994869032012,1.6225045600306274,755.1545428108494,17.984916895309066,15.057204848831935,15.057204848831935,12.716275261389436,9.312389087085883,9.312389087085883,7.249514354966968,7.249514354966968,5.612634671846877,5.612634671846877,4.144410127998452,4.144410127998452,-2.2800000000000002,1713286.9095752938,17.149775180178562,7.149197117683217,3.114204627064738,152.29567090370153,14.159867621623874,0.0,0.0,17.62230814937734,0.0,0.0,9.77851570501903,0.0,4.9839785209472085,0.0,12.080400456816069,31.395199005701247,56.09622746809691,5.917906046161393,14.054495074845219,5.907179729351506,0.0,20.024530029870338,5.41499046939678,38.524929737556064,26.303276740850986,30.41714520217528,0.0,11.387855989696924,0.0,0.0,0.0,0.0,52.23498650007282,9.53140013787187,5.41499046939678,44.41565365958196,29.049516217122722,0.0,11.387855989696924,0.0,81.35000000000001,0.0,4.794537184071822,0.0,17.24007624490968,24.68070644886442,44.58443669541344,0.0,12.393687143226153,23.95638106746432,15.124620299019863,9.259957890773396,11.230697613156579,0.0,23.2453210478809,4.15443074452003,0.8063524006557017,1.448322434039425,3.7674889043019,6.724731709488203,4.8726551459572605,0.0,0.5789473684210527,26,0,7,0,2,2,1,0,2,2,1,0,6,0,7,4,4,0,2,2,1,0,4.715658587963374,4,2.654300000000001,94.24400000000006,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MOL000073,ent-Epicatechin,11.988670293557021,11.988670293557021,0.018520496659024666,-1.4925024014235322,0.45867833355145493,40.70967741935484,427.54100000000017,394.27700000000016,427.23587315599997,168,0,0.21473080835780814,-0.4944979624337097,0.4944979624337097,0.21473080835780814,1.2903225806451613,1.967741935483871,2.6129032258064515,16.617389400001887,9.583918093765194,2.749417653622452,-2.4455989573417156,2.621122782269527,-2.6019117387165984,5.873478759720515,-0.12921638265909968,3.3563485693723134,1.5904784296894792,896.4332435316885,22.55167728494828,18.602468293955415,18.602468293955415,14.601931959546528,11.200918869915883,11.200918869915883,9.74090227196753,9.74090227196753,7.752977502399019,7.752977502399019,5.724966823048441,5.724966823048441,-2.0199999999999996,9936281.98410685,22.183848089859165,7.836676846634521,3.545833065531643,183.21129787225928,20.056445138322168,6.103966387748303,11.384295757348628,5.897745344357611,0.0,0.0,4.794537184071822,4.992404732635669,0.0,0.0,56.331349955357055,38.17047518309165,17.75371813848418,17.746858027879952,24.85098232239399,11.680990290722551,0.0,0.0,28.664028917281243,69.98846727122645,0.0,48.04732704767281,0.0,0.0,0.0,0.0,0.0,0.0,56.4524477018566,15.95222176079788,23.671624184645573,39.679221913385504,47.476280288611484,0.0,0.0,0.0,102.65,17.622923244893386,20.11411936859394,0.0,47.181566457086674,12.841643245852019,5.563451491696996,6.923737199690624,6.923737199690624,42.483875555975814,18.839879132016918,4.736862953800049,6.097579155118837,0.0,16.515695212314444,32.164587198182076,-0.7524850945704915,-1.456587116192459,9.753391684429657,3.616206830281141,7.39494546377013,0.0,0.6,31,3,6,1,2,3,0,1,0,1,9,0,5,3,6,2,7,1,1,2,0,0,5.607988667582476,4,2.8708000000000005,117.97840000000006,0,3,2,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOL000074,"(4E,6E)-1,7-bis(4-hydroxyphenyl)hepta-4,6-dien-3-one",12.872237152411216,12.872237152411216,0.016570572418335372,-0.05592424624170689,0.5441497432318586,42.225806451612904,428.5290000000002,396.2730000000002,428.23112212399997,168,0,0.31044993582356056,-0.4617671439736343,0.4617671439736343,0.31044993582356056,1.2258064516129032,2.032258064516129,2.7419354838709675,16.599185242822927,9.529031511293743,2.6463809015288597,-2.5138195853484158,2.6240516078513427,-2.5257074309312864,5.910461811220542,-0.14692822303441136,3.1859792342675757,1.1059322346751919,857.3305154911185,21.216967702877938,18.255295120698637,18.255295120698637,14.973712203232132,11.870686605320804,11.870686605320804,10.669241965823813,10.669241965823813,8.925661852623218,8.925661852623218,7.133273171134283,7.133273171134283,-1.8599999999999997,20585656.833791647,19.797515883630208,7.0714304920857405,3.23129040135855,182.56522090336784,18.790786575503923,6.103966387748303,5.760247418874442,0.0,5.907179729351506,5.969305287951849,14.48898409899412,0.0,0.0,0.0,6.923737199690624,55.569738767111446,38.64168807572427,24.389001817297057,23.479951212797086,11.876485017303356,0.0,9.799819461700956,23.16870860788096,50.732862513052666,39.33066399407579,24.156144551436718,0.0,0.0,0.0,0.0,0.0,0.0,72.71198567181209,14.268263091671919,23.16870860788096,49.582629917266935,22.813048069615622,0.0,0.0,0.0,75.52000000000001,0.0,9.589074368143644,0.0,34.914398731593515,30.68557232302238,39.08279442810266,25.525627864417086,12.13273413692322,4.899909730850478,11.823646930541102,13.890876844653445,17.216233644467394,0.0,29.55503164551991,0.0,0.3282953002400222,1.1177870313087879,3.4501132288633936,7.256704647791245,6.90916783514259,0.0,0.75,31,0,7,2,3,5,1,0,1,1,6,0,6,0,7,4,3,2,3,5,1,0,4.516024435066272,6,2.5644,111.27650000000006,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
