MOL_ID,molecule_name,SMILES_std,mw,MW,MW_DIFF,MW_REL_DIFF
MOL000230,Pinocembrin,O=C1C[C@@H](c2ccccc2)Oc2cc(O)cc(O)c21,270.3000,256.2570,14.0430,0.0520
MOL000296,hederagenin,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]2C1,414.7900,472.7100,57.9200,0.1396
MOL000398,isoflavanone,O=C1c2ccccc2OCC1c1ccccc1,316.3300,224.2590,92.0710,0.2911
MOL000519,coniferin,COc1cc(/C=C/CO)ccc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,314.4100,342.3440,27.9340,0.0888
MOL000665,flemiphilippinin C,COc1cc(-c2coc3c(CC=C(C)C)c4c(c(O)c3c2=O)C=CC(C)(C)O4)ccc1O,406.4600,434.4880,28.0280,0.0690
MOL000853,alisol B,C[C@H](C[C@H](O)[C@H]1OC1(C)C)C1=C2C[C@H](O)[C@H]3[C@@]4(C)CCC(=O)C(C)(C)[C@H]4CC[C@]3(C)[C@@]2(C)CC1,444.7200,472.7100,27.9900,0.0629
MOL001093,cabraleone,CC(C)(O)[C@@H]1CC[C@@](C)([C@H]2CC[C@]3(C)[C@@H]2CC[C@@H]2[C@@]4(C)CC/C(=N\Nc5ccc([N+](=O)[O-])cc5[N+](=O)[O-])C(C)(C)[C@@H]4CC[C@]23C)O1,458.8000,638.8500,180.0500,0.3924
MOL001525,Daucosterol,CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,414.7900,576.8590,162.0690,0.3907
MOL002045,Stigmasterol,CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,440.8300,412.7020,28.1280,0.0638
MOL002795,scrophuloside A,COc1cc(C(C)=O)ccc1O[C@@H]1O[C@H](COC(=O)/C=C/c2ccc(O)cc2)[C@@H](O)[C@H](O)[C@H]1O,536.5800,474.4620,62.1180,0.1158
MOL003101,7-epi-Vogeloside,C=C[C@H]1[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C2C(=O)OC(OC)C[C@H]21,432.4700,388.3690,44.1010,0.1020
MOL003189,WILFORLIDE A,CC1(C)[C@@H](O)CC[C@]2(C)[C@H]3CC=C4[C@@H]5C[C@@]6(C)C[C@H](OC6=O)[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12,486.8100,454.6950,32.1150,0.0660
MOL003432,vomicine,CN1CC[C@]23C(=O)C[C@H]4C(=CCO[C@H]5CC(=O)N(c6c(O)cccc62)[C@H]3[C@H]54)C1,408.5400,380.4440,28.0960,0.0688
MOL003436,Isobrucine,COc1cc2c(cc1OC)[C@]13CCN4C/C(=C/CO)[C@H](C[C@H]41)C1=CCC(=O)N2[C@@H]13,334.4500,394.4710,60.0210,0.1795
