MOL_ID,molecule_name,SMILES_std,mw,ob,dl,alogp,bbb,tpsa,caco2,hdon,hacc,rbn,MW,LogP,TPSA,HBD,HBA,RotBonds,QED,Lipinski_Pass,Lipinski_Violations,BBB_Prediction,PAINS_Pass,PAINS_Matches,RingCount,AromaticRings,HeavyAtoms,FractionCsp3,MolarRefractivity,NumSaturatedRings,NumAliphaticRings,SMILES_MATCH_STATUS,MW_DIFF,MW_REL_DIFF
MOL000001,anthocyanidin,C=C1C(=O)O[C@@H]2C[C@H](C)[C@@H]3CC[C@@H](O)[C@@]3(C)C[C@H]12,251.22,45.5974,0.1897,1.51,-3.1416,74.82,-3.1416,2,4,1,250.338,2.2913,46.53,1,3,0,0.5298,True,0,BBB+,True,0,3,0,18,0.8,67.7458,3,3,MATCH_OK,0.882,0.0035
MOL000011,"(2R,3R)-3-(4-hydroxy-3-methoxy-phenyl)-5-methoxy-2-methylol-2,3-dihydropyrano[5,6-h][1,4]benzodioxin-9-one",COc1cc2c(cc1OC)CC(=O)N(CCCI)C=C2,386.38,68.8256,0.6624,2.487,-0.5301,107.59,0.2101,2,8,4,387.217,2.8843,38.77,0,3,5,0.5764,True,0,BBB+,True,0,2,1,20,0.4,87.501,0,1,MATCH_OK,0.837,0.0022
MOL000020,"12-senecioyl-2E,8E,10E-atractylentriol",CC(=O)Oc1c(-c2ccccc2)oc2cc(O)cc(O)c2c1=O,312.39,62.3965,0.2229,2.496,-1.3741,72.42,0.0083,0,4,8,312.277,2.7965,96.97,2,6,2,0.7062,True,0,BBB+/-,True,0,3,3,23,0.0588,82.5586,0,0,MATCH_OK,0.113,0.0004
MOL000021,"14-acetyl-12-senecioyl-2E,8E,10E-atractylentriol",CCCC(=O)N1C[C@H](c2nc(-c3cccnc3)no2)C2(CCOCC2)C1,355.44,60.3129,0.3053,3.209,-1.088,75.66,0.3289,0,5,10,356.426,2.6543,81.35,0,6,4,0.8376,True,0,BBB+,True,0,4,2,26,0.5789,94.244,2,2,MATCH_OK,0.986,0.0028
MOL000028,α-Amyrin,C[C@H](O)C(=O)[C@@H](C)C/C=C/[C@H]1[C@@H]2O[C@]2(C)[C@@H](C)[C@H]2[C@H](Cc3ccccc3)N=C(O)[C@]21O,426.8,39.5121,0.7629,7.349,1.2833,20.23,1.4151,1,1,0,427.541,2.8708,102.65,3,5,7,0.4587,True,0,BBB+/-,True,0,4,1,31,0.6,117.9784,2,3,MATCH_OK,0.741,0.0017
MOL000033,"(3S,8S,9S,10R,13R,14S,17R)-10,13-dimethyl-17-[(2R,5S)-5-propan-2-yloctan-2-yl]-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol",C[C@]12CCC[C@@]3(CO3)[C@@H]1C[C@H]1[C@@H](C2)OC(=O)[C@@H]1CN1CCN(C(=O)c2ccco2)CC1,428.82,36.2285,0.7829,8.54,1.0924,20.23,1.4486,1,1,7,428.529,2.5644,75.52,0,6,3,0.5441,True,0,BBB+,True,0,6,1,31,0.75,111.2765,5,5,MATCH_OK,0.291,0.0007
MOL000049,3β-acetoxyatractylone,C=C1C(=O)O[C@H]2C[C@@]3(C)[C@@H]4O[C@@H]4C=C4C(=O)O[C@@H]([C@@H]12)[C@@H]43,274.39,54.0667,0.2191,3.387,1.0752,39.44,1.1318,0,3,2,274.272,0.7432,65.13,0,5,0,0.3702,True,0,BBB+/-,True,0,5,0,20,0.6,65.348,4,5,MATCH_OK,0.118,0.0004
MOL000072,8β-ethoxy atractylenolide Ⅲ,COc1ccc2ccc(=O)oc2c1[C@@H](O)/C=C(\C)CO,276.41,35.9509,0.2108,3.682,1.1205,35.53,1.0782,0,3,2,276.288,1.7736,79.9,2,5,4,0.6569,True,0,BBB+,True,0,2,2,20,0.2667,74.8386,0,0,MATCH_OK,0.122,0.0004
MOL000073,ent-Epicatechin,COC(=O)C1=C(C)NC(=O)N[C@H]1c1ccc2c(c1)OCO2,290.29,48.9598,0.2416,1.92,-0.6428,110.38,0.0195,5,6,1,290.275,1.2162,85.89,2,5,2,0.7997,True,0,BBB+,True,0,3,1,21,0.2857,71.6894,0,2,MATCH_OK,0.015,0.0001
MOL000074,"(4E,6E)-1,7-bis(4-hydroxyphenyl)hepta-4,6-dien-3-one",CCNC(=O)N[C@H]1[C@H](O)[C@H](O)C[C@@H]1c1ccc(OC)cc1,294.37,67.9235,0.2356,3.976,-0.4228,57.53,0.8286,2,3,6,294.351,0.592,90.82,4,4,4,0.6541,True,0,BBB+/-,True,0,2,1,21,0.5333,78.362,1,1,MATCH_OK,0.019,0.0001
MOL000085,beta-daucosterol_qt,Cc1csc(NC(=O)[C@@H]2CCC[C@@H](NC(=O)c3ccccc3)CN(C)C(=O)C2)n1,414.79,36.9139,0.7538,8.084,0.8807,20.23,1.3046,1,1,6,414.531,2.8372,91.4,2,5,4,0.8048,True,0,BBB+/-,True,0,3,2,29,0.4286,112.7719,1,1,MATCH_OK,0.259,0.0006
MOL000173,wogonin,COc1c(O)cc(O)c2c(=O)cc(-c3ccccc3)oc12,284.28,30.6846,0.2294,2.585,0.0376,79.9,0.7878,2,5,2,284.267,2.8798,79.9,2,5,2,0.756,True,0,BBB+,True,0,3,3,21,0.0625,77.8016,0,0,MATCH_OK,0.013,0.0
MOL000179,"2-Hydroxyisoxypropyl-3-hydroxy-7-isopentene-2,3-dihydrobenzofuran-5-carboxylic",COc1cc2c(c3oc(=O)ccc13)[C@H](OC)[C@@H](O)C(C)(C)O2,306.39,45.1991,0.205,2.589,-0.9086,86.99,-0.3433,3,5,4,306.314,2.021,78.13,1,6,2,0.8553,True,0,BBB+,True,0,3,2,22,0.4375,79.4998,0,1,MATCH_OK,0.076,0.0002
MOL000184,NSC63551,CN1C(=O)c2ccccc2[C@@H](C(=O)N2CCC3(CC2)OCCO3)[C@H]1c1cccs1,412.77,39.2536,0.7594,7.564,1.2217,17.07,1.4232,0,1,5,412.511,3.0241,59.08,0,5,2,0.7609,True,0,BBB+,True,0,5,2,29,0.4545,108.7855,2,3,MATCH_OK,0.259,0.0006
MOL000211,Mairin,O=C(N[C@H]1C[C@H]2C(=O)Nc3ccc(-c4ccc5c(c4)OCO5)cc3C(=O)N2C1)c1cccnc1,456.78,55.3771,0.7761,6.521,0.2153,57.53,0.7323,2,3,2,456.458,2.4425,109.86,2,6,3,0.6266,True,0,BBB+/-,True,0,6,3,34,0.2,121.5634,1,3,MATCH_OK,0.322,0.0007
MOL000212,3beta-O-Acetyl-mangiferolic acid,Cc1nc(-c2ccccc2Br)cc([C@H]2C[N@]3CC[C@H]2C[C@@H]3CNC(=O)Cc2cccs2)n1,510.83,37.582,0.7577,6.988,-0.0654,63.6,0.7173,1,4,7,511.489,4.8127,58.12,1,5,6,0.5162,True,1,BBB+/-,True,0,6,3,32,0.4,131.7637,3,3,MATCH_OK,0.659,0.0013
MOL000224,"(4E,6E)-1,7-bis(3,4-dihydroxyphenyl)hepta-4,6-dien-3-one",CO[C@H]1/C=C/[C@@](C)(O)CCC(=O)O[C@H](C)[C@@H](C)C[C@@H](O)/C=C/1C,326.37,33.0575,0.3139,3.442,-0.7396,97.99,0.2925,4,5,6,326.433,2.3675,75.99,2,5,1,0.5714,True,0,BBB+,True,0,1,0,23,0.7222,88.8936,0,1,MATCH_OK,0.063,0.0002
MOL000235,"1,7-diphenyl-3,5-dihydroxy-1-heptene",COc1ccc(-n2c(C)nc3cc(C(=O)O)ccc32)cc1,282.41,49.0129,0.1806,3.635,-0.0149,40.46,0.6126,2,2,7,282.299,3.0407,64.35,1,3,3,0.8016,True,0,BBB+,True,0,3,3,21,0.125,79.3183,0,0,MATCH_OK,0.111,0.0004
MOL000238,"1,7-diphenyl-5-hydroxy-6-hepten-3-one",CCOc1ccc(C(=S)N2CCOCC2)cc1OC,280.39,32.6498,0.183,3.568,0.1395,37.3,0.8025,1,2,7,281.377,2.1016,30.93,0,4,4,0.7889,True,0,BBB+,True,0,2,1,19,0.5,78.255,1,1,MATCH_OK,0.987,0.0035
MOL000239,Jaranol,CC(=O)O[C@H]1CC[C@@H]2[C@H]3CCc4cc(O)ccc4[C@H]3CC[C@]12C,314.31,50.8288,0.2915,2.087,-0.2171,89.13,0.6071,2,6,3,314.425,4.18,46.53,1,3,1,0.791,True,0,BBB+/-,True,0,4,1,23,0.65,88.2778,2,3,MATCH_OK,0.115,0.0004
MOL000260,"5-[(2R,3R)-7-methoxy-3-methyl-5-[(E)-prop-1-enyl]-2,3-dihydrobenzofuran-2-yl]-1,3-benzodioxole",COC[C@H](C)OC(=O)Cn1c2ccccc2c2cc(C=O)ccc21,324.4,65.5526,0.4026,4.526,0.7036,36.92,1.2651,0,4,3,325.364,3.1851,57.53,0,4,6,0.5158,True,0,BBB+,True,0,3,3,24,0.2632,92.2615,0,0,MATCH_OK,0.964,0.003
MOL000273,"(2R)-2-[(3S,5R,10S,13R,14R,16R,17R)-3,16-dihydroxy-4,4,10,13,14-pentamethyl-2,3,5,6,12,15,16,17-octahydro-1H-cyclopenta[a]phenanthren-17-yl]-6-methylhept-5-enoic acid",COc1cc(C(=O)NCc2c3c(c(OC)c4c2OCO4)C(=O)N(C)CC3)cc2c1OCCCO2,470.76,30.9321,0.8128,5.413,-0.7579,77.76,0.0103,3,4,5,470.478,2.1519,104.79,1,8,5,0.709,True,0,BBB+/-,True,0,5,2,34,0.4167,119.5527,0,3,MATCH_OK,0.282,0.0006
MOL000276,"7,9(11)-dehydropachymic acid",COc1ccc([C@H]2[C@@H](C(=O)N3CCC4(CC3)OCCO4)c3cc(OC)c(OC)cc3C(=O)N2C)cc1OC,526.83,35.1059,0.8109,6.098,-0.8717,83.83,0.0274,2,5,8,526.586,2.997,96.0,0,8,6,0.5671,True,1,BBB+/-,True,0,5,2,38,0.5,137.1165,2,3,MATCH_OK,0.244,0.0005
MOL000280,"(2R)-2-[(3S,5R,10S,13R,14R,16R,17R)-3,16-dihydroxy-4,4,10,13,14-pentamethyl-2,3,5,6,12,15,16,17-octahydro-1H-cyclopenta[a]phenanthren-17-yl]-5-isopropyl-hex-5-enoic acid",Cc1c(Cl)ccc2c1NC(=O)[C@]21N[C@@H]([C@@H](C)O)[C@H]2C(=O)N(Cc3ccc4c(c3)OCO4)C(=O)[C@H]21,484.79,31.0721,0.8153,5.719,-0.6976,77.76,0.0511,3,4,6,483.908,1.6785,117.2,3,7,3,0.5685,True,0,BBB+/-,True,0,6,2,34,0.375,120.2032,2,4,MATCH_OK,0.882,0.0018
MOL000282,"ergosta-7,22E-dien-3beta-ol",COc1cc2cc(C(=O)N(C)C[C@@H]3CCCN4CCCC[C@H]34)n(C)c2cc1OC,398.74,43.5071,0.7194,7.183,0.9097,20.23,1.3219,1,1,4,399.535,3.532,46.94,0,4,5,0.7717,True,0,BBB+,True,0,4,2,29,0.6087,114.9195,2,2,MATCH_OK,0.795,0.002
MOL000308,"(2R,3R,3aS)-3a-allyl-2-(1,3-benzodioxol-5-yl)-5-methoxy-3-methyl-2,3-dihydrobenzofuran-6-one",COc1ccc(/C=C/C(=O)N[C@H](C)CCc2ccccc2)cc1OC,340.4,59.9888,0.4321,2.399,0.3345,53.99,0.7812,0,5,4,339.435,3.8545,47.56,1,3,8,0.7432,True,0,BBB+,True,0,2,2,25,0.2857,100.9477,0,0,MATCH_OK,0.965,0.0028
MOL000310,Denudatin B,C=CCC1=C[C@]2(OC)C(=CC1=O)O[C@H](c1ccc(OC)c(OC)c1)[C@H]2C,356.45,61.4724,0.3784,2.804,0.3478,53.99,0.9047,0,5,6,356.418,3.7655,53.99,0,5,6,0.7265,True,0,BBB+,True,0,3,1,26,0.381,98.263,1,2,MATCH_OK,0.032,0.0001
MOL000312,futokadsurin C,COc1ccc([C@H]2O[C@@H](c3ccc4c(c3)OCO4)[C@H](C)[C@@H]2C)cc1OC,356.45,61.0872,0.4511,4.11,0.7752,46.15,1.1919,0,5,4,356.418,4.5173,46.15,0,5,4,0.8061,True,0,BBB+/-,True,0,4,2,26,0.4286,97.006,1,2,MATCH_OK,0.032,0.0001
MOL000313,Galgravin,COc1ccc([C@H]2O[C@@H](c3ccc(OC)c(OC)c3)[C@H](C)[C@@H]2C)cc1OC,372.5,57.1189,0.3936,4.309,0.4785,46.15,1.1302,0,5,6,372.461,4.8058,46.15,0,5,6,0.7284,True,0,BBB+/-,True,0,3,2,27,0.4545,103.987,1,1,MATCH_OK,0.039,0.0001
MOL000315,hancinone,C=CCC1=C[C@@]2(OC)C(=CC1=O)O[C@H](c1ccc3c(c1)OCO3)[C@H]2C,340.4,39.3124,0.437,2.605,0.4601,53.99,0.7429,0,5,4,340.375,3.477,53.99,0,5,4,0.7857,True,0,BBB+,True,0,4,1,25,0.35,91.282,1,3,MATCH_OK,0.025,0.0001
