source,gene,uniprot_id,drugbank_id,drug_name,note
DrugBank,SAT1,P21673,DB04633,"N-ethyl-N-[3-(propylamino)propyl]propane-1,3-diamine",UniProt cross-reference (known ligand)
DrugBank,SAT1,P21673,DB00127,Spermine,UniProt cross-reference (known ligand)
DrugBank,SAT1,P21673,DB06824,Triethylenetetramine,UniProt cross-reference (known ligand)
DrugBank,TLR4,O00206,DB02767,(R)-3-hydroxytetradecanoic acid,UniProt cross-reference (known ligand)
DrugBank,TLR4,O00206,DB00924,Cyclobenzaprine,UniProt cross-reference (known ligand)
DrugBank,TLR4,O00206,DB20763,Defoslimod,UniProt cross-reference (known ligand)
DrugBank,TLR4,O00206,DB06447,E5531,UniProt cross-reference (known ligand)
DrugBank,TLR4,O00206,DB04933,Eritoran,UniProt cross-reference (known ligand)
DrugBank,TLR4,O00206,DB17244,G100,UniProt cross-reference (known ligand)
DrugBank,TLR4,O00206,DB05475,Golotimod,UniProt cross-reference (known ligand)
DrugBank,TLR4,O00206,DB03017,Lauric acid,UniProt cross-reference (known ligand)
DrugBank,TLR4,O00206,DB13615,Mifamurtide,UniProt cross-reference (known ligand)
DrugBank,TLR4,O00206,DB08231,Myristic acid,UniProt cross-reference (known ligand)
DrugBank,TLR4,O00206,DB01183,Naloxone,UniProt cross-reference (known ligand)
DrugBank,TLR4,O00206,DB11193,Papain,UniProt cross-reference (known ligand)
DrugBank,TLR4,O00206,DB05943,Resatorvid,UniProt cross-reference (known ligand)
DrugBank,LCN2,P80188,DB02710,"2,3,-Dihydroxybenzoylserine",UniProt cross-reference (known ligand)
DrugBank,LCN2,P80188,DB01672,"2,3-Dihydroxy-Benzoic Acid",UniProt cross-reference (known ligand)
DrugBank,LCN2,P80188,DB01926,Carboxymycobactin S,UniProt cross-reference (known ligand)
DrugBank,LCN2,P80188,DB04043,Carboxymycobactin T,UniProt cross-reference (known ligand)
DrugBank,LCN2,P80188,DB01631,Methyl nonanoate,UniProt cross-reference (known ligand)
DrugBank,LCN2,P80188,DB04476,"Trencam-3,2-Hopo",UniProt cross-reference (known ligand)
DrugBank,EPHA4,P54764,DB12010,Fostamatinib,UniProt cross-reference (known ligand)
DrugBank,CXCL10,P02778,DB11338,Clove oil,UniProt cross-reference (known ligand)
DrugBank,CXCL10,P02778,DB06116,Eldelumab,UniProt cross-reference (known ligand)
DrugBank,CXCL10,P02778,DB04487,N-Methylleucine,UniProt cross-reference (known ligand)
DrugBank,SP1,P08047,DB12226,Terameprocol,UniProt cross-reference (known ligand)
DrugBank,PTGS2,P35354,DB03477,1-Phenylsulfonamide-3-Trifluoromethyl-5-Parabromophenylpyrazole,UniProt cross-reference (known ligand)
DrugBank,PTGS2,P35354,DB06736,Aceclofenac,UniProt cross-reference (known ligand)
DrugBank,PTGS2,P35354,DB13783,Acemetacin,UniProt cross-reference (known ligand)
DrugBank,PTGS2,P35354,DB00316,Acetaminophen,UniProt cross-reference (known ligand)
DrugBank,PTGS2,P35354,DB00945,Acetylsalicylic acid,UniProt cross-reference (known ligand)
DrugBank,PTGS2,P35354,DB13167,Alclofenac,UniProt cross-reference (known ligand)
DrugBank,PTGS2,P35354,DB00041,Aldesleukin,UniProt cross-reference (known ligand)
DrugBank,PTGS2,P35354,DB00132,alpha-Linolenic acid,UniProt cross-reference (known ligand)
DrugBank,PTGS2,P35354,DB15911,Amfenac,UniProt cross-reference (known ligand)
DrugBank,PTGS2,P35354,DB00233,Aminosalicylic acid,UniProt cross-reference (known ligand)
DrugBank,PTGS2,P35354,DB16877,Ampiroxicam,UniProt cross-reference (known ligand)
DrugBank,PTGS2,P35354,DB16088,Amtolmetin guacil,UniProt cross-reference (known ligand)
DrugBank,PTGS2,P35354,DB01435,Antipyrine,UniProt cross-reference (known ligand)
