rank,MOL_ID,molecule_name,SMILES,composite_score,mean_score,max_score,n_hits,n_targets,top_targets
1,MOL008765,(24R)-methylcholest-4-ene and (24R)-ethylcholest-4-ene,COc1c(C)c(OC)c2c(c1C=O)OC[C@@H](Cc1ccc3c(c1)OCO3)C2=O,0.45099361283438544,0.12777036,0.9818565,1,28,"PTGS2(0.982), PDE4B(0.286), EPHA4(0.273), TLR4(0.242), CTSB(0.230)"
2,MOL000021,"14-acetyl-12-senecioyl-2E,8E,10E-atractylentriol",CCCC(=O)N1C[C@H](c2nc(-c3cccnc3)no2)C2(CCOCC2)C1,0.4463712130274091,0.123133324,0.9749375,1,28,"PTGS2(0.975), PDE4B(0.372), EPHA4(0.278), DYRK1A(0.252), KDM6B(0.231)"
3,MOL008805,7-oxobaicaline,C[C@]12CC[C@@H](O)C[C@H]1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,0.4420172427381788,0.12996592,0.95722,1,28,"PTGS2(0.957), PDE4B(0.326), EPHA4(0.281), CTSB(0.259), TLR4(0.250)"
4,MOL002866,"(2E,4E,8E)-9-(1,3-benzodioxol-5-yl)-N-isobutylnona-2,4,8-trienamide",C=C1C(=O)O[C@@H]2/C=C(\C)C[C@H]3C=C(CC/C=C(/C)CC[C@H]12)C(=O)O3,0.43662731392042975,0.13122295,0.94248813,1,28,"PTGS2(0.942), PDE4B(0.351), TLR4(0.283), CTSB(0.258), EPHA4(0.254)"
5,MOL004446,"6-Methoxyl-2-acetyl-3-methyl-1,4-naphthoquinone-8-O-beta-D-glucopyranoside",CC(C)(C)CC(=O)N1CCN2CC(=O)Nc3cc(-c4cccnc4)ccc3OC[C@@H]2C1,0.43370805723326544,0.12214118,0.9442718,1,28,"PTGS2(0.944), PDE4B(0.327), CTSB(0.254), EPHA4(0.240), TLR4(0.221)"
6,MOL013076,"(8S,9R)-9-hydroxy-8-(2-hydroxypropan-2-yl)-8,9-dihydrofuro[2,3-h]chromen-2-one",C/C=C(/C)C(=O)Oc1ccc(OC)cc1[C@H]1O[C@H]1C,0.413828090259007,0.112539016,0.9041741,1,28,"MAPK1(0.904), TLR4(0.333), PDE4B(0.316), CTSB(0.241), EPHA4(0.197)"
7,MOL001610,sylvatine,COc1c(C)c(OC)c2c(c1C=O)OC[C@@H](Cc1ccc3c(c1)OCO3)C2=O,0.413828090259007,0.112539016,0.9041741,1,28,"MAPK1(0.904), TLR4(0.333), PDE4B(0.316), CTSB(0.241), EPHA4(0.197)"
8,MOL012828,5-(3-hydroxy-4-isoacetoxybutyn-1)-bithiophene,CCNC(=O)O[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2NC(=O)Nc1ccccc1,0.4123116586889539,0.12106345,0.8918586,1,28,"PTGS2(0.892), PDE4B(0.296), CTSB(0.246), EPHA4(0.242), TLR4(0.231)"
9,MOL011063,heneicosadienoic acid,C[N@+]12CCCC[C@@H]1[C@H](COC(=O)c1ccc(Cl)cc1)CCC2,0.40899317009108405,0.12281859,0.8818072,1,28,"PTGS2(0.882), PDE4B(0.390), KDM6B(0.292), EPHA4(0.288), CTSB(0.245)"
10,MOL010009,"(1R,3R,4R,5S,6S)-1-acetoxy-8-angeloxoyloxy-3,4-epoxy-5-hydroxybisabola-7(14),10-dien-2-one",CCOC(=O)N1CCC2(CC1)OC(=O)C(C)=C2C(=O)NCc1ccccc1Cl,0.4031850252832685,0.121611066,0.86849433,1,28,"PTGS2(0.868), PDE4B(0.357), KDM6B(0.292), EPHA4(0.250), CTSB(0.214)"
11,MOL004077,sugeonyl acetate,CC(=O)O[C@@H]1C2=C(C)C(=O)C[C@]23[C@H](C)CC[C@H]1C3(C)C,0.3966174576963697,0.09737812,0.8763084,1,28,"PTGS2(0.876), IL1B(0.207), CTSB(0.170), EPHA4(0.168), PDE4B(0.157)"
12,MOL001749,ZINC03860434,CCOC(=O)[C@H]1Oc2c(c(=O)oc3ccccc23)[C@@H]1C1=Cc2ccccc2OC1,0.3966174576963697,0.09737812,0.8763084,1,28,"PTGS2(0.876), IL1B(0.207), CTSB(0.170), EPHA4(0.168), PDE4B(0.157)"
13,MOL004718,α-spinasterol,CN1C(=O)c2ccccc2[C@@H](C(=O)N2CCC3(CC2)OCCO3)[C@H]1c1cccs1,0.3781176958765302,0.12175525,0.8056818,1,28,"PTGS2(0.806), PDE4B(0.333), TLR4(0.270), CTSB(0.247), EPHA4(0.208)"
