rank,MOL_ID,molecule_name,SMILES,composite_score_adjusted,composite_score,NFE2L2,HMOX1,GPX4,TFRC,SLC7A11,ACSL4,FTH1,PTGS2,KEAP1
1,MOL003743,belachinal,Cc1ccc(NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)C(c2ccccc2)c2ccccc2)cc1,0.7990602091817217,0.7990602091817217,0.7481052279472351,0.6582133173942566,0.6517072916030884,0.2843399941921234,0.4487431049346924,0.31868013739585876,0.33985817432403564,0.7595897912979126,0.730079174041748
2,MOL004328,naringenin,O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21,0.7977145981150253,0.6293852827029808,0.751514196395874,0.6179773807525635,0.4932593548297882,0.4290943324565887,0.31021948158741,0.3801912379264831,0.29592567682266235,0.7271652591228486,0.7396281957626343
3,,Fortunellin,COc1ccc(-c2cc(=O)c3c(O)cc(OC4OC(CO)C(O)C(O)C4OC4OC(C)C(O)C(O)C4O)cc3o2)cc1,0.7850887687138453,0.7850887687138453,0.7501528263092041,0.658123791217804,0.6397485733032227,0.27996331453323364,0.3864561915397644,0.2840350866317749,0.31142860651016235,0.7598626017570496,0.738577127456665
4,MOL001790,Linarin,COc1ccc(-c2cc(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3o2)cc1,0.7824754346874928,0.7824754346874928,0.7520243525505066,0.6917953491210938,0.6721992492675781,0.301128625869751,0.4106540381908417,0.2937709093093872,0.33776313066482544,0.7591458559036255,0.7455829381942749
5,MOL003859,Moracin E,CC1(C)C=Cc2c(cc(O)cc2-c2cc3ccc(O)cc3o2)O1,0.7798536199666157,0.7798536199666157,0.7527773976325989,0.6844468712806702,0.6642246246337891,0.30804872512817383,0.3947836458683014,0.2866012454032898,0.31841710209846497,0.756327211856842,0.7471462488174438
6,MOL004941,(2R)-7-hydroxy-2-(4-hydroxyphenyl)chroman-4-one,O=C1C[C@H](c2ccc(O)cc2)Oc2cc(O)ccc21,0.7677915153883677,0.6040392086409312,0.7488818168640137,0.588354229927063,0.46582706809043883,0.41821178197860714,0.2938015282154083,0.3780575317144394,0.2806825637817383,0.7270158898830414,0.7339298129081726
7,MOL011309,"methyl (4R)-4-[(5R,7S,10S,13R,14R,15S,17R)-7,15-dihydroxy-4,4,10,13,14-pentamethyl-3,11-dioxo-2,5,6,7,12,15,16,17-octahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoate",O=C(NCc1ccc2c(c1)OCO2)[C@H]1C[N@@]2CC[C@@H]1C[C@@H]2Cn1cc(COc2ccccc2)nn1,0.7657782987919908,0.7657782987919908,0.7496061325073242,0.6545190215110779,0.6224097013473511,0.2731408476829529,0.3967365324497223,0.2957257032394409,0.3032968044281006,0.7607953548431396,0.7326860427856445
8,MOL005741,cycloartenol acetate,CC(=O)O[C@H]1CC[C@]23C[C@]24CC[C@]2(C)[C@@H]([C@H](C)CCC=C(C)C)CC[C@@]2(C)[C@@H]4CC[C@H]3C1(C)C,0.7644074167413832,0.5999204940719726,0.7490839958190918,0.5923813581466675,0.47212623596191405,0.4166307628154754,0.293842750787735,0.37643410086631773,0.28076183795928955,0.7274513554573059,0.7315233945846558
9,MOL007659,scropolioside D,CC(=O)O[C@@H]1[C@@H](OC(=O)/C=C/c2ccccc2)[C@@H](OC(C)=O)[C@H](O[C@H]2[C@@H]3C=CO[C@@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@@H]3[C@@]3(CO)O[C@@H]23)O[C@H]1C,0.7556214649720472,0.7556214649720472,0.7482402324676514,0.6383562684059143,0.6211395263671875,0.27217668294906616,0.37402835488319397,0.2818082869052887,0.3096502423286438,0.7608778476715088,0.7283568382263184
10,MOL011042,18alpha-Hydroglycyrrhetic acid,COc1cc(O)c2c(=O)cc(-c3ccccc3O[C@@H]3O[C@H](COC(C)=O)[C@@H](O)[C@H](O)[C@H]3O)oc2c1,0.7436829149482965,0.7436829149482965,0.7512714862823486,0.6793841123580933,0.6590496897697449,0.2856702208518982,0.4309709370136261,0.30477404594421387,0.3337591588497162,0.7578800320625305,0.7409486770629883
11,MOL008455,"3-oxo-22α-hydroxyurs-12-en-27,28-dioc acid",O=C(O)C[C@H](c1ccc(O)cc1)[C@@]1(O)C(=O)O[C@@H]2[C@@H](O)CO[C@@]21O[C@@H]1O[C@H](CO)[C@@H](O)[C@@H](O)[C@H]1O,0.7403237728680613,0.7403237728680613,0.7514804005622864,0.6616984605789185,0.6454983949661255,0.27646446228027344,0.40332573652267456,0.2856268882751465,0.32732078433036804,0.7606175541877747,0.7336954474449158
12,MOL003842,Albanol,C=CC(=C)CC[C@@]1(C)[C@H]2C[C@H](OC(=O)[C@@H](C)CC)C=C3[C@H](OC(=O)CCC)O[C@H](OC(C)=O)[C@]32[C@H](O)[C@H](O)[C@@H]1C,0.7349633751148024,0.7349633751148024,0.7500029802322388,0.6480913162231445,0.6189013719558716,0.2831529378890991,0.38606682419776917,0.279835045337677,0.29923850297927856,0.760489284992218,0.7361876964569092
13,MOL011061,Ginkgolide B,C[C@@H]1C(=O)O[C@H]2[C@H](O)[C@@]34[C@H]5C[C@@H](C(C)(C)C)[C@]36C(OC(=O)[C@@H]6O)O[C@@]4(C(=O)O5)[C@@]12O,0.733882800391797,0.733882800391797,0.751591682434082,0.662050724029541,0.6430859565734863,0.2808983623981476,0.36764949560165405,0.27612173557281494,0.31131359934806824,0.7593326568603516,0.740906834602356
14,MOL001002,ellagic acid,O=c1c(O)cc2c(O)oc3c(=O)c(O)cc4c(O)oc1c2c43,0.731093702981393,0.731093702981393,0.7501590847969055,0.6545055508613586,0.6287981867790222,0.27508780360221863,0.35565438866615295,0.27286338806152344,0.3052997291088104,0.7591102123260498,0.7401801943778992
15,MOL000503,Medicagol,O=c1oc2cc(O)ccc2c2oc3cc4c(cc3c12)OCO4,0.7282586582876062,0.7282586582876062,0.7488875985145569,0.653012752532959,0.6314078569412231,0.27980008721351624,0.3811180889606476,0.29168373346328735,0.3202250599861145,0.7603421211242676,0.7321658134460449
16,MOL007796,stigmasteryl palmitate,CC(=O)OC[C@@]12[C@@H](OC(=O)/C=C\c3ccccc3)CC[C@](C)(O)[C@]13OC(C)(C)[C@H]([C@@H](OC(C)=O)[C@H]2Oc1ccccc1)[C@H]3OC(C)=O,0.7266064691408927,0.7266064691408927,0.749127209186554,0.6307392120361328,0.5971962213516235,0.27735966444015503,0.358015239238739,0.2735942006111145,0.30548006296157837,0.7607256174087524,0.7328504323959351
17,MOL004384,Yinyanghuo C,CC1(C)C=Cc2cc(-c3cc(=O)c4c(O)cc(O)cc4o3)ccc2O1,0.7256388530169597,0.7256388530169597,0.754128098487854,0.675633430480957,0.6362342834472656,0.3128950297832489,0.375275582075119,0.28239595890045166,0.3219393491744995,0.7544419765472412,0.7483983039855957
18,MOL001677,asperglaucide,CC(=O)OC[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)c1ccccc1,0.7249951867370097,0.7249951867370097,0.7446866631507874,0.6258838176727295,0.6290808320045471,0.2794667184352875,0.4466339945793152,0.31985631585121155,0.36319589614868164,0.7590280175209045,0.7206504940986633
19,MOL003402,demethylwedelolactone,O=c1oc2cc(O)cc(O)c2c2oc3cc(O)c(O)cc3c12,0.7214895609507508,0.7214895609507508,0.752895176410675,0.6543288230895996,0.6272804737091064,0.2923976480960846,0.37007656693458557,0.2720182538032532,0.3105309307575226,0.7599257230758667,0.7438761591911316
