gene,n_positives,n_high,n_low,n_samples,status,RFR_MSE,RFR_MSE_std,XGBR_MSE,XGBR_MSE_std,SVR_MSE,SVR_MSE_std,KNNR_MSE,KNNR_MSE_std,RFC_AUC,RFC_AUC_std,XGBC_AUC,XGBC_AUC_std,LR_AUC,LR_AUC_std,SVC_AUC,SVC_AUC_std,has_model
BCL6,1855,0,0,1491,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,
CD74,25,0,0,1491,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,
CTSB,2874,1,7,1491,TRAINED,0.001,0.0004,0.0009,0.0004,0.0046,0.0005,0.0014,0.0006,0.948,0.052,0.75,0.25,0.9744,0.0256,0.9578,0.0422,True
CXCL10,203,0,0,1491,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,
DYRK1A,7895,2,9,1491,TRAINED,0.0013,0.0003,0.0014,0.0003,0.0048,0.0002,0.0017,0.0002,0.9272,0.0642,0.7406,0.2406,0.9545,0.0398,0.9331,0.0608,True
EGR1,0,0,0,0,NO_DATA,,,,,,,,,,,,,,,,,
EMP1,0,0,0,0,NO_DATA,,,,,,,,,,,,,,,,,
EPHA4,392,0,4,1491,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,
FBXO31,0,0,0,0,NO_DATA,,,,,,,,,,,,,,,,,
GMFB,0,0,0,0,NO_DATA,,,,,,,,,,,,,,,,,
HBP1,0,0,0,0,NO_DATA,,,,,,,,,,,,,,,,,
IGFBP7,0,0,0,0,NO_DATA,,,,,,,,,,,,,,,,,
IL1B,650,0,0,1491,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,
IRF1,0,0,0,0,NO_DATA,,,,,,,,,,,,,,,,,
KDM6B,468,0,1,1491,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,
KLF6,0,0,0,0,NO_DATA,,,,,,,,,,,,,,,,,
LACTB,0,0,0,0,NO_DATA,,,,,,,,,,,,,,,,,
LCN2,4,0,0,1491,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,
LGMN,412,0,0,1491,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,
LPCAT3,1,0,0,1491,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,
MAPK1,13301,3,4,1491,TRAINED,0.0011,0.0006,0.0012,0.0006,0.0042,0.0005,0.001,0.0004,0.9761,0.0141,0.7876,0.2085,0.9794,0.0145,0.9691,0.0367,True
PDE4B,6901,0,3,1491,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,
PTGS2,4088,16,52,1491,TRAINED,0.0025,0.0005,0.0028,0.0004,0.0063,0.0004,0.0028,0.0004,0.9596,0.0071,0.9554,0.0185,0.9673,0.0108,0.9573,0.013,True
RUNX3,0,0,0,0,NO_DATA,,,,,,,,,,,,,,,,,
SAT1,2,0,0,1491,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,
SOD1,0,0,0,0,NO_DATA,,,,,,,,,,,,,,,,,
SP1,4,0,0,1491,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,
TLR4,302,0,0,1491,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,
