rank,MOL_ID,molecule_name,SMILES,composite_score,mean_score,max_score,n_hits,n_high,n_targets,top_targets
1,MOL000021,"14-acetyl-12-senecioyl-2E,8E,10E-atractylentriol",CCCC(=O)N1C[C@H](c2nc(-c3cccnc3)no2)C2(CCOCC2)C1,0.3974683031439781,0.12550272,0.928164,1,1,28,"PTGS2(0.928), PDE4B(0.372), DYRK1A(0.342), EPHA4(0.278), KDM6B(0.231)"
2,MOL008765,(24R)-methylcholest-4-ene and (24R)-ethylcholest-4-ene,COc1c(C)c(OC)c2c(c1C=O)OC[C@@H](Cc1ccc3c(c1)OCO3)C2=O,0.3815903410315513,0.12806898,0.8507969,1,1,28,"PTGS2(0.851), PDE4B(0.286), EPHA4(0.273), TLR4(0.242), KDM6B(0.214)"
3,MOL008805,7-oxobaicaline,C[C@]12CC[C@@H](O)C[C@H]1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,0.3810206547379493,0.13081442,0.84646076,1,1,28,"PTGS2(0.846), PDE4B(0.326), EPHA4(0.281), TLR4(0.250), KDM6B(0.222)"
4,MOL012828,5-(3-hydroxy-4-isoacetoxybutyn-1)-bithiophene,CCNC(=O)O[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2NC(=O)Nc1ccccc1,0.3809441447257995,0.123298444,0.85207975,1,1,28,"PTGS2(0.852), PDE4B(0.296), EPHA4(0.242), TLR4(0.231), KDM6B(0.196)"
5,MOL002937,DIHYDROOROXYLIN,COc1cc2c3c(c1O)[C@@]1(C=CC(=O)CC1)C[C@H]3NCC2,0.38022467941045757,0.124003954,0.8496936,1,1,28,"PTGS2(0.850), PDE4B(0.373), EPHA4(0.222), TLR4(0.216), BCL6(0.189)"
6,MOL004446,"6-Methoxyl-2-acetyl-3-methyl-1,4-naphthoquinone-8-O-beta-D-glucopyranoside",CC(C)(C)CC(=O)N1CCN2CC(=O)Nc3cc(-c4cccnc4)ccc3OC[C@@H]2C1,0.3782922372221947,0.1237813,0.8406183,1,1,28,"PTGS2(0.841), PDE4B(0.327), EPHA4(0.240), TLR4(0.221), DYRK1A(0.209)"
7,MOL002866,"(2E,4E,8E)-9-(1,3-benzodioxol-5-yl)-N-isobutylnona-2,4,8-trienamide",C=C1C(=O)O[C@@H]2/C=C(\C)C[C@H]3C=C(CC/C=C(/C)CC[C@H]12)C(=O)O3,0.37827778309583665,0.13257276,0.83350074,1,1,28,"PTGS2(0.834), PDE4B(0.351), TLR4(0.283), EPHA4(0.254), DYRK1A(0.202)"
8,MOL004718,α-spinasterol,CN1C(=O)c2ccccc2[C@@H](C(=O)N2CCC3(CC2)OCCO3)[C@H]1c1cccs1,0.3754693314433098,0.12774017,0.8245686,1,1,28,"PTGS2(0.825), PDE4B(0.333), TLR4(0.270), EPHA4(0.208), BCL6(0.202)"
9,MOL001610,sylvatine,COc1c(C)c(OC)c2c(c1C=O)OC[C@@H](Cc1ccc3c(c1)OCO3)C2=O,0.374982525408268,0.11618753,0.8356782,1,1,28,"MAPK1(0.836), TLR4(0.333), PDE4B(0.316), EPHA4(0.197), BCL6(0.179)"
10,MOL013076,"(8S,9R)-9-hydroxy-8-(2-hydroxypropan-2-yl)-8,9-dihydrofuro[2,3-h]chromen-2-one",C/C=C(/C)C(=O)Oc1ccc(OC)cc1[C@H]1O[C@H]1C,0.374982525408268,0.11618753,0.8356782,1,1,28,"MAPK1(0.836), TLR4(0.333), PDE4B(0.316), EPHA4(0.197), BCL6(0.179)"
11,MOL001749,ZINC03860434,CCOC(=O)[C@H]1Oc2c(c(=O)oc3ccccc23)[C@@H]1C1=Cc2ccccc2OC1,0.3731783747673035,0.093329586,0.84580004,1,1,28,"PTGS2(0.846), IL1B(0.207), EPHA4(0.168), PDE4B(0.157), TLR4(0.147)"
12,MOL004077,sugeonyl acetate,CC(=O)O[C@@H]1C2=C(C)C(=O)C[C@]23[C@H](C)CC[C@H]1C3(C)C,0.3731783747673035,0.093329586,0.84580004,1,1,28,"PTGS2(0.846), IL1B(0.207), EPHA4(0.168), PDE4B(0.157), TLR4(0.147)"
