gene,model,cv_auc,cv_auc_std,cv_aupr,cv_aupr_std,status,n_real_pos,n_sim,n_neg,EF@1%,EF@5%,EF@10%
BCL6,RF,0.9998,0.0003,0.9999,0.0002,KEPT,1571,0,1501,,,
BCL6,XGB,0.9994,0.0011,0.9996,0.0007,KEPT,1571,0,1501,,,
BCL6,LR,0.9998,0.0004,0.9999,0.0003,KEPT,1571,0,1501,,,
BCL6,SVM,0.9997,0.0004,0.9998,0.0003,KEPT,1571,0,1501,,,
BCL6,KNN,0.9714,0.0159,0.9406,0.0462,KEPT,1571,0,1501,,,
CD74,RF,1.0,0.0,1.0,0.0,KEPT,25,0,100,,,
CD74,XGB,1.0,0.0,1.0,0.0,KEPT,25,0,100,,,
CD74,LR,1.0,0.0,1.0,0.0,KEPT,25,0,100,,,
CD74,SVM,1.0,0.0,1.0,0.0,KEPT,25,0,100,,,
CD74,KNN,0.79,0.0515,0.3824,0.0606,KEPT,25,0,100,,,
CTSB,RF,0.9973,0.0024,0.998,0.0023,KEPT,2429,1,1500,,,
CTSB,XGB,0.9965,0.0027,0.9978,0.0022,KEPT,2429,1,1500,,,
CTSB,LR,0.9973,0.0015,0.9987,0.0007,KEPT,2429,1,1500,,,
CTSB,SVM,0.997,0.0017,0.9984,0.0009,KEPT,2429,1,1500,,,
CTSB,KNN,0.9322,0.0159,0.9178,0.037,KEPT,2429,1,1500,,,
CXCL10,RF,1.0,0.0,1.0,0.0,KEPT,203,0,406,,,
CXCL10,XGB,1.0,0.0,1.0,0.0,KEPT,203,0,406,,,
CXCL10,LR,1.0,0.0,1.0,0.0,KEPT,203,0,406,,,
CXCL10,SVM,1.0,0.0,1.0,0.0,KEPT,203,0,406,,,
CXCL10,KNN,0.8208,0.0333,0.5443,0.1755,KEPT,203,0,406,,,
DYRK1A,RF,0.9934,0.0069,0.9982,0.0013,KEPT,4814,2,1499,,,
DYRK1A,XGB,0.9943,0.0041,0.9983,0.001,KEPT,4814,2,1499,,,
DYRK1A,LR,0.9878,0.0106,0.9962,0.0021,KEPT,4814,2,1499,,,
DYRK1A,SVM,0.9911,0.0047,0.9968,0.0015,KEPT,4814,2,1499,,,
DYRK1A,KNN,0.9268,0.0034,0.9557,0.0119,KEPT,4814,2,1499,,,
EPHA4,RF,0.9879,0.0132,0.9819,0.0224,KEPT,313,0,626,,,
EPHA4,XGB,0.9772,0.0273,0.9709,0.0344,KEPT,313,0,626,,,
EPHA4,LR,0.9882,0.0095,0.9799,0.017,KEPT,313,0,626,,,
EPHA4,SVM,0.981,0.0137,0.9684,0.029,KEPT,313,0,626,,,
EPHA4,KNN,0.9377,0.0332,0.8656,0.108,KEPT,313,0,626,,,
FTH1,N/A,,,,,SIMILARITY_FALLBACK,2,0,100,,,
GPX4,RF,0.9909,0.0113,0.9847,0.0188,KEPT,72,0,144,,,
