rank,MOL_ID,molecule_name,SMILES,composite_score,avg_score,max_score,n_hits,n_high,n_targets,consistency,top_targets
1,MOL012719,moracin O,CC(C)(O)[C@@H]1Cc2cc3cc(-c4cc(O)cc(O)c4)oc3cc2O1,0.34178785236053927,0.16556353692741443,0.9147188663482666,2,2,25,0.7717501801266158,"CTSB(0.915), EPHA4(0.758), PTGS2(0.359), TLR4(0.334), STAT3(0.295)"
2,MOL002963,"4',5',7-trimethyl-3-methoxyflavone",CCNC(=O)N[C@H]1[C@H](O)[C@H](O)C[C@@H]1c1ccc(OC)cc1,0.32778896892734016,0.22575494501118856,0.7158811986446381,4,1,25,0.7688624569505597,"DYRK1A(0.716), PTGS2(0.638), PDE4B(0.632), EPHA4(0.514), MAPK1(0.478)"
3,MOL008490,isocorynantheic acid,COc1cc(OC)nc(NS(=O)(=O)c2ccc(NC(C)=O)cc2)n1,0.32719178264745885,0.2317217258216503,0.7663595378398895,2,1,25,0.8040335733298578,"KDM6B(0.766), PTGS2(0.541), STAT3(0.470), DYRK1A(0.439), TLR4(0.433)"
4,MOL005652,Glycoside K_qt,CC(C)C1=CC2=CC[C@H]3[C@](C)(CCC[C@@]3(C)C(=O)O)[C@@H]2C[C@@H]1O,0.283040988282137,0.09756565007458752,0.7643277049064636,1,1,25,0.8490575227846796,"EPHA4(0.764), CTSB(0.195), PTGS2(0.183), TLR4(0.173), GPX4(0.136)"
5,MOL008226,14-deoxyandrographolide,C=C1CC[C@@H]2[C@](C)(CO)[C@H](O)CC[C@@]2(C)[C@@H]1CCC1=CCOC1=O,0.283040988282137,0.09756565007458752,0.7643277049064636,1,1,25,0.8490575227846796,"EPHA4(0.764), CTSB(0.195), PTGS2(0.183), TLR4(0.173), GPX4(0.136)"
6,MOL005890,pachypodol,COc1cc(O)c2c(=O)c(OC)c(-c3ccc(O)c(OC)c3)oc2c1,0.283040988282137,0.09756565007458752,0.7643277049064636,1,1,25,0.8490575227846796,"EPHA4(0.764), CTSB(0.195), PTGS2(0.183), TLR4(0.173), GPX4(0.136)"
7,MOL005308,Aposiopolamine,CCC[C@@H](O)C[C@@H]1CCC[C@H](C[C@@H](O)CCC)N1C,0.283040988282137,0.09756565007458752,0.7643277049064636,1,1,25,0.8490575227846796,"EPHA4(0.764), CTSB(0.195), PTGS2(0.183), TLR4(0.173), GPX4(0.136)"
8,MOL008046,Demethoxycapillarisin,O=c1cc(Oc2ccc(O)cc2)oc2cc(O)cc(O)c12,0.283040988282137,0.09756565007458752,0.7643277049064636,1,1,25,0.8490575227846796,"EPHA4(0.764), CTSB(0.195), PTGS2(0.183), TLR4(0.173), GPX4(0.136)"
9,MOL001726,pinoresinol-4-O-beta-D-apiosyl-beta-D-glucopyranoside,C[C@@H]1[C@H](C)CCC[C@@H]1NC(=O)[C@@H]1N(CCCN(C)Cc2ccccc2)C(=O)[C@@H]2[C@@H](C(=O)Nc3cccc(Cl)c3)[C@@H]3C=C[C@]21O3,0.283040988282137,0.09756565007458752,0.7643277049064636,1,1,25,0.8490575227846796,"EPHA4(0.764), CTSB(0.195), PTGS2(0.183), TLR4(0.173), GPX4(0.136)"
10,MOL001340,GA120,COc1ccc([C@@H](CNC(=O)c2ccccc2)OC)cc1OC,0.2738438832497493,0.07443282057065517,0.7510120272636414,1,1,25,0.8531163162582441,"FTH1(0.751), SP1(0.120), TLR4(0.115), PTGS2(0.107), KDM6B(0.099)"
11,MOL004203,Dehydrocorybulbine,COc1cc2c(cc1O)CC[n+]1cc3c(OC)c(OC)ccc3c(C)c1-2,0.27353088634561107,0.16619394987821579,0.6596038490533829,1,0,25,0.8375193157146974,"LGMN(0.660), STAT3(0.415), PDE4B(0.355), DYRK1A(0.354), CTSB(0.327)"
12,MOL006425,"2-Benzo[1,3]dioxol-5-yl-5,7-dimethoxy-chroman",COc1cc(OC)c2c(c1)O[C@H](c1ccc3c(c1)OCO3)CC2,0.2650145032182174,0.13427316883578896,0.6502969264984131,1,0,25,0.8667316726779807,"EPHA4(0.650), PTGS2(0.350), DYRK1A(0.228), STAT3(0.202), TLR4(0.200)"
13,MOL010799,Ariskanin A,CC(=O)N[C@H](CSC(S)=NCCCC[S@+](C)[O-])C(=O)O,0.2595739884438849,0.10676236597510674,0.6652464717626572,1,0,25,0.8649598429882142,"DYRK1A(0.665), PTGS2(0.353), TLR4(0.160), SLC7A11(0.141), STAT3(0.133)"
14,MOL012444,poriol,COc1cc2c3c(c1O)[C@@]1(C=CC(=O)CC1)C[C@H]3NCC2,0.2530469396746553,0.1963441042912503,0.51154425740242,1,0,25,0.8383485690679623,"PTGS2(0.512), DYRK1A(0.500), PDE4B(0.400), EPHA4(0.382), STAT3(0.354)"
15,MOL004205,Dehydrocorydalmine,COc1cc2c(cc1OC)-c1cc3ccc(O)c(OC)c3c[n+]1CC2,0.2529248599552418,0.1405162050932025,0.5818056613206863,1,0,25,0.8640886616314374,"PTGS2(0.582), DYRK1A(0.321), STAT3(0.303), SLC7A11(0.287), PDE4B(0.271)"
16,MOL000324,kadsurin B,C=C1C(=O)O[C@@H]2[C@H]3C(C)=CC(=O)[C@H]3[C@@]3(CO3)C[C@@H](OC(=O)/C(C)=C/C)[C@@H]12,0.2480560490263851,0.06723613484296947,0.663099467754364,1,0,25,0.8726531502262144,"PTGS2(0.663), MAPK1(0.114), GPX4(0.097), CD74(0.093), LGMN(0.072)"
17,MOL002864,"(2E,4Z)-5-(1,3-benzodioxol-5-yl)-1-piperidino-penta-2,4-dien-1-one",COc1cc2c3c(c1O)[C@@]1(C=CC(=O)CC1)C[C@H]3NCC2,0.2324497293829076,0.10971936988139835,0.5182415097951889,1,0,25,0.8788561645945027,"CTSB(0.518), PTGS2(0.289), TLR4(0.264), EPHA4(0.234), STAT3(0.201)"
18,MOL003617,isogosferol,COc1cc2c3c(c1O)[C@@]1(C=CC(=O)CC1)C[C@H]3NCC2,0.2324497293829076,0.10971936988139835,0.5182415097951889,1,0,25,0.8788561645945027,"CTSB(0.518), PTGS2(0.289), TLR4(0.264), EPHA4(0.234), STAT3(0.201)"
19,MOL011724,florilenalin isobutyrate,C[C@]12CC[C@@H]3c4ccc(O)c(Br)c4CC[C@@H]3[C@@H]1CCC2=O,0.22995998510876486,0.15359829048470905,0.4925576001405716,0,0,25,0.8536897793523786,"DYRK1A(0.493), EPHA4(0.428), PTGS2(0.320), PDE4B(0.317), TLR4(0.315)"
20,MOL009411,protostemotinine,COC1=C(C)C(=O)O[C@]12C(=O)C(C)=C1CCCCN3[C@H]([C@@H]4C[C@H](C)C(=O)O4)CC[C@@]132,0.22853822217689454,0.09411528385865191,0.5114961452782154,1,0,25,0.9000440796365585,"TP53(0.511), PTGS2(0.219), MAPK1(0.146), GPX4(0.140), SLC7A11(0.129)"
21,MOL006824,α-amyrin,C[C@H](O)C(=O)[C@@H](C)C/C=C/[C@H]1[C@@H]2O[C@]2(C)[C@@H](C)[C@H]2[C@H](Cc3ccccc3)N=C(O)[C@]21O,0.2251097663379139,0.0864088649263916,0.5062123686075211,1,0,25,0.899446331384922,"NFE2L2(0.506), MAPK1(0.153), PTGS2(0.147), STAT3(0.146), DYRK1A(0.141)"
22,MOL001987,β-sitosterol,Cc1cccc(NC(=O)[C@@H]2[C@@H]3C=C[C@]4(O3)[C@@H]2C(=O)N(CCC2=CCCCC2)[C@H]4C(=O)N[C@@H]2CCC[C@@H](C)[C@H]2C)c1,0.2251097663379139,0.0864088649263916,0.5062123686075211,1,0,25,0.899446331384922,"NFE2L2(0.506), MAPK1(0.153), PTGS2(0.147), STAT3(0.146), DYRK1A(0.141)"
23,MOL007118,microstegiol,Cc1ccc2c3c1CCCC(C)(C)[C@@]3(O)C(=O)C(C(C)C)=C2,0.2251097663379139,0.0864088649263916,0.5062123686075211,1,0,25,0.899446331384922,"NFE2L2(0.506), MAPK1(0.153), PTGS2(0.147), STAT3(0.146), DYRK1A(0.141)"
24,MOL007701,"dichotomine,d",CCOn1cc(CC(=O)Nc2ccccc2Cl)c2ccccc21,0.2251097663379139,0.0864088649263916,0.5062123686075211,1,0,25,0.899446331384922,"NFE2L2(0.506), MAPK1(0.153), PTGS2(0.147), STAT3(0.146), DYRK1A(0.141)"
25,MOL006799,"(2S,3R,3aS,4R,4'S,5'R,6S,7aR)-3,4,4'-trihydroxy-3,5'-bis(hydroxymethyl)spiro[3a,4,5,6,7,7a-hexahydrobenzofuran-2,2'-tetrahydropyran]-6-carboxylic acid",C[C@]12CC[C@@H]3c4ccc(O)c(Br)c4CC[C@@H]3[C@@H]1CCC2=O,0.2251097663379139,0.0864088649263916,0.5062123686075211,1,0,25,0.899446331384922,"NFE2L2(0.506), MAPK1(0.153), PTGS2(0.147), STAT3(0.146), DYRK1A(0.141)"
26,MOL005081,"5,7-dimethoxy-8-((3-methylbut-2-en-1-yl)oxy)-2H-chromen-2-one",COC(=O)C1=C(C)NC(=O)N[C@H]1c1ccc2c(c1)OCO2,0.2251097663379139,0.0864088649263916,0.5062123686075211,1,0,25,0.899446331384922,"NFE2L2(0.506), MAPK1(0.153), PTGS2(0.147), STAT3(0.146), DYRK1A(0.141)"
27,MOL005594,ClematosideA'_qt,O=C(N[C@H]1C[C@H]2C(=O)Nc3ccc(-c4ccc5c(c4)OCO5)cc3C(=O)N2C1)c1cccnc1,0.2251097663379139,0.0864088649263916,0.5062123686075211,1,0,25,0.899446331384922,"NFE2L2(0.506), MAPK1(0.153), PTGS2(0.147), STAT3(0.146), DYRK1A(0.141)"
