MOL_ID,molecule_name,SMILES,ALOX15,BCL6,CD74,CTSB,CXCL10,DYRK1A,EPHA4,HIF1A,HMOX1,IL1B,KDM6B,KEAP1,LCN2,LGMN,LPCAT3,MAPK1,NOX4,PDE4B,PTGS2,SAT1,SP1,TFRC,TLR4,avg_score,max_score,n_hits,n_high,consistency,composite_score,n_targets,top_targets,rank
MOL010023,senkirkine,C/C=C1/C[C@@H](C)[C@@](C)(O)C(=O)OC/C2=C/CN(C)CC[C@@H](OC1=O)C2=O,0.8080781996250153,0.4857826232910156,0.3336620591580868,0.8238840699195862,0.1728749331086874,0.7380440533161163,0.7787786424160004,0.8896825015544891,0.2780432067811489,0.809393048286438,0.6028375327587128,0.7968240082263947,0.56873819231987,0.43283845484256744,0.27872081100940704,0.6037129014730453,0.8729284107685089,0.6013123393058777,0.8417337834835052,0.3361760377883911,0.27048709243535995,0.07012784574180841,0.6683555245399475,0.5679572292239122,0.8896825015544891,14,9,0.7545096928554988,0.8962893065155924,23,"HIF1A(0.890), NOX4(0.873), PTGS2(0.842), CTSB(0.824), IL1B(0.809)",1
MOL009411,protostemotinine,COC1=C(C)C(=O)O[C@]12C(=O)C(C)=C1CCCCN3[C@H]([C@@H]4C[C@H](C)C(=O)O4)CC[C@@]132,0.7460136115550995,0.383023489266634,0.2468547374010086,0.7185012996196747,0.12312528491020203,0.6031705886125565,0.574512243270874,0.9335578978061676,0.06859951163642108,0.7485315501689911,0.5076780989766121,0.8020785748958588,0.3872922360897064,0.39127641916275024,0.14073223248124123,0.49172236025333405,0.7658685147762299,0.6194216907024384,0.7748259603977203,0.16142983734607697,0.13571257516741753,0.01700516266282648,0.5948006063699722,0.4754667166752093,0.9335578978061676,12,7,0.7312407650221696,0.7684732498507696,23,"HIF1A(0.934), KEAP1(0.802), PTGS2(0.775), NOX4(0.766), IL1B(0.749)",2
MOL005317,Deoxyharringtonine,COC(=O)C[C@](O)(CCC(C)C)C(=O)O[C@@H]1C(OC)=C[C@]23CCCN2CCc2cc4c(cc2[C@H]13)OCO4,0.6035223752260208,0.4586380124092102,0.2738593816757202,0.7344637513160706,0.20356318727135658,0.6440070867538452,0.6259028017520905,0.938002347946167,0.03704397194087505,0.6406985819339752,0.3687092363834381,0.7725878953933716,0.27778898645192385,0.3176209181547165,0.1450692480430007,0.5138672143220901,0.6456461995840073,0.7464861273765564,0.7086669206619263,0.18121485598385334,0.1507500633597374,0.009473447920754552,0.5615048408508301,0.4590907588135451,0.938002347946167,12,5,0.7425592978471667,0.7179881363027124,23,"HIF1A(0.938), KEAP1(0.773), PDE4B(0.746), CTSB(0.734), PTGS2(0.709)",3
MOL003633,Oxynarcotine,CNCCc1cc2c(c(OC)c1CC(=O)c1ccc(OC)c(OC)c1C(=O)O)OCO2,0.847283661365509,0.38673219457268715,0.24444404616951942,0.6369616389274597,0.10622027982026339,0.7948746085166931,0.647230863571167,0.912673145532608,0.16423604637384415,0.5036711394786835,0.4377031922340393,0.6359883844852448,0.24264994636178017,0.26603398006409407,0.12505627050995827,0.6568642854690552,0.8822447955608368,0.722475677728653,0.8229805529117584,0.14717236161231995,0.16220983117818832,0.035691507859155536,0.4571419507265091,0.4712408852621751,0.912673145532608,11,6,0.7194970272459555,0.7002210067713184,23,"HIF1A(0.913), NOX4(0.882), ALOX15(0.847), PTGS2(0.823), DYRK1A(0.795)",4
MOL004759,napelline,C=C1C2C[C@]3(C(C[C@@H]2O)[C@@]24C5[C@@H]3CC2[C@@](C)(CC[C@@H]4O)CN5CC)[C@@H]1O,0.7157665193080902,0.31746790185570717,0.14766026940196753,0.6708340346813202,0.03167114011012018,0.7533377110958099,0.6314400434494019,0.9118643403053284,0.06407002441119403,0.6775266826152802,0.35297006741166115,0.7662039697170258,0.2617252692580223,0.26855921372771263,0.06663529761135578,0.6497253775596619,0.81268310546875,0.6165477633476257,0.8303680419921875,0.07728085666894913,0.06560666859149933,0.005758403800427914,0.5681229829788208,0.44625329066817043,0.9118643403053284,12,6,0.6972173909748629,0.6817946314110794,23,"HIF1A(0.912), PTGS2(0.830), NOX4(0.813), KEAP1(0.766), DYRK1A(0.753)",5
MOL009789,diosbulbin C,C[C@@]12C[C@H](c3ccoc3)O[C@@]13C[C@H](OC3=O)[C@H]1[C@H]2C[C@@H](O)C[C@H]1C(=O)O,0.8350208699703217,0.2651538010686636,0.1740098726004362,0.7386583685874939,0.05309413652867079,0.6326896548271179,0.5182849019765854,0.9241572618484497,0.049484983435831964,0.731421947479248,0.4310201406478882,0.6609762459993362,0.2768442779779434,0.325589120388031,0.1062281895428896,0.4849436432123184,0.7988365292549133,0.5625492930412292,0.8322476744651794,0.12553192675113678,0.0881001465022564,0.006457120063714683,0.509226068854332,0.44045765978365164,0.9241572618484497,11,6,0.710584825172345,0.6812544382958559,23,"HIF1A(0.924), ALOX15(0.835), PTGS2(0.832), NOX4(0.799), CTSB(0.739)",6
MOL000332,n-coumaroyltyramine,O=C(O)CC[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)CNC1=O,0.6539696455001831,0.29618268366903067,0.2668687940458767,0.9440899789333344,0.08812674437649548,0.5255742222070694,0.68291175365448,0.6223899871110916,0.19476972939446568,0.6699737012386322,0.5829764604568481,0.7262335121631622,0.34823548793792725,0.5941761136054993,0.167259267764166,0.5662965476512909,0.6152261942625046,0.37381885945796967,0.8303393423557281,0.20753638073801994,0.2341627343557775,0.009785103145986795,0.3049900606274605,0.4567779697675217,0.9440899789333344,12,3,0.7539371030225441,0.6789831359902627,23,"CTSB(0.944), PTGS2(0.830), KEAP1(0.726), EPHA4(0.683), IL1B(0.670)",7
MOL003494,orbiculin D,CC(=O)O[C@H]1CC[C@@H](C)[C@]23OC(C)(C)[C@H](C[C@H](OC(=O)c4ccoc4)[C@]12C)[C@H]3OC(=O)c1ccoc1,0.771897703409195,0.30211503617465496,0.18472764268517494,0.6617667376995087,0.08782019466161728,0.5950949788093567,0.5583418011665344,0.9577184021472931,0.029526455444283783,0.6018721163272858,0.28023380041122437,0.7785528898239136,0.24587058927863836,0.25925053749233484,0.10413170978426933,0.49921976029872894,0.7532423138618469,0.6540683805942535,0.8004419207572937,0.12677474692463875,0.09530919790267944,0.007646729238331318,0.5708053112030029,0.4315838676563505,0.9577184021472931,11,5,0.7134662197755949,0.6788702503878763,23,"HIF1A(0.958), PTGS2(0.800), KEAP1(0.779), ALOX15(0.772), NOX4(0.753)",8
MOL002034,"(5aR,8aS,9R)-9-(3,4,5-trimethoxyphenyl)-5a,6,8a,9-tetrahydro-5H-isobenzofurano[5,6-f][1,3]benzodioxol-8-one",C[C@H]1CCC[C@]2(C)C[C@H]3OC(=O)[C@@H](CN(C)[C@@H](C)[C@@H](O)c4ccccc4)[C@H]3C=C12,0.8497084975242615,0.282730316510424,0.26422515511512756,0.629714697599411,0.11452896613627672,0.5912411361932755,0.5601150691509247,0.9315167963504791,0.0639753001742065,0.5557766556739807,0.4258100837469101,0.7247935831546783,0.3477283287793398,0.30444153491407633,0.21145925112068653,0.37816356122493744,0.8576624393463135,0.4974028915166855,0.8483020663261414,0.2317085638642311,0.2224126085639,0.023868803633376956,0.5847872942686081,0.4566118956907936,0.9315167963504791,10,5,0.7373781024559652,0.6766800108758921,23,"HIF1A(0.932), NOX4(0.858), ALOX15(0.850), PTGS2(0.848), KEAP1(0.725)",9
MOL009586,isoverticine,C[C@H]1CC[C@@H]2N(C1)C[C@H]1[C@@H]3C[C@H]4[C@@H](C[C@@H](O)[C@H]5C[C@@H](O)CC[C@@]54C)[C@@H]3CC[C@@H]1[C@]2(C)O,0.676509439945221,0.271966889500618,0.17039156683313195,0.7112327516078949,0.03974119569465984,0.7933080792427063,0.6661027371883392,0.9397114813327789,0.015536308172158897,0.6312163174152374,0.35555604100227356,0.5660073086619377,0.20591068849898875,0.25637562363408506,0.08004920615348965,0.5642683207988739,0.7192348837852478,0.6849953532218933,0.7412090599536896,0.091008679009974,0.0813303617760539,0.0012850312050431967,0.6088560074567795,0.42920884052569896,0.9397114813327789,12,5,0.7060741330903479,0.6730027656543408,23,"HIF1A(0.940), DYRK1A(0.793), PTGS2(0.741), NOX4(0.719), CTSB(0.711)",10
