idx,cn_name,zhuang_name,volume,year
1,一枝黄花,棵共现,1,2008
2,一点红,棵立龙,1,2008
3,丁公藤,勾来,1,2008
4,八角枫,棵景,1,2008
5,八角茴香,芒抗,1,2008
6,八角莲,莲边抗,1,2008
7,九龙藤,勾燕,1,2008
8,九里香,棵弄马,1,2008
9,九里香油（满山香油）,有弄马,1,2008
10,九层风,勾长生,1,2008
11,了哥王,棵约罗,1,2008
12,三七,棵点镇,1,2008
13,三叉苦木,棵三咖,1,2008
14,三叶青藤,勾三伯,1,2008
15,三叶香茶菜,哈良怀,1,2008
16,三加,蹦乐,1,2008
17,土垄大白蚁巢,容门豪,1,2008
18,土茯苓,勾浪蒿,1,2008
19,大叶骨碎补,棵布骼,1,2008
20,大叶桉油,有安卒,1,2008
21,大叶蒟,棵遂冗,1,2008
22,大头陈,野样夺,1,2008
23,大血藤,勾柄喇,1,2008
24,山风,棵矮瓤,1,2008
25,山芝麻,冷喇岜,1,2008
26,山豆根,壤笃岜,1,2008
27,山香,棵盆共,1,2008
28,山桔叶,棵勒挪,1,2008
29,山银花,银华岜,1,2008
30,山绿茶,棵傻岜,1,2008
31,千斤拔,棵壤丁,1,2008
32,广山药,扪岜,1,2008
33,广西海风藤（海风藤）,勾断,1,2008
34,广金钱草,旷金浅,1,2008
35,广狼毒,棵法亮,1,2008
36,小风艾,矮虽,1,2008
37,小驳骨,哈昌僧,1,2008
38,小槐花,棵文沾,1,2008
39,马蹄金,碰浅力,1,2008
40,天胡荽,雅挠内,1,2008
41,无根藤,法夹,1,2008
42,无患子,此芒苍,1,2008
43,无患子果,芒苍,1,2008
44,木槿花,花丹培,1,2008
45,五味藤,棵贡省,1,2008
46,五指柑,棵劲,1,2008
47,瓦楞子,甲隆瓦,1,2008
48,牛大力,勾两抹,1,2008
49,牛白藤,勾抹告,1,2008
50,牛耳枫,美西咩,1,2008
51,牛奶木（牛奶樟）,美得,1,2008
52,牛尾菜,枰当抹,1,2008
53,毛两面针,剩咯金,1,2008
54,毛鸡骨草,棵骼给,1,2008
55,火炭母,勾莓,1,2008
56,水蜈蚣,棵三林,1,2008
57,玉叶金花,勾北豪,1,2008
58,玉郎伞,捧吞,1,2008
59,古羊藤,勾咩,1,2008
60,龙血竭,美竻垄,1,2008
61,龙脷叶,蒙凛垄,1,2008
62,甲鱼,堵逢,1,2008
63,四方木皮,美狼马,1,2008
64,四方藤,勾随方,1,2008
65,白花丹,棵端豪,1,2008
66,白花蛇舌草,雅凛偶,1,2008
67,白背叶,棵懂豪,1,2008
68,汉桃叶,棵七多,1,2008
69,老鸦嘴,勾蒿,1,2008
70,老蛇莲,棵於捆,1,2008
71,地枫皮,芒抗岜,1,2008
72,地胆草,牙念堆,1,2008
73,地桃花,华讨南,1,2008
74,芒果叶（杧果叶）,伯莽过,1,2008
75,当归藤,勾当归,1,2008
76,肉桂,能桂,1,2008
77,朱砂,砂红,1,2008
78,朱砂根,美色根,1,2008
79,羊开口,棵芒难,1,2008
80,羊耳菊,雅粉抹,1,2008
81,阳桃根,壤棵纺,1,2008
82,红鱼眼,美定,1,2008
83,红药,雅拟,1,2008
84,走马风,雅友泛,1,2008
85,走马胎,棵封勒,1,2008
86,芙蓉叶,沙排杯,1,2008
87,苍耳草,戏抖跛,1,2008
88,苎麻根,棵斑,1,2008
89,杠板归（扛板归）,港恩,1,2008
90,两面针,棵剩咯,1,2008
91,豆豉姜,高京虽,1,2008
92,连钱草,碰奴,1,2008
93,扶芳藤,勾咬,1,2008
94,岗松,牙皂笨,1,2008
95,岗松油,有皂笨,1,2008
96,岗梅,楞曾,1,2008
97,牡蛎,甲虽,1,2008
98,余甘子,芒音,1,2008
99,余甘子汁,忍芒音,1,2008
100,鸡矢藤,勾邓骂,1,2008
101,苦木,棵榧含,1,2008
102,苦玄参,棵兜,1,2008
103,茅莓,芒东,1,2008
104,松叶,伯耸,1,2008
105,郁金,竞闲,1,2008
106,岩黄连,捂敛,1,2008
107,罗汉果,芒裸寒,1,2008
108,虎杖,棵天岗,1,2008
109,金不换,门崩茂,1,2008
110,金果榄,尽榄,1,2008
111,金线风,勾机腾,1,2008
112,金樱根,壤棵旺,1,2008
113,狗肝菜,棵巴针,1,2008
114,肿节风,卡隆,1,2008
115,炉甘石,林踏养,1,2008
116,珍珠,舌,1,2008
117,南板蓝根,棵烘,1,2008
118,战骨,猛梦,1,2008
119,钩藤,勾刮欧,1,2008
